N	t_max	int_mellin_sq	mellin_logn	int_cancel_sq	cancel_logn	int_dn_sq
10	100	4.808423622276202e-1	1.107180455345361e0	2.202906644031964e1	5.072379999805541e1	4.348363689027641e1
20	100	2.953288780937963e-1	8.847262514180778e-1	1.760980889943345e1	5.275427285115107e1	4.877376449158493e1
50	100	1.755472408481068e-1	6.867448447372294e-1	1.409306183315027e1	5.513238210820521e1	5.543733223863162e1
100	100	1.294369604092872e-1	5.960792310417705e-1	1.250048208900427e1	5.756684742676059e1	6.029724812058614e1
200	100	9.778335197530559e-2	5.180872319300408e-1	1.124475063059063e1	5.957825754856034e1	6.505502416898779e1
500	100	7.226237785873714e-2	4.490823586521523e-1	9.785724383911061e0	6.081444200518119e1	7.141422550885827e1
1000	100	5.974242857148900e-2	4.126860763439164e-1	8.833672208191341e0	6.102084582893153e1	7.634092961112867e1
2000	100	4.980372727270491e-2	3.785532731214659e-1	8.188620055315988e0	6.224090231870692e1	8.131125944300609e1
5000	100	4.048309181014310e-2	3.448023139328293e-1	7.472816198135809e0	6.364741924346729e1	8.786019781088289e1
100000000	100	1.104891867421296e-2	2.035286034635703e-1	4.252356968250475e0	7.833131012146319e1	1.577236071509252e2
