order	dim	lambda_min	lambda_max	kappa	r_mean	ensemble	decay_type	eff_rank	trace	frobenius	diag_min	diag_max
2	12	3.441888e-3	8.439063e-3	2.452e0	0.2993	Poisson	exponential (R²=0.939)	11.6	6.666667e-2	1.981903e-2	5.555556e-3	5.555556e-3
2	24	3.210545e-3	9.083326e-3	2.829e0	0.3889	Poisson	exponential (R²=0.960)	23.2	1.333333e-1	2.812133e-2	5.555556e-3	5.555556e-3
2	60	3.039091e-3	9.633114e-3	3.170e0	0.2627	Poisson	exponential (R²=0.952)	57.9	3.333333e-1	4.454910e-2	5.555556e-3	5.555556e-3
2	120	2.928978e-3	1.002773e-2	3.424e0	0.3266	Poisson	exponential (R²=0.956)	115.8	6.666667e-1	6.304276e-2	5.555556e-3	5.555556e-3
2	240	2.851230e-3	1.034046e-2	3.627e0	0.3721	Poisson	power (R²=0.965)	231.5	1.333333e0	8.918442e-2	5.555556e-3	5.555556e-3
2	360	2.811650e-3	1.049382e-2	3.732e0	0.3876	Poisson	power (R²=0.953)	347.2	2.000000e0	1.092398e-1	5.555556e-3	5.555556e-3
2	720	2.758798e-3	1.073296e-2	3.890e0	0.3701	Poisson	power (R²=0.974)	694.3	4.000000e0	1.545050e-1	5.555556e-3	5.555556e-3
2	1000	2.743174e-3	1.081572e-2	3.943e0	0.3508	Poisson	power (R²=0.969)	964.2	5.555556e0	1.820905e-1	5.555556e-3	5.555556e-3
2	2520	2.687319e-3	1.106619e-2	4.118e0	0.3228	Poisson	power (R²=0.978)	2429.8	1.400000e1	2.890744e-1	5.555556e-3	5.555556e-3
3	12	4.808896e-4	7.261239e-4	1.510e0	0.3092	Poisson	exponential (R²=0.928)	11.9	7.142857e-3	2.076162e-3	5.952381e-4	5.952381e-4
3	24	4.663426e-4	7.498800e-4	1.608e0	0.2848	Poisson	exponential (R²=0.965)	23.8	1.428571e-2	2.938237e-3	5.952381e-4	5.952381e-4
3	60	4.571940e-4	7.661127e-4	1.676e0	0.2881	Poisson	exponential (R²=0.948)	59.5	3.571429e-2	4.647743e-3	5.952381e-4	5.952381e-4
3	120	4.509291e-4	7.776827e-4	1.725e0	0.2828	Poisson	exponential (R²=0.958)	119.0	7.142857e-2	6.573836e-3	5.952381e-4	5.952381e-4
3	240	4.464017e-4	7.864037e-4	1.762e0	0.2276	Poisson	exponential (R²=0.938)	238.0	1.428571e-1	9.297469e-3	5.952381e-4	5.952381e-4
3	360	4.444750e-4	7.901114e-4	1.778e0	0.2470	Poisson	power (R²=0.958)	357.0	2.142857e-1	1.138730e-2	5.952381e-4	5.952381e-4
3	720	4.414624e-4	7.962200e-4	1.804e0	0.2485	Poisson	power (R²=0.955)	714.0	4.285714e-1	1.610445e-2	5.952381e-4	5.952381e-4
3	1000	4.404356e-4	7.984978e-4	1.813e0	0.2259	Poisson	power (R²=0.962)	991.7	5.952381e-1	1.897940e-2	5.952381e-4	5.952381e-4
3	2520	4.377472e-4	8.040878e-4	1.837e0	0.2509	Poisson	power (R²=0.961)	2499.1	1.500000e0	3.012918e-2	5.952381e-4	5.952381e-4
4	12	2.155264e-4	2.620685e-4	1.216e0	0.3504	Poisson	exponential (R²=0.913)	12.0	2.857143e-3	8.261613e-4	2.380952e-4	2.380952e-4
4	24	2.124643e-4	2.659701e-4	1.252e0	0.1704	Poisson	exponential (R²=0.965)	24.0	5.714286e-3	1.168566e-3	2.380952e-4	2.380952e-4
4	60	2.106583e-4	2.683816e-4	1.274e0	0.1836	Poisson	exponential (R²=0.938)	59.9	1.428571e-2	1.847853e-3	2.380952e-4	2.380952e-4
4	120	2.094516e-4	2.700281e-4	1.289e0	0.2624	Poisson	exponential (R²=0.952)	119.8	2.857143e-2	2.613348e-3	2.380952e-4	2.380952e-4
4	240	2.085823e-4	2.712317e-4	1.300e0	0.2445	Poisson	exponential (R²=0.945)	239.5	5.714286e-2	3.695894e-3	2.380952e-4	2.380952e-4
4	360	2.082344e-4	2.717131e-4	1.305e0	0.2795	Poisson	power (R²=0.959)	359.3	8.571429e-2	4.526553e-3	2.380952e-4	2.380952e-4
4	720	2.076649e-4	2.725212e-4	1.312e0	0.2292	Poisson	power (R²=0.944)	718.6	1.714286e-1	6.401549e-3	2.380952e-4	2.380952e-4
4	1000	2.074402e-4	2.728473e-4	1.315e0	0.2313	Poisson	power (R²=0.964)	998.0	2.380952e-1	7.544310e-3	2.380952e-4	2.380952e-4
4	2520	2.069432e-4	2.735723e-4	1.322e0	0.2215	Poisson	power (R²=0.957)	2515.0	6.000000e-1	1.197625e-2	2.380952e-4	2.380952e-4
