xi	computed_FT	expected	error
0.0	0.9994933947	1.000000	5.07e-4
0.1	0.8999999365	0.900000	6.35e-8
0.2	0.7999999847	0.800000	1.53e-8
0.3	0.6999999937	0.700000	6.28e-9
0.4	0.5999999970	0.600000	2.96e-9
0.5	0.4999999989	0.500000	1.14e-9
0.6	0.4000000003	0.400000	3.48e-10
0.7	0.3000000024	0.300000	2.37e-9
0.8	0.2000000071	0.200000	7.12e-9
0.9	0.1000000314	0.100000	3.14e-8
1.0	0.0002533024	0.000000	2.53e-4
1.1	0.0000000316	0.000000	3.16e-8
1.2	0.0000000076	0.000000	7.64e-9
1.3	0.0000000032	0.000000	3.25e-9
1.4	0.0000000017	0.000000	1.73e-9
1.5	0.0000000010	0.000000	1.05e-9
1.6	0.0000000007	0.000000	6.88e-10
1.7	0.0000000005	0.000000	4.77e-10
1.8	0.0000000003	0.000000	3.44e-10
1.9	0.0000000003	0.000000	2.56e-10
2.0	0.0000000002	0.000000	1.96e-10
2.1	0.0000000002	0.000000	1.53e-10
2.2	0.0000000001	0.000000	1.22e-10
2.3	0.0000000001	0.000000	9.80e-11
2.4	0.0000000001	0.000000	8.00e-11
2.5	0.0000000001	0.000000	6.61e-11
2.6	0.0000000001	0.000000	5.52e-11
2.7	0.0000000000	0.000000	4.64e-11
2.8	0.0000000000	0.000000	3.94e-11
2.9	0.0000000000	0.000000	3.37e-11
3.0	0.0000000000	0.000000	2.90e-11
