N	B_N	B_N_logN	single_abel	ln_N
10	2.225806086630985e-1	5.125107914971919e-1	6.074579206025038e-1	2.302585092994046e0
20	9.733967863852759e-1	2.916036167948111e0	1.451712539043023e0	2.995732273553991e0
30	1.679262338818363e0	5.711502669912882e0	2.046892721928936e0	3.401197381662155e0
50	2.783983964611078e0	1.089100931630160e1	2.857691284087966e0	3.912023005428146e0
75	3.802939585042739e0	1.641914645491873e1	3.535904168689304e0	4.317488113536310e0
100	4.606614346515752e0	2.121424304691936e1	4.038428600114823e0	4.605170185988092e0
150	5.797726365529742e0	2.905029235263574e1	4.751676663955442e0	5.010635294096256e0
200	6.676960175766638e0	3.537665405501401e1	5.259042479714633e0	5.298317366548036e0
300	8.018626317894569e0	4.573650026282402e1	5.994568278394980e0	5.703782474656201e0
500	9.850491896542501e0	6.121694671369519e1	6.937887127081067e0	6.214608098422191e0
750	1.141010510275789e1	7.553573107446280e1	7.693338036451649e0	6.620073206530356e0
1000	1.260137174994893e1	8.704719222812611e1	8.236800668348360e0	6.907755278982137e0
