i,row_gcd2_12,row_inv_max,row_total_excess
1,0.5403725717,1.6211177151,2.1614902869
2,0.6529460836,1.6211177151,2.2740637987
3,0.5976692946,1.5794510485,2.1771203431
4,0.6658485782,1.5377843818,2.2036329600
5,0.5112503235,1.5002843818,2.0115347053
6,0.7148774953,1.4669510485,2.1818285438
7,0.4577315687,1.4371891437,1.8949207124
8,0.6288528767,1.4104034294,2.0392563062
9,0.5356115136,1.3860978739,1.9217093874
10,0.6094864390,1.3638756516,1.9733620907
11,0.3934143607,1.3434211062,1.7368354669
12,0.7206788305,1.3244817123,2.0451605427
13,0.3717635076,1.3068535071,1.6786170147
14,0.5445817513,1.2903699906,1.8349517419
15,0.5489961622,1.2748938002,1.8238899624
16,0.5672843272,1.2603104668,1.8275947940
17,0.3392033817,1.2465237021,1.5857270838
18,0.6339096068,1.2334518067,1.8673614135
19,0.3266160592,1.2210249061,1.5476409653
20,0.6080373138,1.2091828009,1.8172201146
21,0.4866365648,1.1978732770,1.6845098419
22,0.4660388771,1.1870507662,1.6530896434
23,0.3055989448,1.1766752721,1.4822742169
24,0.6702563491,1.1667115040,1.8369678531
25,0.3758668412,1.1571281707,1.5329950119
26,0.4395435793,1.1478974015,1.5874409808
27,0.4342102248,1.1389942676,1.5732044924
28,0.5389433861,1.1303963840,1.6693397700
29,0.2809498659,1.1220835761,1.4030334420
30,0.6459901064,1.1140375991,1.7600277055
31,0.2746422116,1.1062419001,1.3808841118
32,0.4936783216,1.0986814163,1.5923597379
33,0.4120710273,1.0913424011,1.5034134284
34,0.3996478901,1.0842122763,1.4838601664
35,0.3997619761,1.0772795032,1.4770414793
36,0.6264490951,1.0705334715,1.6969825666
37,0.2575747663,1.0639644024,1.3215391687
38,0.3842135137,1.0575632644,1.4417767782
39,0.3857489753,1.0513216990,1.4370706743
40,0.5564285317,1.0452319554,1.6016604871
41,0.2463549992,1.0392868335,1.2856418327
42,0.5691821987,1.0334796325,1.6026618312
43,0.2421941121,1.0278041065,1.2699982186
44,0.4547623885,1.0222544236,1.4770168121
45,0.4682897905,1.0168251307,1.4851149212
46,0.3569903595,1.0115111210,1.3685014805
47,0.2335793779,1.0063076058,1.2398869837
48,0.5915107851,1.0012100880,1.5927208731
49,0.2876546859,0.9962143397,1.2838690257
50,0.4382367221,0.9913163806,1.4295531027
51,0.3472278920,0.9865124590,1.3337403510
52,0.4278377564,0.9817990352,1.4096367915
53,0.2195900213,0.9771727652,1.1967627865
54,0.5055346223,0.9726304871,1.4781651094
55,0.3320269888,0.9681692076,1.3001961964
56,0.4866177682,0.9637860907,1.4504038589
57,0.3322924009,0.9594784466,1.2917708475
58,0.3281600795,0.9552437219,1.2834038014
59,0.2088844364,0.9510794904,1.1599639268
60,0.6321993895,0.9469834452,1.5791828348
61,0.2085430569,0.9429533906,1.1514964475
62,0.3204213070,0.9389872351,1.2594085421
63,0.4034271496,0.9350829852,1.3385101349
64,0.4125618062,0.9312387392,1.3438005454
65,0.3077153239,0.9274526815,1.2351680055
66,0.4796060501,0.9237230778,1.4033291278
67,0.1968788756,0.9200482700,1.1169271456
68,0.3830909785,0.9164266721,1.2995176506
69,0.3072815167,0.9128567659,1.2201382826
70,0.4651806044,0.9093370972,1.3745177015
71,0.1963610322,0.9058662722,1.1022273044
72,0.5654265119,0.9024429545,1.4678694664
73,0.1901719994,0.8990658617,1.0892378611
74,0.2972048766,0.8957337625,1.1929386391
75,0.3827032250,0.8924454742,1.2751486991
76,0.3687027255,0.8891998601,1.2579025857
77,0.2770908613,0.8859958273,1.1630866886
78,0.4453568174,0.8828323242,1.3281891416
79,0.1831211322,0.8797083384,1.0628294706
80,0.4816451510,0.8766228954,1.3582680464
81,0.3190486437,0.8735750559,1.1926236996
82,0.2856979872,0.8705639147,1.1562619018
83,0.1827445473,0.8675885988,1.0503331460
84,0.5497435126,0.8646482660,1.4143917787
85,0.2695660377,0.8617421036,1.1313081413
86,0.2779410283,0.8588693265,1.1368103548
