N	max_dev	max_dev_x	mean_dev	l2_dev	l2_dev_logN
10	9.915202008214797e-1	3.333425850334365e-1	6.326158958938252e-1	2.863651895384597e-1	6.593802165836719e-1
20	7.697624651296461e-1	3.333344490239745e-1	5.017599528056704e-1	2.043457057040227e-1	6.121650255397065e-1
50	7.418625899313762e-1	1.428723541452684e-1	3.940522746380032e-1	1.408715277929357e-1	5.510926575357747e-1
100	6.324225865457659e-1	1.428670000000000e-1	3.362196448917008e-1	1.074184602512140e-1	4.946802905736378e-1
200	5.961527460640093e-1	9.092272086957401e-2	2.928803912973491e-1	8.472753480682926e-2	4.489133690918267e-1
500	5.628216269652045e-1	5.884356211798169e-2	2.514290585733582e-1	6.463920420772699e-2	4.017073219449060e-1
1000	5.633919457503429e-1	3.449562903109880e-2	2.275699061901431e-1	5.389661148663411e-2	3.723046025160461e-1
2000	6.233744645963964e-1	2.441372234747040e-2	2.069385956382295e-1	4.524261816848998e-2	3.438847277129988e-1
5000	6.295747836930961e-1	1.700112343042213e-2	1.852247395224519e-1	3.674496745894516e-2	3.129639866601390e-1
10000	6.314103064638706e-1	1.049500000000000e-2	1.713360116368059e-1	3.166553672970609e-2	2.916503713419067e-1
20000	7.238051325336896e-1	1.034773328808632e-2	1.597883592238867e-1	2.776960629509899e-2	2.750159502823417e-1
50000	6.696913771762701e-1	4.571688741404080e-3	1.465616013996783e-1	2.356243859631394e-2	2.549403614521483e-1
100000	8.627729649114892e-1	4.408324813093168e-3	1.380554228790899e-1	2.117849714542603e-2	2.438264590953746e-1
200000	5.797993984696026e-1	2.984390926516665e-3	1.304311429266250e-1	1.885925157983587e-2	2.301973948238063e-1
250000	5.385685509941851e-1	6.740500000000000e-3	1.278109719839959e-1	1.796948355989295e-2	2.233465961115503e-1
