N	vtGv	btv	d2_N	vtGv_minus_1	C_G_eff	d2_logN	time_s
10	5.969894419974574e-1	8.867939794316643e-1	-1.765985168658711e-1	-4.030105580025426e-1	-9.279661031758669e-1	-4.066331123802125e-1	0.002
20	8.500185452649038e-1	1.115174505119440e0	-3.803304649739756e-1	-1.499814547350962e-1	-4.493042843845046e-1	-1.139368248538335e0	0.003
30	9.627798769623505e-1	1.190796840292373e0	-4.188138036223955e-1	-3.722012303764954e-2	-1.265929850207969e-1	-1.424468412284460e0	0.007
50	1.093493182950368e0	1.324049446416977e0	-5.546057098835857e-1	9.349318295036779e-2	3.657474825525413e-1	-2.169630296006396e0	0.027
75	1.172074672257004e0	1.372281344749610e0	-5.724880172422167e-1	1.720746722570039e-1	7.429303521102706e-1	-2.471710209585241e0	0.085
100	1.221295495406360e0	1.392625050643399e0	-5.639546058804381e-1	2.212954954063604e-1	1.019103417738836e0	-2.597106937251258e0	0.216
150	1.286572333658306e0	1.466354421060210e0	-6.461365084621133e-1	2.865723336583061e-1	1.435909449339837e0	-3.237554394104389e0	0.629
200	1.327475706112450e0	1.525946540897990e0	-7.244173756835290e-1	3.274757061124500e-1	1.735070220818175e0	-3.838193162213195e0	1.429
300	1.376295386597121e0	1.560091851074605e0	-7.438883155520888e-1	3.762953865971206e-1	2.146307031366636e0	-4.242977137347526e0	4.616
500	1.430559431278184e0	1.612751039200166e0	-7.949426471221477e-1	4.305594312781844e-1	2.675758128473458e0	-4.940257012586473e0	20.215
