gcd_class	dim	lambda_min	lambda_max	trace	frobenius_norm	condition
1	499	1.870034335956725e-6	4.375937365112587e0	6.659986815513621e0	4.515470838802888e0	2.340030e6
2	250	8.822596415942964e-6	2.240134683140811e0	3.435273928538072e0	2.321555470870391e0	2.539088e5
3	166	1.380653623815149e-5	1.469165479367133e0	2.209919086769735e0	1.519723130702488e0	1.064109e5
4	125	1.950242413578149e-5	1.083553877536930e0	1.602617059014797e0	1.118391099403696e0	5.555996e4
5	100	2.358248616235329e-5	8.524271375790486e-1	1.242542375501861e0	8.780291478073698e-1	3.614662e4
6	83	2.852104893189860e-5	6.987739230300468e-1	1.005640528491113e0	7.184361118253476e-1	2.450029e4
7	71	3.285287356429145e-5	5.898895091033735e-1	8.396437186962730e-1	6.055262098132440e-1	1.795549e4
8	62	3.621250730561905e-5	5.087783161483712e-1	7.171546841298320e-1	5.215389401768878e-1	1.404980e4
9	55	4.151558776957087e-5	4.461329008342616e-1	6.233728890027064e-1	4.567601289476411e-1	1.074615e4
10	50	4.445059285927424e-5	3.970995652256341e-1	5.509684155669952e-1	4.061660461476970e-1	8.933504e3
11	45	4.830525072785529e-5	3.561535740084050e-1	4.902917270870261e-1	3.638944090070350e-1	7.372978e3
12	41	5.562244756638324e-5	3.224456127188235e-1	4.407959451834674e-1	3.291462601906366e-1	5.797041e3
13	38	5.702757231636990e-5	2.946036617473130e-1	4.004354430450964e-1	3.004999591999257e-1	5.165986e3
14	35	6.418671806591684e-5	2.703440266573898e-1	3.651694951413412e-1	2.755330110574621e-1	4.211838e3
15	33	6.356757884992979e-5	2.502223144505117e-1	3.364720712587828e-1	2.548814783580892e-1	3.936320e3
16	31	6.489757552017623e-5	2.324093147523473e-1	3.110185134766281e-1	2.365959484104722e-1	3.581171e3
17	29	7.472752879700684e-5	2.164713592084049e-1	2.882111888300800e-1	2.202326471542653e-1	2.896809e3
18	27	7.885631129157915e-5	2.020926783830567e-1	2.675882694889862e-1	2.054680900955585e-1	2.562796e3
19	26	7.917820926716510e-5	1.903504274944030e-1	2.512998916729797e-1	1.934636571580187e-1	2.404076e3
20	25	7.954403057139867e-5	1.797162817254034e-1	2.365378788726803e-1	1.825910798366995e-1	2.259331e3
21	23	8.980089303517135e-5	1.686501414764141e-1	2.205419640434605e-1	1.712207510931667e-1	1.878045e3
22	22	9.600171909506591e-5	1.597680869136666e-1	2.082011618624437e-1	1.621405431790176e-1	1.664221e3
23	21	9.497556765065750e-5	1.515691261311516e-1	1.967802422380231e-1	1.537586446971778e-1	1.595875e3
24	20	1.059835118726601e-4	1.439725272341259e-1	1.862091945998705e-1	1.459920792923895e-1	1.358443e3
25	20	1.017874532313521e-4	1.383116468079483e-1	1.788915608067762e-1	1.402514942550321e-1	1.358828e3
26	19	1.009057654169053e-4	1.317082009800181e-1	1.696676346154095e-1	1.334980680855409e-1	1.305259e3
27	18	1.210097013509319e-4	1.255321358145144e-1	1.610055036995639e-1	1.271823219991222e-1	1.037372e3
28	17	1.172986769087206e-4	1.196945749690748e-1	1.528455783394264e-1	1.212118391133414e-1	1.020426e3
29	17	1.156062533381151e-4	1.156224914523843e-1	1.476346579631614e-1	1.170881177486435e-1	1.000140e3
30	16	1.312816606564508e-4	1.104164229370363e-1	1.403011222059414e-1	1.117634944563221e-1	8.410651e2
31	16	1.279257200391424e-4	1.069068823704112e-1	1.358475028315151e-1	1.082109992863067e-1	8.356950e2
32	15	1.269379193203821e-4	1.021863741649711e-1	1.291799491199389e-1	1.033815091206329e-1	8.050106e2
33	15	1.251162064795385e-4	9.913443036658381e-2	1.253211483720287e-1	1.002937222990335e-1	7.923388e2
34	14	1.530003861009827e-4	9.480584004349954e-2	1.191903986796402e-1	9.586473521223150e-2	6.196444e2
35	14	1.478468085812986e-4	9.213246663708474e-2	1.158337524540113e-1	9.316140576180550e-2	6.231617e2
36	13	1.433016585631501e-4	8.813579654839208e-2	1.101605081549166e-1	8.907170895968147e-2	6.150368e2
37	13	1.393461059421369e-4	8.578686941429493e-2	1.072163659188308e-1	8.669762229254505e-2	6.156388e2
38	13	1.370162263515290e-4	8.354620827437263e-2	1.044093346951441e-1	8.443352409850519e-2	6.097541e2
39	12	1.774828600984444e-4	7.996408619119517e-2	9.927416663983790e-2	8.076871275936191e-2	4.505454e2
40	12	1.740189403704412e-4	7.799426483765642e-2	9.683467268405413e-2	7.877869696441346e-2	4.481941e2
41	12	1.708467697473163e-4	7.611213075463581e-2	9.450027912545264e-2	7.687760429725629e-2	4.454994e2
42	11	1.751553486202095e-4	7.279112993513261e-2	8.976297871101616e-2	7.347885595289867e-2	4.155804e2
43	11	1.707871550968045e-4	7.110960180476696e-2	8.768468116920852e-2	7.178150457899592e-2	4.163639e2
44	11	1.672080451419514e-4	6.951325597815254e-2	8.571936665240380e-2	7.016996342085417e-2	4.157291e2
45	11	1.644716888424315e-4	6.798649998260486e-2	8.383768888966804e-2	6.862876846612934e-2	4.133629e2
46	10	1.989055499642652e-4	6.501450150982604e-2	7.953177275957339e-2	6.558890291525435e-2	3.268612e2
