gcd_class	dim	lambda_min	ln_dim	ln_lambda_min
8	5000	2.187399462241976e-7	8.5171931914	-15.3353822729
9	4444	2.215474446638271e-7	8.3993101508	-15.3226290733
10	4000	2.248462885378211e-7	8.2940496401	-15.3078488303
11	3636	2.282402931867195e-7	8.1986394553	-15.2928668455
12	3333	2.336237406532068e-7	8.1116280783	-15.2695539616
13	3076	2.382776526482771e-7	8.0313853306	-15.2498292355
14	2857	2.423757346577346e-7	7.9575274022	-15.2327766923
15	2666	2.431887319127901e-7	7.8883345007	-15.2294280205
16	2500	2.497104063198519e-7	7.8240460109	-15.2029639652
17	2352	2.493602856000834e-7	7.7630213090	-15.2043670562
18	2222	2.506849670599649e-7	7.7061629702	-15.1990687974
19	2105	2.577914661054727e-7	7.6520707461	-15.1711148498
20	2000	2.570063642099047e-7	7.6009024595	-15.1741649889
21	1904	2.603868376154171e-7	7.5517122154	-15.1610974747
22	1818	2.591755588317695e-7	7.5054922747	-15.1657601715
23	1739	2.662323432977265e-7	7.4610655144	-15.1388964384
24	1666	2.661322507573164e-7	7.4181808227	-15.1392724684
25	1600	2.705537358077540e-7	7.3777589082	-15.1227951048
26	1538	2.704416227389743e-7	7.3382381501	-15.1232095744
27	1481	2.708803938010035e-7	7.3004728143	-15.1215884648
28	1428	2.792008343553830e-7	7.2640301429	-15.0913344777
29	1379	2.785739188227215e-7	7.2291138778	-15.0935823951
30	1333	2.786098082524928e-7	7.1951873202	-15.0934535707
31	1290	2.769134099567977e-7	7.1623974974	-15.0995609791
32	1250	2.865390785780912e-7	7.1308988303	-15.0653909102
33	1212	2.860077592627300e-7	7.1000271666	-15.0672468962
34	1176	2.883974443738609e-7	7.0698741285	-15.0589262930
35	1142	2.872731526461457e-7	7.0405363902	-15.0628323224
36	1111	2.861116882882346e-7	7.0130157896	-15.0668835839
37	1081	2.897665785468031e-7	6.9856418176	-15.0541901396
38	1052	2.949223655120175e-7	6.9584483933	-15.0365536830
39	1025	2.940555572127323e-7	6.9324478916	-15.0394971173
40	1000	2.994943309948740e-7	6.9077552790	-15.0211703478
41	975	2.981413415185103e-7	6.8824374710	-15.0256981625
42	952	3.013107084758206e-7	6.8585650348	-15.0151238505
43	930	2.999947626479759e-7	6.8351845861	-15.0195008203
44	909	2.984238577916347e-7	6.8123450942	-15.0247510194
45	888	3.052325172776672e-7	6.7889717430	-15.0021919991
46	869	3.046025339400289e-7	6.7673431253	-15.0042580776
47	851	3.036660411400939e-7	6.7464121286	-15.0073372883
48	833	3.084896831204887e-7	6.7250336422	-14.9915774362
49	816	3.075393143456421e-7	6.7044143550	-14.9946629063
50	800	3.095156266333539e-7	6.6846117277	-14.9882572562
51	784	3.125265190286997e-7	6.6644090204	-14.9785765105
52	769	3.112015141734497e-7	6.6450909695	-14.9828251791
53	754	3.123994991154988e-7	6.6253923680	-14.9789830223
54	740	3.110591952568511e-7	6.6066501862	-14.9832826044
55	727	3.099094831964752e-7	6.5889264775	-14.9869855718
56	714	3.231561516463005e-7	6.5708829623	-14.9451301889
57	701	3.239259374493585e-7	6.5525078870	-14.9427509354
58	689	3.232216392761106e-7	6.5352412710	-14.9449275593
59	677	3.227365715098891e-7	6.5176712729	-14.9464294146
60	666	3.222447488711054e-7	6.5012896705	-14.9479544905
61	655	3.261185581716185e-7	6.4846352356	-14.9360048463
62	645	3.271729306931631e-7	6.4692503168	-14.9327769658
63	634	3.286750887067315e-7	6.4520489544	-14.9281961465
64	625	3.310457886851092e-7	6.4377516497	-14.9210091367
65	615	3.303349923662165e-7	6.4216222678	-14.9231585690
66	606	3.292410323765736e-7	6.4068799861	-14.9264757332
67	597	3.336818020435881e-7	6.3919171134	-14.9130779866
68	588	3.353447728047357e-7	6.3767269479	-14.9081066618
69	579	3.360441845919750e-7	6.3613024776	-14.9060231839
70	571	3.346993872925953e-7	6.3473892097	-14.9100330593
71	563	3.337145491746638e-7	6.3332796281	-14.9129798526
72	555	3.327667535909569e-7	6.3189681137	-14.9158240321
73	547	3.313760536890540e-7	6.3044488024	-14.9200119926
74	540	3.395422970021466e-7	6.2915691396	-14.8956673115
75	533	3.434616175969328e-7	6.2785214242	-14.8841904707
76	526	3.432639221956915e-7	6.2653012127	-14.8847662332
77	519	3.424628712352975e-7	6.2519038832	-14.8871025903
78	512	3.414552887197168e-7	6.2383246250	-14.8900490927
79	506	3.459846598335935e-7	6.2265366693	-14.8768713986
80	500	3.482104918839565e-7	6.2146080984	-14.8704586783
81	493	3.473663920283545e-7	6.2005091740	-14.8728857292
82	487	3.462532604453552e-7	6.1882641231	-14.8760953630
83	481	3.529365352277966e-7	6.1758672701	-14.8569775831
84	476	3.522130862563008e-7	6.1654178542	-14.8590294858
85	470	3.552200582684377e-7	6.1527326947	-14.8505283571
86	465	3.559077958373705e-7	6.1420374056	-14.8485941401
87	459	3.560814641600169e-7	6.1290502101	-14.8481063004
88	454	3.569658669611767e-7	6.1180971980	-14.8456256705
89	449	3.594022388499262e-7	6.1070228877	-14.8388236332
90	444	3.584409594178206e-7	6.0958245624	-14.8415018783
91	439	3.575239008852556e-7	6.0844994131	-14.8440636214
92	434	3.565303562652613e-7	6.0730445341	-14.8468464499
93	430	3.557670330031475e-7	6.0637852087	-14.8489897220
94	425	3.587285871692314e-7	6.0520891689	-14.8406997590
95	421	3.646787894308788e-7	6.0426328337	-14.8242488998
96	416	3.646724574600724e-7	6.0306852603	-14.8242662631
97	412	3.640310217613356e-7	6.0210233493	-14.8260267483
98	408	3.634556506876393e-7	6.0112671744	-14.8276085538
99	404	3.628121116130992e-7	6.0014148780	-14.8293807355
100	400	3.640578044010488e-7	5.9914645471	-14.8259531786
101	396	3.674511074543539e-7	5.9814142113	-14.8166755681
102	392	3.709412083785911e-7	5.9712618398	-14.8072222549
103	388	3.700691452095203e-7	5.9610053396	-14.8095759698
104	384	3.694804973041924e-7	5.9506425526	-14.8111678793
105	380	3.690622040168023e-7	5.9401712527	-14.8123006325
106	377	3.689133680544935e-7	5.9322451874	-14.8127039954
107	373	3.680455524580545e-7	5.9215784196	-14.8150591226
108	370	3.671674734430154e-7	5.9135030056	-14.8174477621
109	366	3.660005543604647e-7	5.9026333334	-14.8206309889
110	363	3.708181784692613e-7	5.8944028343	-14.8075539795
111	360	3.777951993827586e-7	5.8861040315	-14.7889135887
112	357	3.821903481303495e-7	5.8777357818	-14.7773470589
113	353	3.814149800255590e-7	5.8664680569	-14.7793778681
114	350	3.807150057741109e-7	5.8579331545	-14.7812147581
115	347	3.808646371339261e-7	5.8493247799	-14.7808218081
116	344	3.803886150110947e-7	5.8406416574	-14.7820724357
117	341	3.839598129483996e-7	5.8318824773	-14.7727279436
118	338	3.858757132907605e-7	5.8230458955	-14.7677505056
119	336	3.860300820011709e-7	5.8171111600	-14.7673505379
120	333	3.858330205778691e-7	5.8081424900	-14.7678611503
121	330	3.864214930343968e-7	5.7990926545	-14.7663371124
122	327	3.888598025188914e-7	5.7899601709	-14.7600469631
123	325	3.904142376291646e-7	5.7838251823	-14.7560575137
124	322	3.928784204206487e-7	5.7745515455	-14.7497656357
125	320	3.922254963763901e-7	5.7683209958	-14.7514289167
126	317	3.919612996413180e-7	5.7589017739	-14.7521027274
127	314	3.912138652703741e-7	5.7493929859	-14.7540114565
128	312	3.903816378832099e-7	5.7430031878	-14.7561410176
129	310	3.895649418761352e-7	5.7365722975	-14.7582352541
130	307	3.892052104924075e-7	5.7268477476	-14.7591590990
131	305	3.921339536662573e-7	5.7203117766	-14.7516623370
132	303	3.939030149504592e-7	5.7137328055	-14.7471611129
133	300	3.989913479095564e-7	5.7037824747	-14.7343261047
134	298	3.998248619919119e-7	5.6970934865	-14.7322392307
135	296	3.990872101454778e-7	5.6903594543	-14.7340858721
136	294	3.989994062641367e-7	5.6835797673	-14.7343059081
137	291	4.017433540510735e-7	5.6733232672	-14.7274523750
138	289	4.028262590134334e-7	5.6664266881	-14.7247604870
139	287	4.035198532981251e-7	5.6594822158	-14.7230401477
