# Hilbert Matrix Operator Norm Convergence
# Columns: N	norm	error	error_times_N	method
4	1.802775637731995e0	1.338817015857799e0	5.355268063431194e0	eigen
8	2.354293366779299e0	7.872992868104944e-1	6.298394294483955e0	eigen
12	2.575458144181769e0	5.661345094080237e-1	6.793614112896284e0	eigen
16	2.696340284673577e0	4.452523689162162e-1	7.124037902659460e0	eigen
20	2.773086362018687e0	3.685062915711059e-1	7.370125831422119e0	eigen
30	2.881658171454754e0	2.599344821350389e-1	7.798034464051167e0	eigen
40	2.939367148098305e0	2.022255054914885e-1	8.089020219659542e0	eigen
50	2.975418569522204e0	1.661740840675887e-1	8.308704203379435e0	eigen
60	3.000179506454701e0	1.414131471350921e-1	8.484788828105527e0	eigen
80	3.032128047899863e0	1.094646056899302e-1	8.757168455194417e0	eigen
100	3.051948622065498e0	8.964403152429501e-2	8.964403152429501e0	eigen
120	3.065497453091086e0	7.609520049870744e-2	9.131424059844893e0	eigen
150	3.079370475789287e0	6.222217780050654e-2	9.333326670075980e0	eigen
200	3.093642613525811e0	4.795004006398162e-2	9.590008012796325e0	eigen
250	3.102446127805808e0	3.914652578398492e-2	9.786631445996230e0	eigen
300	3.108439804723592e0	3.315284886620118e-2	9.945854659860354e0	eigen
400	3.116105783483720e0	2.548687010607287e-2	1.019474804242915e1	power
500	3.120820594258336e0	2.077205933145754e-2	1.038602966572877e1	power
