# Symmetric Hilbert Matrix Eigenvalues
# Columns: N	lambda_max	error
4	1.500214280059244e0	1.641378373530550e0
8	1.695938996921950e0	1.445653656667844e0
16	1.860036442743327e0	1.281556210846466e0
32	1.998434811479945e0	1.143157842109848e0
50	2.076296683131167e0	1.065295970458626e0
64	2.116080858571031e0	1.025511795018762e0
80	2.150204577319235e0	9.913880762705585e-1
100	2.182696097757423e0	9.588965558323701e-1
128	2.216860766325952e0	9.247318872638410e-1
150	2.237881171506941e0	9.037114820828518e-1
200	2.274266987431881e0	8.673256661579121e-1
