eps	sigma	t	integral	bound_C_log	exponent	log_zeta_ratio
0.1000	0.6000	100.00	6.777163939735814e-1	5.900744556626414e0	1.471642450990483e-1	-1.851543940143067e-1
0.1000	0.6000	500.00	1.220179387279195e0	7.933964649632189e0	1.963405202636965e-1	-3.231332779963185e-2
0.1000	0.6000	1000.00	9.090830396160867e-1	8.815768375369917e0	1.316032492323672e-1	1.663457866029948e-2
0.1000	0.6000	5000.00	8.984176943308924e-1	1.086712143334379e1	1.054828362043416e-1	5.386518229744446e-2
0.1000	0.6000	10000.00	1.765092634062777e0	1.175121412377189e1	1.916424977553850e-1	8.799796961473183e-2
0.2500	0.7500	100.00	5.159838993265859e-1	2.844355096469914e0	1.120444801142296e-1	-1.500462966093838e-1
0.2500	0.7500	500.00	8.341442094685103e-1	3.824434792902731e0	1.342231394575450e-1	-2.117420242820838e-2
0.2500	0.7500	1000.00	4.738692230323795e-1	4.249493511733671e0	6.859959623558125e-2	1.707720341860741e-2
0.2500	0.7500	5000.00	5.350472276607799e-1	5.238313900264947e0	6.281966554427919e-2	6.140347357109986e-2
0.2500	0.7500	10000.00	1.111773112801539e0	5.664475976192640e0	1.207092320045275e-1	4.881773090976207e-2
0.5000	1.0000	100.00	3.147069169937595e-1	1.171971088577912e0	6.833773873358721e-2	-1.063825179012627e-1
0.5000	1.0000	500.00	4.745667450930435e-1	1.575797274045057e0	7.636310087091892e-2	-1.934486055036973e-2
0.5000	1.0000	1000.00	1.697758761461081e-1	1.750935930268425e0	2.457757539018156e-2	8.576642818509452e-3
0.5000	1.0000	5000.00	2.949485361517648e-1	2.158363578311839e0	3.462978114069534e-2	5.447991379187350e-2
0.5000	1.0000	10000.00	6.340676680860171e-1	2.333956855204538e0	6.884302235075496e-2	2.833019200486595e-2
