eps	sigma	t	zeta_logderiv_norm	log_2_plus_t	ratio
0.0100	0.5100	10.00	9.916147226267190e-2	2.484906649788000e0	3.990551205258831e-2
0.0100	0.5100	210.00	2.504309433688215e0	5.356586274672012e0	4.675196674287778e-1
0.0100	0.5100	410.00	2.288951182192111e0	6.021023349349527e0	3.801598248974395e-1
0.0100	0.5100	610.00	2.367092198151247e0	6.416732282512326e0	3.688937131758387e-1
0.0100	0.5100	810.00	9.998011204168208e0	6.699500340161678e0	1.492351772001989e0
0.0100	0.5100	1010.00	5.494807945048093e0	6.919683849847411e0	7.940836697574357e-1
0.0100	0.5100	1210.00	9.528955890955112e0	7.100027166629260e0	1.342101328251535e0
0.0100	0.5100	1410.00	2.321591276863773e1	7.252762418053187e0	3.200975218883487e0
0.0100	0.5100	1610.00	1.256598309173077e1	7.385230923066573e0	1.701501716416606e0
0.0100	0.5100	1810.00	7.958847893577418e0	7.502186486602924e0	1.060870441942490e0
0.0100	0.5100	2010.00	5.819373685511861e0	7.606884531219630e0	7.650140687200397e-1
0.0100	0.5100	2210.00	5.537200137574293e0	7.701652362642226e0	7.189626169616712e-1
0.0100	0.5100	2410.00	8.969137673000370e0	7.788211557847076e0	1.151629948208513e0
0.0100	0.5100	2610.00	2.884115431721411e0	7.867871490396322e0	3.665687009811762e-1
0.0100	0.5100	2810.00	2.985608561052484e0	7.941651252930556e0	3.759430458433643e-1
0.0100	0.5100	3010.00	3.536652327518227e0	8.010359588919783e0	4.415098084248617e-1
0.0100	0.5100	3210.00	5.417280350925062e0	8.074649075066652e0	6.708997877880341e-1
0.0100	0.5100	3410.00	3.200515117045362e0	8.135053908611569e0	3.934227299535624e-1
0.0100	0.5100	3610.00	4.473408917769608e0	8.192016914536875e0	5.460692970288510e-1
0.0100	0.5100	3810.00	7.329734797786770e0	8.245909264774093e0	8.888934576443678e-1
0.0100	0.5100	4010.00	4.476034663466470e0	8.297045149081827e0	5.394733405737584e-1
0.0100	0.5100	4210.00	3.189232859856552e0	8.345692873253865e0	3.821411724935806e-1
0.0100	0.5100	4410.00	3.394162998241814e0	8.392083380373393e0	4.044481977121152e-1
0.0100	0.5100	4610.00	1.033522937864874e1	8.436416881388949e0	1.225073336696844e0
0.0100	0.5100	4810.00	3.246963820083427e0	8.478868077094569e0	3.829477933328165e-1
0.0100	0.5100	5010.00	3.288675456799449e0	8.519590316015959e0	3.860133333661684e-1
0.0100	0.5100	5210.00	8.709658382450337e1	8.558718938244736e0	1.017635751950111e1
0.0100	0.5100	5410.00	7.142152295379725e0	8.596373989290679e0	8.308331285117868e-1
0.0100	0.5100	5610.00	4.055748618410638e0	8.632662441222351e0	4.698143412910235e-1
0.0100	0.5100	5810.00	2.835881532311360e1	8.667680024690174e0	3.271788441928241e0
0.0100	0.5100	6010.00	5.411579416986397e0	8.701512750872865e0	6.219124848657552e-1
0.0100	0.5100	6210.00	3.725108279464925e0	8.734238184268579e0	4.264949273050850e-1
0.0100	0.5100	6410.00	3.812501447817851e0	8.765926513729443e0	4.349228164126865e-1
0.0100	0.5100	6610.00	7.983870175859714e0	8.796641458940915e0	9.076043639069660e-1
