j	k	G_jk	abs_G_jk	product_maxjk
1	1	2.606614015078126e-1	2.606614015078126e-1	2.606614015078126e-1
1	2	2.722092559908731e-1	2.722092559908731e-1	5.444185119817463e-1
1	3	2.416701361288506e-1	2.416701361288506e-1	7.250104083865518e-1
1	4	2.144025313717860e-1	2.144025313717860e-1	8.576101254871440e-1
1	5	1.924788623380489e-1	1.924788623380489e-1	9.623943116902446e-1
1	6	1.748359150800768e-1	1.748359150800768e-1	1.049015490480461e0
1	7	1.604060376407710e-1	1.604060376407710e-1	1.122842263485397e0
1	8	1.483960883474764e-1	1.483960883474764e-1	1.187168706779811e0
1	9	1.382401728541656e-1	1.382401728541656e-1	1.244161555687491e0
1	10	1.295322051740821e-1	1.295322051740821e-1	1.295322051740821e0
1	11	1.219757461225714e-1	1.219757461225714e-1	1.341733207348285e0
1	12	1.153501646217912e-1	1.153501646217912e-1	1.384201975461494e0
1	13	1.094881333946786e-1	1.094881333946786e-1	1.423345734130821e0
1	14	1.042605257355054e-1	1.042605257355054e-1	1.459647360297075e0
1	15	9.956611045250592e-2	9.956611045250592e-2	1.493491656787589e0
1	16	9.532438929047633e-2	9.532438929047633e-2	1.525190228647621e0
1	17	9.147052600520057e-2	9.147052600520057e-2	1.554998942088410e0
1	18	8.795169282204596e-2	8.795169282204596e-2	1.583130470796827e0
1	19	8.472439474188743e-2	8.472439474188743e-2	1.609763500095861e0
1	20	8.175248016572000e-2	8.175248016572000e-2	1.635049603314400e0
1	21	7.900564108725053e-2	7.900564108725053e-2	1.659118462832261e0
1	22	7.645826781939333e-2	7.645826781939333e-2	1.682081892026653e0
1	23	7.408856409073127e-2	7.408856409073127e-2	1.704036974086819e0
1	24	7.187785585886766e-2	7.187785585886766e-2	1.725068540612824e0
1	25	6.981004599671291e-2	6.981004599671291e-2	1.745251149917823e0
1	26	6.787118005822002e-2	6.787118005822002e-2	1.764650681513720e0
1	27	6.604909751120344e-2	6.604909751120344e-2	1.783325632802493e0
1	28	6.433314936829022e-2	6.433314936829022e-2	1.801328182312126e0
1	29	6.271396786766434e-2	6.271396786766434e-2	1.818705068162266e0
1	30	6.118327729991159e-2	6.118327729991159e-2	1.835498318997348e0
1	31	5.973373761786791e-2	5.973373761786791e-2	1.851745866153905e0
1	32	5.835881435908378e-2	5.835881435908378e-2	1.867482059490681e0
1	33	5.705266983392097e-2	5.705266983392097e-2	1.882738104519392e0
1	34	5.581007161229680e-2	5.581007161229680e-2	1.897542434818091e0
1	35	5.462631516840848e-2	5.462631516840848e-2	1.911921030894297e0
1	36	5.349715817999486e-2	5.349715817999486e-2	1.925897694479815e0
1	37	5.241876447376590e-2	5.241876447376590e-2	1.939494285529338e0
1	38	5.138765599597932e-2	5.138765599597932e-2	1.952730927847214e0
1	39	5.040067149223532e-2	5.040067149223532e-2	1.965626188197177e0
1	40	4.945493082238424e-2	4.945493082238424e-2	1.978197232895369e0
1	41	4.854780402927256e-2	4.854780402927256e-2	1.990459965200175e0
1	42	4.767688443469355e-2	4.767688443469355e-2	2.002429146257129e0
1	43	4.683996516059878e-2	4.683996516059878e-2	2.014118501905747e0
1	44	4.603501857468682e-2	4.603501857468682e-2	2.025540817286220e0
1	45	4.526017824179798e-2	4.526017824179798e-2	2.036708020880909e0
1	46	4.451372302990383e-2	4.451372302990383e-2	2.047631259375576e0
1	47	4.379406307485057e-2	4.379406307485057e-2	2.058320964517977e0
1	48	4.309972735372750e-2	4.309972735372750e-2	2.068786912978920e0
1	49	4.242935265462482e-2	4.242935265462482e-2	2.079038280076616e0
1	50	4.178167376208181e-2	4.178167376208181e-2	2.089083688104091e0
1	51	4.115551470387122e-2	4.115551470387122e-2	2.098931249897432e0
1	101	2.415097184897624e-2	2.415097184897624e-2	2.439248156746600e0
1	201	1.384410513915826e-2	1.384410513915826e-2	2.782665132970810e0
1	301	9.914754953157093e-3	9.914754953157093e-3	2.984341240900285e0
1	401	7.799634050535118e-3	7.799634050535118e-3	3.127653254264582e0
2	2	3.803307007539063e-1	3.803307007539063e-1	7.606614015078126e-1
2	3	2.744368426127355e-1	2.744368426127355e-1	8.233105278382065e-1
2	4	2.611046279954365e-1	2.611046279954365e-1	1.044418511981746e0
2	5	2.164052341247139e-1	2.164052341247139e-1	1.082026170623569e0
2	6	2.041684013977586e-1	2.041684013977586e-1	1.225010408386552e0
2	7	1.788527593842831e-1	1.788527593842831e-1	1.251969315689982e0
2	8	1.697012656858930e-1	1.697012656858930e-1	1.357610125487144e0
2	9	1.531816374839429e-1	1.531816374839429e-1	1.378634737355486e0
