N	k	inner_val	predicted	ratio
100	1	-2.761960130723115e-2	1.000000000000000e0	2.761960130723115e-2
100	2	-1.456367960569471e-2	8.408964152537145e-1	1.731923140771217e-2
100	3	-1.173095552526573e-2	8.347648216253986e-1	1.405300657306569e-2
100	4	-7.241446821172118e-3	9.802581434685472e-1	7.387285552710604e-3
100	5	-6.840126310345097e-3	1.076296000401796e0	6.355246426439923e-3
100	6	-4.523928831294679e-3	1.144832357331227e0	3.951608113034666e-3
100	7	-4.404789923641028e-3	1.196322506346835e0	3.681941867909656e-3
100	8	-3.298891262285245e-3	1.236443338298944e0	2.668048878668185e-3
100	9	-3.055732496338914e-3	1.268568201195128e0	2.408804267251918e-3
100	10	-2.624906833123445e-3	1.294838752557815e0	2.027207502044733e-3
100	11	-2.235329993875531e-3	1.316685461531724e0	1.697694748808976e-3
100	12	-1.782353513274521e-3	1.335102984625279e0	1.334993280518185e-3
100	13	-1.690134593012967e-3	1.350805924423834e0	1.251204604935286e-3
100	14	-1.628559834564152e-3	1.364321791164989e0	1.193677213917057e-3
100	15	-1.534623480987880e-3	1.376048990826723e0	1.115238985834281e-3
100	16	-1.127823836700373e-3	1.386294361119891e0	8.135529281019960e-4
100	17	-9.335804331935270e-4	1.395298245892316e0	6.690902364006678e-4
100	18	-7.725210351086898e-4	1.403251705633820e0	5.505220709920733e-4
100	19	-6.953770694962057e-4	1.410308612748728e0	4.930673068364079e-4
100	20	-7.257062626981212e-4	1.416594330266847e0	5.122894022605741e-4
100	21	-7.509646887042780e-4	1.422212054706250e0	5.280258216200999e-4
100	22	-5.992953077390296e-4	1.427247528518862e0	4.198958455096805e-4
100	23	-4.111120619832764e-4	1.431772593222833e0	2.871350268396242e-4
100	24	-3.635353204741364e-4	1.435847904341173e0	2.531851175706118e-4
100	25	-3.556768768411846e-4	1.439525031107201e0	2.470793276638046e-4
100	26	-2.923280838089057e-4	1.442848098353073e0	2.026048924641348e-4
100	27	-2.111654703923570e-4	1.445855083426361e0	1.460488487490329e-4
100	28	-1.390014945626058e-4	1.448578850162398e0	9.595714761886974e-5
100	29	-1.624684238710949e-5	1.451047980305819e0	1.119662658135215e-5
100	30	6.417898525861804e-5	1.453287447373132e0	4.416124654116005e-5
100	31	6.013594904847702e-5	1.455319166841168e0	4.132148494890274e-5
100	32	2.556889993785480e-5	1.457162448440193e0	1.754704835087180e-5
100	33	-3.322311268528138e-5	1.458834370348522e0	2.277373865090951e-5
100	34	2.524610904450124e-5	1.460350090625305e0	1.728771012277689e-5
100	35	2.438397280805938e-7	1.461723107860394e0	1.668166335808398e-7
100	36	1.201648295445701e-4	1.462965480469584e0	8.213784340694050e-5
100	37	1.764069424640633e-4	1.464088012109512e0	1.204893018759779e-4
100	38	1.445206214946378e-4	1.465100409177698e0	9.864212759025257e-5
100	39	1.138409855802044e-4	1.466011415189422e0	7.765354648721824e-5
100	40	1.891631356483889e-4	1.466828925903495e0	1.289605981364689e-4
100	41	2.877412816422357e-4	1.467560088343752e0	1.960678025572177e-4
100	42	3.409602270727686e-4	1.468211386287435e0	2.322282950923921e-4
100	43	3.587111872624868e-4	1.468788714332097e0	2.442224560702754e-4
100	44	3.243064045867111e-4	1.469297442283649e0	2.207220915614332e-4
100	45	3.242714293866475e-4	1.469742471310316e0	2.206314614406908e-4
100	46	3.601115429581384e-4	1.470128283065568e0	2.449524623845887e-4
100	47	3.949165624979849e-4	1.470458982786056e0	2.685668672986325e-4
100	48	4.069900765966158e-4	1.470738337209168e0	2.767250069573279e-4
100	49	4.169289022114636e-4	1.470969808021997e0	2.834381099718866e-4
100	50	4.515626023733015e-4	1.471156581443822e0	3.069439433361534e-4
100	51	4.605856187372922e-4	1.471301594453130e0	3.130463668861093e-4
100	52	4.743930747090065e-4	1.471407558094420e0	3.224076647556303e-4
100	53	4.883022102307499e-4	1.471476978236633e0	3.318449540514827e-4
100	54	4.832811624366483e-4	1.471512174101903e0	3.284248482222757e-4
100	55	4.421650214319915e-4	1.471515294838555e0	3.004827900755886e-4
100	56	4.491341130629802e-4	1.471488334374476e0	3.052243789984957e-4
100	57	4.414778067407059e-4	1.471433144754952e0	3.000325283648740e-4
100	58	4.379020284631252e-4	1.471351448141881e0	2.976189196783247e-4
100	59	4.452752946925026e-4	1.471244847628012e0	3.026520673363034e-4
100	60	4.667537496025148e-4	1.471114837000095e0	3.172789355821613e-4
100	61	4.600825331394999e-4	1.470962809567786e0	3.127764550856907e-4
100	62	4.424374841943434e-4	1.470790066160577e0	3.008162037355229e-4
100	63	4.554441289737193e-4	1.470597822382414e0	3.096999886997559e-4
100	64	4.819033651698222e-4	1.470387215202821e0	3.277390881716487e-4
100	65	4.736542870164530e-4	1.470159308953926e0	3.221788850580254e-4
100	66	5.049660241179734e-4	1.469915100794637e0	3.435341427848374e-4
100	67	5.085368267239609e-4	1.469655525696091e0	3.460245056290291e-4
100	68	5.104235673573140e-4	1.469381460996361e0	3.473730824201396e-4
100	69	5.148185901140785e-4	1.469093730566939e0	3.504327732141396e-4
100	70	5.244576238130209e-4	1.468793108628857e0	3.570670509903268e-4
100	71	5.213418802295023e-4	1.468480323252096e0	3.550213591387720e-4
100	72	5.191180057131307e-4	1.468156059568340e0	3.535850309167809e-4
100	73	5.348324582395994e-4	1.467820962723912e0	3.643717264039361e-4
100	74	5.384990123772108e-4	1.467475640596895e0	3.669560144508953e-4
100	75	5.503750202486078e-4	1.467120666299945e0	3.751395729682172e-4
100	76	5.629527137810146e-4	1.466756580488136e0	3.838078664652482e-4
100	77	5.588982722933650e-4	1.466383893489138e0	3.811404876819216e-4
100	78	5.838527197318490e-4	1.466003087271394e0	3.982615894885652e-4
100	79	5.957595849778199e-4	1.465614617264328e0	4.064912958427276e-4
100	80	5.931611953441296e-4	1.465218914043308e0	4.048276947963268e-4
100	81	6.015820175855292e-4	1.464816384890813e0	4.106876628297485e-4
100	82	6.170229393845557e-4	1.464407415244203e0	4.213465002713481e-4
100	83	6.408132960833639e-4	1.463992370039475e0	4.377162813123712e-4
100	84	6.432846262235635e-4	1.463571594959539e0	4.395306853720041e-4
100	85	6.276049656657559e-4	1.463145417594747e0	4.289423034229029e-4
100	86	6.382107193540476e-4	1.462714148522704e0	4.363195091799861e-4
100	87	6.456144776597650e-4	1.462278082313779e0	4.415127912183446e-4
100	88	6.523731502159210e-4	1.461837498468116e0	4.462692678902777e-4
100	89	6.712206608133303e-4	1.461392662289485e0	4.593020603796964e-4
100	90	6.833586005242909e-4	1.460943825700819e0	4.677514552597405e-4
100	91	6.659083095280679e-4	1.460491228005855e0	4.559481746681182e-4
100	92	6.688743857429383e-4	1.460035096600954e0	4.581221282283669e-4
100	93	6.747695968404723e-4	1.459575647640798e0	4.623053268469806e-4
100	94	6.918622527809273e-4	1.459113086661368e0	4.741662994497528e-4
100	95	7.121554073244833e-4	1.458647609163326e0	4.882299212302362e-4
100	96	7.467806287529696e-4	1.458179401158659e0	5.121322027725689e-4
100	97	7.688946998443502e-4	1.457708639683215e0	5.274680268146344e-4
100	98	7.758570379590085e-4	1.457235493277555e0	5.324170606179667e-4
