M	S_M	sum_abs	cancellation_ratio	ln_M
6	1.168755079468951e0	7.684553139786328e0	0.15209148	1.791759
73	1.475716810480303e0	2.855674049944676e1	0.05167665	4.290459
97	1.380677842905131e0	3.139563419211511e1	0.04397675	4.574711
145	1.413690744641035e0	3.497535146736863e1	0.04041963	4.976734
193	1.451727565231552e0	3.709078220995552e1	0.03913985	5.262690
217	1.414985775137293e0	3.796588711215450e1	0.03726993	5.379897
241	1.428988393248231e0	3.867826431986075e1	0.03694551	5.484797
265	1.426027787942708e0	3.914068663599533e1	0.03643339	5.579730
313	1.434471439446737e0	3.990967404385837e1	0.03594295	5.746203
337	1.426587208398006e0	4.019610603594033e1	0.03549068	5.820083
385	1.430527473715191e0	4.053973352412605e1	0.03528705	5.953243
409	1.428697082731771e0	4.068074366325094e1	0.03511974	6.013715
433	1.429836658603070e0	4.077507205281717e1	0.03506644	6.070738
457	1.430717897271678e0	4.084053237936525e1	0.03503181	6.124683
481	1.430601389852586e0	4.087302342454961e1	0.03500111	6.175867
