band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	8.087035760980053e-1
1	2	[2,4)	[4,8)	1.860720920613450e-1
1	3	[2,4)	[8,16)	-7.829620173222547e-2
1	4	[2,4)	[16,32)	1.134467546740933e-1
1	5	[2,4)	[32,64)	-5.634003985860576e-2
1	6	[2,4)	[64,128)	5.128694712589912e-3
2	1	[4,8)	[2,4)	1.860720920613450e-1
2	2	[4,8)	[4,8)	8.488817805910985e-2
2	3	[4,8)	[8,16)	-3.087404489694668e-2
2	4	[4,8)	[16,32)	3.793752846896892e-2
2	5	[4,8)	[32,64)	-1.975091200606198e-2
2	6	[4,8)	[64,128)	1.775879085249795e-3
3	1	[8,16)	[2,4)	-7.829620173222544e-2
3	2	[8,16)	[4,8)	-3.087404489694667e-2
3	3	[8,16)	[8,16)	2.284947723365284e-2
3	4	[8,16)	[16,32)	-2.297576782580230e-2
3	5	[8,16)	[32,64)	1.009419117898026e-2
3	6	[8,16)	[64,128)	-1.025628335497370e-3
4	1	[16,32)	[2,4)	1.134467546740933e-1
4	2	[16,32)	[4,8)	3.793752846896893e-2
4	3	[16,32)	[8,16)	-2.297576782580229e-2
4	4	[16,32)	[16,32)	4.131274992297793e-2
4	5	[16,32)	[32,64)	-2.081155579730183e-2
4	6	[16,32)	[64,128)	1.842966856569452e-3
5	1	[32,64)	[2,4)	-5.634003985860576e-2
5	2	[32,64)	[4,8)	-1.975091200606198e-2
5	3	[32,64)	[8,16)	1.009419117898026e-2
5	4	[32,64)	[16,32)	-2.081155579730183e-2
5	5	[32,64)	[32,64)	1.332540540500554e-2
5	6	[32,64)	[64,128)	-1.221736556289559e-3
6	1	[64,128)	[2,4)	5.128694712589913e-3
6	2	[64,128)	[4,8)	1.775879085249794e-3
6	3	[64,128)	[8,16)	-1.025628335497371e-3
6	4	[64,128)	[16,32)	1.842966856569451e-3
6	5	[64,128)	[32,64)	-1.221736556289559e-3
6	6	[64,128)	[64,128)	2.124777080268164e-4
