r1	r2	value
0	0	0.000000000000000e0
0	1	0.000000000000000e0
0	2	0.000000000000000e0
0	3	0.000000000000000e0
0	4	0.000000000000000e0
0	5	0.000000000000000e0
0	6	0.000000000000000e0
0	7	0.000000000000000e0
1	0	0.000000000000000e0
1	1	2.580787855634074e-2
1	2	-8.567922695188480e-3
1	3	9.226718198980509e-2
1	4	0.000000000000000e0
1	5	6.918025188318391e-2
1	6	-8.595268329281300e-2
1	7	3.180462391515494e-2
2	0	0.000000000000000e0
2	1	-8.567922695188447e-3
2	2	1.860509969343105e-1
2	3	4.726732099272691e-2
2	4	0.000000000000000e0
2	5	5.622029954945520e-3
2	6	-2.914486583475744e-3
2	7	4.459616047655338e-3
3	0	0.000000000000000e0
3	1	9.226718198980502e-2
3	2	4.726732099272696e-2
3	3	6.218918951024466e-1
3	4	0.000000000000000e0
3	5	4.175352584275085e-1
3	6	-4.857422378217249e-1
3	7	1.972262786197586e-1
4	0	0.000000000000000e0
4	1	0.000000000000000e0
4	2	0.000000000000000e0
4	3	0.000000000000000e0
4	4	0.000000000000000e0
4	5	0.000000000000000e0
4	6	0.000000000000000e0
4	7	0.000000000000000e0
5	0	0.000000000000000e0
5	1	6.918025188318390e-2
5	2	5.622029954945523e-3
5	3	4.175352584275088e-1
5	4	0.000000000000000e0
5	5	3.490751568268604e-1
5	6	-3.624219187457887e-1
5	7	1.443628212424900e-1
6	0	0.000000000000000e0
6	1	-8.595268329281311e-2
6	2	-2.914486583475821e-3
6	3	-4.857422378217245e-1
6	4	0.000000000000000e0
6	5	-3.624219187457886e-1
6	6	4.383282018494217e-1
6	7	-1.762138516187048e-1
7	0	0.000000000000000e0
7	1	3.180462391515486e-2
7	2	4.459616047655258e-3
7	3	1.972262786197584e-1
7	4	0.000000000000000e0
7	5	1.443628212424903e-1
7	6	-1.762138516187050e-1
7	7	9.318977248723985e-2
