p1	p2	value	normalized
1	1	1.257489934747479e0	1.0000000000
1	2	1.133296198807596e0	0.8802400581
1	3	1.114408028699419e0	0.8592674837
1	4	1.114418508109172e0	0.8548225776
1	5	1.111023496926786e0	0.8504309291
1	6	1.106230786698102e0	0.8468521971
1	7	1.107444842585343e0	0.8474656053
1	8	1.096839568348089e0	0.8418526399
2	1	1.133296198807596e0	0.8802400581
2	2	1.318196303440951e0	1.0000000000
2	3	1.140084056923186e0	0.8585848716
2	4	1.165008509274309e0	0.8728085252
2	5	1.149545916648272e0	0.8594177909
2	6	1.143578657241417e0	0.8550472869
2	7	1.140674947429571e0	0.8525583134
2	8	1.133045837426844e0	0.8493812360
3	1	1.114408028699419e0	0.8592674837
3	2	1.140084056923186e0	0.8585848716
3	3	1.337602869715253e0	1.0000000000
3	4	1.158727241495274e0	0.8617822568
3	5	1.151800162574502e0	0.8548336332
3	6	1.166966217819032e0	0.8661813420
3	7	1.150738924434757e0	0.8538182684
3	8	1.141812260540215e0	0.8497209653
4	1	1.114418508109172e0	0.8548225776
4	2	1.165008509274309e0	0.8728085252
4	3	1.158727241495274e0	0.8617822568
4	4	1.351574988394740e0	1.0000000000
4	5	1.170231827145270e0	0.8640122378
4	6	1.158119593454334e0	0.8551601851
4	7	1.151335542946267e0	0.8498339445
4	8	1.160610183843260e0	0.8592341538
5	1	1.111023496926786e0	0.8504309291
5	2	1.149545916648272e0	0.8594177909
5	3	1.151800162574502e0	0.8548336332
5	4	1.170231827145270e0	0.8640122378
5	5	1.357262584507592e0	1.0000000000
5	6	1.157518726620715e0	0.8529237818
5	7	1.162810072546642e0	0.8565033809
5	8	1.154389640672552e0	0.8528363640
6	1	1.106230786698102e0	0.8468521971
6	2	1.143578657241417e0	0.8550472869
6	3	1.166966217819032e0	0.8661813420
6	4	1.158119593454334e0	0.8551601851
6	5	1.157518726620715e0	0.8529237818
6	6	1.356974626083726e0	1.0000000000
6	7	1.162850854568622e0	0.8566242962
6	8	1.155675069796638e0	0.8538765939
7	1	1.107444842585343e0	0.8474656053
7	2	1.140674947429571e0	0.8525583134
7	3	1.150738924434757e0	0.8538182684
7	4	1.151335542946267e0	0.8498339445
7	5	1.162810072546642e0	0.8565033809
7	6	1.162850854568622e0	0.8566242962
7	7	1.357986741688579e0	1.0000000000
7	8	1.151920850096607e0	0.8507855438
8	1	1.096839568348089e0	0.8418526399
8	2	1.133045837426844e0	0.8493812360
8	3	1.141812260540215e0	0.8497209653
8	4	1.160610183843260e0	0.8592341538
8	5	1.154389640672552e0	0.8528363640
8	6	1.155675069796638e0	0.8538765939
8	7	1.151920850096607e0	0.8507855438
8	8	1.349924702461292e0	1.0000000000
