d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	1.597018380129325e0	1.597018380129325e0	93.8277	1.000000	1
2	3.653807304517029e-1	3.653807304517029e-1	115.2945	1.500000	2 (prime)
3	1.344821125871578e-1	1.344821125871578e-1	123.1955	1.333333	3 (prime)
5	-2.161782408936845e-1	2.161782408936845e-1	135.8964	1.200000	5 (prime)
6	-6.893451381812375e-2	6.893451381812375e-2	139.9464	2.000000	2·3
7	-9.339789606803257e-2	9.339789606803257e-2	145.4337	1.142857	7 (prime)
10	-1.581138469580681e-2	1.581138469580681e-2	146.3627	1.800000	2·5
11	-4.042582392361150e-2	4.042582392361150e-2	148.7378	1.090909	11 (prime)
13	2.679392312972421e-2	2.679392312972421e-2	150.3119	1.076923	13 (prime)
14	1.939370272181590e-3	1.939370272181590e-3	150.4259	1.714286	2·7
15	-2.727568455911045e-2	2.727568455911045e-2	152.0284	1.600000	3·5
17	7.692683337512770e-3	7.692683337512770e-3	152.4803	1.058824	17 (prime)
19	1.272898313844335e-2	1.272898313844335e-2	153.2282	1.052632	19 (prime)
21	7.123107704254381e-3	7.123107704254381e-3	153.6467	1.523810	3·7
22	1.510000390798615e-3	1.510000390798615e-3	153.7354	1.636364	2·11
23	4.750276272831102e-4	4.750276272831102e-4	153.7633	1.043478	23 (prime)
26	2.962164670717352e-3	2.962164670717352e-3	153.9373	1.615385	2·13
29	1.199204805620784e-2	1.199204805620784e-2	154.6419	1.034483	29 (prime)
