omega_j	omega_k	Q_value
0	0	2.606614033209943e-1
0	1	-1.225911029505456e0
0	2	7.885734690558491e-1
0	3	-1.192498690241315e-1
0	4	1.358668677556528e-3
1	0	-1.225911029505456e0
1	1	8.001506638863310e0
1	2	-5.981945684250208e0
1	3	1.226843819209653e0
1	4	-1.905461483353121e-2
2	0	7.885734690558491e-1
2	1	-5.981945684250208e0
2	2	5.083619922002500e0
2	3	-1.133991634359387e0
2	4	2.385994291574702e-2
3	0	-1.192498690241315e-1
3	1	1.226843819209653e0
3	2	-1.133991634359387e0
3	3	2.654748012134692e-1
3	4	-5.250794775647088e-3
4	0	1.358668677556528e-3
4	1	-1.905461483353121e-2
4	2	2.385994291574702e-2
4	3	-5.250794775647088e-3
4	4	1.483250658609969e-4
