M	S_M	sum_abs	cancel_ratio	ln_M
249	1.586986170267538e0	1.298411128953697e2	0.01222252	5.517453
498	1.614704261471510e0	1.687393310254238e2	0.00956922	6.210600
751	1.602903403783071e0	1.919214416918802e2	0.00835187	6.621406
1001	1.592979117389771e0	2.077344788812797e2	0.00766834	6.908755
1249	1.601515026556449e0	2.192744847917363e2	0.00730370	7.130099
1497	1.597560327795986e0	2.280795103065530e2	0.00700440	7.311218
1751	1.606041772193883e0	2.349470251902144e2	0.00683576	7.467942
2002	1.595878266346746e0	2.403521677162429e2	0.00663975	7.601902
2251	1.595124206075848e0	2.446773732613012e2	0.00651930	7.719130
2495	1.599534324750994e0	2.481645193582443e2	0.00644546	7.822044
2749	1.601968579141922e0	2.509775123724905e2	0.00638292	7.918992
3001	1.600931149484734e0	2.532352783324308e2	0.00632191	8.006701
3247	1.596360247000102e0	2.550450890687898e2	0.00625913	8.085487
3495	1.597189922768910e0	2.564778566872885e2	0.00622740	8.159089
3749	1.599345075346191e0	2.575891382973380e2	0.00620890	8.229244
3999	1.599554148025699e0	2.584235274731357e2	0.00618966	8.293800
4251	1.599953120943366e0	2.590253076483481e2	0.00617682	8.354910
4501	1.599466789695918e0	2.594252396523257e2	0.00616542	8.412055
4747	1.599371064359495e0	2.596493848002054e2	0.00615973	8.465268
4997	1.599241201550224e0	2.597209214120026e2	0.00615754	8.516593
