d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	-1.162994753578997e0	1.162994753578997e0	697.0847	1.000000	1
2	-1.115675394921675e0	1.115675394921675e0	1365.8068	1.500000	2 (prime)
3	-1.318673109891791e-1	1.318673109891791e-1	1444.8465	1.333333	3 (prime)
4	5.627754943485597e-1	5.627754943485597e-1	1782.1672	1.750000	2^2
5	-5.932664966573396e-2	5.932664966573396e-2	1817.7268	1.200000	5 (prime)
6	1.149670508178902e0	1.149670508178902e0	2506.8252	2.000000	2·3
7	8.302840090345139e-2	8.302840090345139e-2	2556.5914	1.142857	7 (prime)
8	1.985898212479395e-1	1.985898212479395e-1	2675.6237	1.875000	2^3
9	-3.101363969700998e-2	3.101363969700998e-2	2694.2129	1.444444	3^2
10	4.801112588133150e-2	4.801112588133150e-2	2722.9901	1.800000	2·5
11	-6.250725182032882e-3	6.250725182032882e-3	2726.7367	1.090909	11 (prime)
12	2.206609293435797e-1	2.206609293435797e-1	2858.9982	2.333333	2^2·3
13	-1.727337303820748e-3	1.727337303820748e-3	2860.0335	1.076923	13 (prime)
14	1.241358365878160e-1	1.241358365878160e-1	2934.4390	1.714286	2·7
15	5.050171675706626e-3	5.050171675706626e-3	2937.4660	1.600000	3·5
16	2.374174908461581e-2	2.374174908461581e-2	2951.6965	1.937500	2^4
17	1.070220453708706e-2	1.070220453708706e-2	2958.1113	1.058824	17 (prime)
18	-2.579750686580588e-2	2.579750686580588e-2	2973.5740	2.166667	2·3^2
19	-4.214555367317646e-4	4.214555367317646e-4	2973.8266	1.052632	19 (prime)
20	5.379711534191300e-2	5.379711534191300e-2	3006.0720	2.100000	2^2·5
21	-6.721365019652616e-4	6.721365019652616e-4	3006.4748	1.523810	3·7
22	-3.564382710355860e-2	3.564382710355860e-2	3027.8393	1.636364	2·11
23	4.927765817074505e-2	4.927765817074505e-2	3057.3757	1.043478	23 (prime)
24	2.981003733147965e-2	2.981003733147965e-2	3075.2435	2.500000	2^3·3
25	1.058153242634726e-3	1.058153242634726e-3	3075.8777	1.240000	5^2
26	-2.222229728987746e-2	2.222229728987746e-2	3089.1975	1.615385	2·13
27	1.126588395949216e-2	1.126588395949216e-2	3095.9501	1.481481	3^3
28	-8.283669550361972e-4	8.283669550361972e-4	3096.4467	2.000000	2^2·7
29	-7.791577480257428e-3	7.791577480257428e-3	3101.1168	1.034483	29 (prime)
30	6.615910496319273e-2	6.615910496319273e-2	3140.7718	2.400000	2·3·5
31	2.338778805288065e-3	2.338778805288065e-3	3142.1736	1.032258	31 (prime)
32	-6.364103264591843e-3	6.364103264591843e-3	3145.9882	1.968750	2^5
33	6.517120907899353e-3	6.517120907899353e-3	3149.8945	1.454545	3·11
34	2.579700552706977e-2	2.579700552706977e-2	3165.3569	1.588235	2·17
35	3.968122055309521e-3	3.968122055309521e-3	3167.7353	1.371429	5·7
36	-8.805369180590474e-3	8.805369180590474e-3	3173.0132	2.527778	2^2·3^2
37	2.628597515743046e-3	2.628597515743046e-3	3174.5887	1.027027	37 (prime)
38	6.269098454767886e-3	6.269098454767886e-3	3178.3463	1.578947	2·19
39	-1.328304140002979e-3	1.328304140002979e-3	3179.1425	1.435897	3·13
40	-9.741846499319919e-3	9.741846499319919e-3	3184.9816	2.250000	2^3·5
41	6.488549604164225e-4	6.488549604164225e-4	3185.3705	1.024390	41 (prime)
42	2.100353461747676e-2	2.100353461747676e-2	3197.9598	2.285714	2·3·7
43	1.530232247253405e-2	1.530232247253405e-2	3207.1318	1.023256	43 (prime)
44	-6.503287515984199e-3	6.503287515984199e-3	3211.0298	1.909091	2^2·11
45	-8.870602130117619e-4	8.870602130117619e-4	3211.5615	1.733333	3^2·5
46	1.676508199501558e-3	1.676508199501558e-3	3212.5664	1.565217	2·23
47	-4.223412831366435e-4	4.223412831366435e-4	3212.8195	1.021277	47 (prime)
48	3.740188778250370e-3	3.740188778250370e-3	3215.0614	2.583333	2^4·3
49	6.926078917477720e-3	6.926078917477720e-3	3219.2128	1.163265	7^2
50	-5.317377060841399e-3	5.317377060841399e-3	3222.3999	1.860000	2·5^2
51	1.350241850539213e-3	1.350241850539213e-3	3223.2093	1.411765	3·17
52	9.593250852656799e-3	9.593250852656799e-3	3228.9593	1.884615	2^2·13
53	3.004761624724311e-4	3.004761624724311e-4	3229.1394	1.018868	53 (prime)
54	-1.040581138186975e-2	1.040581138186975e-2	3235.3766	2.222222	2·3^3
55	-8.473981908317540e-4	8.473981908317540e-4	3235.8845	1.309091	5·11
56	-4.640422159930754e-4	4.640422159930754e-4	3236.1626	2.142857	2^3·7
57	-2.284262973998591e-3	2.284262973998591e-3	3237.5318	1.403509	3·19
58	5.240895366207318e-3	5.240895366207318e-3	3240.6731	1.551724	2·29
59	1.775764902713566e-3	1.775764902713566e-3	3241.7375	1.016949	59 (prime)
60	-4.812119030271121e-3	4.812119030271121e-3	3244.6218	2.800000	2^2·3·5
61	4.912527199119166e-4	4.912527199119166e-4	3244.9162	1.016393	61 (prime)
62	-7.409983451456437e-3	7.409983451456437e-3	3249.3577	1.548387	2·31
63	-4.274411387081379e-3	4.274411387081379e-3	3251.9197	1.650794	3^2·7
64	1.168595104169544e-3	1.168595104169544e-3	3252.6202	1.984375	2^6
65	3.931864127319375e-3	3.931864127319375e-3	3254.9769	1.292308	5·13
66	-3.652177880737661e-3	3.652177880737661e-3	3257.1660	2.181818	2·3·11
67	-4.187507048579952e-3	4.187507048579952e-3	3259.6759	1.014925	67 (prime)
68	1.072365638203708e-2	1.072365638203708e-2	3266.1035	1.852941	2^2·17
69	-5.400626653742597e-4	5.400626653742597e-4	3266.4272	1.391304	3·23
70	-4.265659307031340e-3	4.265659307031340e-3	3268.9840	2.057143	2·5·7
71	4.062512344065113e-3	4.062512344065113e-3	3271.4190	1.014085	71 (prime)
72	1.145139237348385e-4	1.145139237348385e-4	3271.4877	2.708333	2^3·3^2
73	1.408032674089122e-2	1.408032674089122e-2	3279.9272	1.013699	73 (prime)
74	-8.577615205015517e-4	8.577615205015517e-4	3280.4414	1.540541	2·37
75	-7.049551325282855e-3	7.049551325282855e-3	3284.6668	1.653333	3·5^2
76	9.112125114516645e-3	9.112125114516645e-3	3290.1285	1.842105	2^2·19
77	3.420975066675499e-4	3.420975066675499e-4	3290.3335	1.246753	7·11
78	-4.983747901874294e-3	4.983747901874294e-3	3293.3207	2.153846	2·3·13
79	-1.896768485225412e-3	1.896768485225412e-3	3294.4576	1.012658	79 (prime)
80	3.432382252939316e-4	3.432382252939316e-4	3294.6634	2.325000	2^4·5
81	1.163603610312571e-3	1.163603610312571e-3	3295.3608	1.493827	3^4
82	-2.222947691270664e-4	2.222947691270664e-4	3295.4941	1.536585	2·41
83	-5.154431549069549e-4	5.154431549069549e-4	3295.8030	1.012048	83 (prime)
84	2.808358423255788e-3	2.808358423255788e-3	3297.4863	2.666667	2^2·3·7
85	-4.633825833032189e-4	4.633825833032189e-4	3297.7640	1.270588	5·17
86	-8.240535700540024e-4	8.240535700540024e-4	3298.2580	1.534884	2·43
87	1.431059885169022e-3	1.431059885169022e-3	3299.1157	1.379310	3·29
88	-9.498012893482696e-4	9.498012893482696e-4	3299.6850	2.045455	2^3·11
89	5.566410150028809e-4	5.566410150028809e-4	3300.0187	1.011236	89 (prime)
90	1.659123496150549e-3	1.659123496150549e-3	3301.0131	2.600000	2·3^2·5
91	-4.216585791268474e-4	4.216585791268474e-4	3301.2659	1.230769	7·13
92	-4.708471934031045e-3	4.708471934031045e-3	3304.0881	1.826087	2^2·23
93	-2.858192718066828e-4	2.858192718066828e-4	3304.2594	1.376344	3·31
94	-7.655507891680431e-4	7.655507891680431e-4	3304.7182	1.531915	2·47
95	1.530307086894080e-4	1.530307086894080e-4	3304.8100	1.263158	5·19
96	4.788022641045018e-3	4.788022641045018e-3	3307.6799	2.625000	2^5·3
97	7.395863986953747e-4	7.395863986953747e-4	3308.1232	1.010309	97 (prime)
98	4.452385857944846e-4	4.452385857944846e-4	3308.3900	1.744898	2·7^2
99	-9.772888355732009e-4	9.772888355732009e-4	3308.9758	1.575758	3^2·11
100	-2.322609949087456e-3	2.322609949087456e-3	3310.3679	2.170000	2^2·5^2
101	4.970022651475213e-3	4.970022651475213e-3	3313.3469	1.009901	101 (prime)
