omega_j	omega_k	Q_value
1	1	-3.602517677603844e-1
1	2	1.816730847739665e-1
1	3	-1.833932779165456e-2
1	4	-1.681983547451252e-2
1	5	5.595379808660543e-4
2	1	1.816730847739665e-1
2	2	-4.348694554483045e-1
2	3	3.753458349251378e-1
2	4	-5.121777187073231e-2
2	5	5.266535467316184e-4
3	1	-1.833932779165455e-2
3	2	3.753458349251378e-1
3	3	-6.113923421930673e-2
3	4	3.878414867569963e-2
3	5	-2.875453609435038e-4
4	1	-1.681983547451252e-2
4	2	-5.121777187073230e-2
4	3	3.878414867569963e-2
4	4	3.224404033225099e-3
4	5	-2.733232661426280e-4
5	1	5.595379808660542e-4
5	2	5.266535467316184e-4
5	3	-2.875453609435035e-4
5	4	-2.733232661426281e-4
5	5	-2.993066710267687e-5
