band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	8.714397871278556e-1
1	2	[2,4)	[4,8)	2.490676249857394e-1
1	3	[2,4)	[8,16)	-1.094666966180247e-1
1	4	[2,4)	[16,32)	1.801820446471159e-1
1	5	[2,4)	[32,64)	-1.075950679440061e-1
1	6	[2,4)	[64,128)	1.976509029930743e-2
1	7	[2,4)	[128,256)	-2.691519100958626e-3
1	8	[2,4)	[256,512)	1.843184867257890e-3
2	1	[4,8)	[2,4)	2.490676249857394e-1
2	2	[4,8)	[4,8)	4.254894781950491e-3
2	3	[4,8)	[8,16)	7.587224792361694e-3
2	4	[4,8)	[16,32)	9.460034637257111e-2
2	5	[4,8)	[32,64)	-5.153205048261073e-2
2	6	[4,8)	[64,128)	8.697255982749504e-3
2	7	[4,8)	[128,256)	-1.114924228979586e-3
2	8	[4,8)	[256,512)	7.394901389926598e-4
3	1	[8,16)	[2,4)	-1.094666966180248e-1
3	2	[8,16)	[4,8)	7.587224792361682e-3
3	3	[8,16)	[8,16)	2.818569225685189e-3
3	4	[8,16)	[16,32)	-6.504662219746056e-3
3	5	[8,16)	[32,64)	9.063558989831477e-3
3	6	[8,16)	[64,128)	3.783017178506606e-2
3	7	[8,16)	[128,256)	1.390981636416582e-3
3	8	[8,16)	[256,512)	-7.250437447896080e-4
4	1	[16,32)	[2,4)	1.801820446471159e-1
4	2	[16,32)	[4,8)	9.460034637257109e-2
4	3	[16,32)	[8,16)	-6.504662219746056e-3
4	4	[16,32)	[16,32)	4.604076521220485e-2
4	5	[16,32)	[32,64)	-3.841630313890336e-2
4	6	[16,32)	[64,128)	2.118391439338060e-3
4	7	[16,32)	[128,256)	1.564291409196612e-2
4	8	[16,32)	[256,512)	4.265671291055289e-3
5	1	[32,64)	[2,4)	-1.075950679440061e-1
5	2	[32,64)	[4,8)	-5.153205048261073e-2
5	3	[32,64)	[8,16)	9.063558989831475e-3
5	4	[32,64)	[16,32)	-3.841630313890336e-2
5	5	[32,64)	[32,64)	9.670113261328453e-3
5	6	[32,64)	[64,128)	3.589138666436318e-3
5	7	[32,64)	[128,256)	8.490004328817207e-3
5	8	[32,64)	[256,512)	-1.080758913208191e-3
6	1	[64,128)	[2,4)	1.976509029930743e-2
6	2	[64,128)	[4,8)	8.697255982749504e-3
6	3	[64,128)	[8,16)	3.783017178506606e-2
6	4	[64,128)	[16,32)	2.118391439338051e-3
6	5	[64,128)	[32,64)	3.589138666436314e-3
6	6	[64,128)	[64,128)	4.033103883383127e-3
6	7	[64,128)	[128,256)	-5.735232840261972e-3
6	8	[64,128)	[256,512)	-1.108831347907857e-3
7	1	[128,256)	[2,4)	-2.691519100958624e-3
7	2	[128,256)	[4,8)	-1.114924228979585e-3
7	3	[128,256)	[8,16)	1.390981636416586e-3
7	4	[128,256)	[16,32)	1.564291409196612e-2
7	5	[128,256)	[32,64)	8.490004328817202e-3
7	6	[128,256)	[64,128)	-5.735232840261971e-3
7	7	[128,256)	[128,256)	-5.107958977541760e-3
7	8	[128,256)	[256,512)	4.215016427302801e-4
8	1	[256,512)	[2,4)	1.843184867257889e-3
8	2	[256,512)	[4,8)	7.394901389926601e-4
8	3	[256,512)	[8,16)	-7.250437447896077e-4
8	4	[256,512)	[16,32)	4.265671291055290e-3
8	5	[256,512)	[32,64)	-1.080758913208191e-3
8	6	[256,512)	[64,128)	-1.108831347907857e-3
8	7	[256,512)	[128,256)	4.215016427302804e-4
8	8	[256,512)	[256,512)	-1.245303131826066e-4
