d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	1.460036262438024e0	1.460036262438024e0	73.3589	1.000000	1
2	6.349198756064036e-1	6.349198756064036e-1	105.2602	1.500000	2 (prime)
3	3.161603846814032e-1	3.161603846814032e-1	121.1456	1.333333	3 (prime)
5	-2.417831769760705e-1	2.417831769760705e-1	133.2939	1.200000	5 (prime)
6	-1.200912653442891e-1	1.200912653442891e-1	139.3278	2.000000	2·3
7	-3.808084817441429e-2	3.808084817441429e-2	141.2412	1.142857	7 (prime)
10	-7.139076527770077e-3	7.139076527770077e-3	141.5999	1.800000	2·5
11	-3.516369113341226e-2	3.516369113341226e-2	143.3666	1.090909	11 (prime)
13	2.429215479317330e-2	2.429215479317330e-2	144.5872	1.076923	13 (prime)
14	-1.205167933865783e-2	1.205167933865783e-2	145.1927	1.714286	2·7
15	-5.231299126808193e-2	5.231299126808193e-2	147.8212	1.600000	3·5
17	-8.784533486300095e-3	8.784533486300095e-3	148.2625	1.058824	17 (prime)
19	1.348501121960205e-2	1.348501121960205e-2	148.9401	1.052632	19 (prime)
21	7.699162868618856e-3	7.699162868618856e-3	149.3269	1.523810	3·7
22	-1.333877187708213e-2	1.333877187708213e-2	149.9971	1.636364	2·11
23	-1.495205984861304e-2	1.495205984861304e-2	150.7484	1.043478	23 (prime)
26	9.041422643637281e-3	9.041422643637281e-3	151.2027	1.615385	2·13
29	2.086857345705980e-2	2.086857345705980e-2	152.2512	1.034483	29 (prime)
30	2.361626261765554e-3	2.361626261765554e-3	152.3699	2.400000	2·3·5
31	1.153721324299841e-2	1.153721324299841e-2	152.9495	1.032258	31 (prime)
33	-1.651591413580892e-2	1.651591413580892e-2	153.7794	1.454545	3·11
34	2.225891028451984e-3	2.225891028451984e-3	153.8912	1.588235	2·17
35	-1.621817781487075e-2	1.621817781487075e-2	154.7061	1.371429	5·7
37	-2.528714139127470e-4	2.528714139127470e-4	154.7188	1.027027	37 (prime)
38	6.840616655076178e-3	6.840616655076178e-3	155.0625	1.578947	2·19
39	-9.315411848152259e-3	9.315411848152259e-3	155.5306	1.435897	3·13
41	5.351575866001395e-3	5.351575866001395e-3	155.7994	1.024390	41 (prime)
42	1.188481318305171e-3	1.188481318305171e-3	155.8592	2.285714	2·3·7
43	7.370349359029027e-3	7.370349359029027e-3	156.2295	1.023256	43 (prime)
46	3.080236520900455e-3	3.080236520900455e-3	156.3842	1.565217	2·23
47	-3.761857280879781e-3	3.761857280879781e-3	156.5733	1.021277	47 (prime)
51	8.693594687584670e-4	8.693594687584670e-4	156.6169	1.411765	3·17
53	3.586218301386249e-3	3.586218301386249e-3	156.7971	1.018868	53 (prime)
55	-4.119673507741214e-3	4.119673507741214e-3	157.0041	1.309091	5·11
57	-7.505509391278452e-4	7.505509391278452e-4	157.0418	1.403509	3·19
58	4.643553072011307e-3	4.643553072011307e-3	157.2751	1.551724	2·29
59	8.931849628552486e-4	8.931849628552486e-4	157.3200	1.016949	59 (prime)
61	1.324327375489967e-3	1.324327375489967e-3	157.3866	1.016393	61 (prime)
62	3.371258972331930e-3	3.371258972331930e-3	157.5559	1.548387	2·31
65	6.551534713406954e-3	6.551534713406954e-3	157.8851	1.292308	5·13
66	3.957721000826182e-3	3.957721000826182e-3	158.0840	2.181818	2·3·11
67	6.924680455765913e-3	6.924680455765913e-3	158.4319	1.014925	67 (prime)
69	4.799145472569898e-3	4.799145472569898e-3	158.6730	1.391304	3·23
70	1.298179355296848e-3	1.298179355296848e-3	158.7383	2.057143	2·5·7
71	-2.901632229159650e-4	2.901632229159650e-4	158.7528	1.014085	71 (prime)
73	-1.020063316089183e-3	1.020063316089183e-3	158.8041	1.013699	73 (prime)
74	2.886858180731800e-3	2.886858180731800e-3	158.9491	1.540541	2·37
77	2.671451542078546e-3	2.671451542078546e-3	159.0834	1.246753	7·11
78	8.419226317217121e-4	8.419226317217121e-4	159.1257	2.153846	2·3·13
79	2.908197103385229e-4	2.908197103385229e-4	159.1403	1.012658	79 (prime)
82	2.876644644365753e-3	2.876644644365753e-3	159.2848	1.536585	2·41
83	1.161532022547702e-3	1.161532022547702e-3	159.3432	1.012048	83 (prime)
85	-7.675213308391134e-4	7.675213308391134e-4	159.3817	1.270588	5·17
86	3.009450890038793e-3	3.009450890038793e-3	159.5330	1.534884	2·43
87	6.444505393763241e-4	6.444505393763241e-4	159.5653	1.379310	3·29
