omega_j	omega_k	Q_value
1	1	3.070848377778622e1
1	2	-4.153097747037557e1
1	3	1.861659836473936e1
1	4	-2.847073322560063e0
1	5	6.412785655098534e-2
2	1	-4.153097747037557e1
2	2	6.142785662575525e1
2	3	-2.886570460136120e1
2	4	4.619082624302768e0
2	5	-1.116386141534832e-1
3	1	1.861659836473936e1
3	2	-2.886570460136120e1
3	3	1.406158309723336e1
3	4	-2.274842557536267e0
3	5	5.805544103527043e-2
4	1	-2.847073322560063e0
4	2	4.619082624302768e0
4	3	-2.274842557536267e0
4	4	3.532877340343151e-1
4	5	-8.211482178073874e-3
5	1	6.412785655098534e-2
5	2	-1.116386141534832e-1
5	3	5.805544103527043e-2
5	4	-8.211482178073876e-3
5	5	2.203156573539340e-4
