M	S_M	sum_abs	cancel_ratio	ln_M
83	1.889705152968149e0	4.094494141395455e1	0.04615235	4.418841
167	1.751231572990572e0	5.421163462365246e1	0.03230361	5.117994
251	1.859967903229129e0	6.287609110912150e1	0.02958148	5.525453
334	1.900987278292480e0	6.928606763388909e1	0.02743679	5.811141
419	1.877089363389740e0	7.426095094757964e1	0.02527694	6.037871
501	1.880444826850106e0	7.849672668579676e1	0.02395571	6.216606
587	1.896878871755689e0	8.207726440907838e1	0.02311089	6.375025
670	1.854747509898689e0	8.504946826364829e1	0.02180787	6.507278
755	1.874292398739871e0	8.765034196754362e1	0.02138374	6.626718
835	1.891663974199269e0	8.983310786761771e1	0.02105754	6.727432
922	1.876083476380375e0	9.166038960973573e1	0.02046777	6.826545
1006	1.873489335170044e0	9.319214172365216e1	0.02010351	6.913737
1094	1.882160637488223e0	9.448717880699891e1	0.01991975	6.997596
1174	1.876045774035066e0	9.549890392526433e1	0.01964468	7.068172
1258	1.869629557876760e0	9.633751827012401e1	0.01940708	7.137278
1339	1.867249651215149e0	9.699572936749503e1	0.01925084	7.199678
1419	1.853350972681916e0	9.749794575430246e1	0.01900913	7.257708
1506	1.855334012937379e0	9.783903280666027e1	0.01896313	7.317212
1589	1.854831645843598e0	9.804068050775038e1	0.01891900	7.370860
1671	1.854340297921490e0	9.811899092869412e1	0.01889889	7.421178
