band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	9.489545671708182e-1
1	2	[2,4)	[4,8)	2.875028021700864e-1
1	3	[2,4)	[8,16)	-1.373365633720009e-1
1	4	[2,4)	[16,32)	2.426672367789425e-1
1	5	[2,4)	[32,64)	-1.569723217204183e-1
1	6	[2,4)	[64,128)	3.265035346058618e-2
1	7	[2,4)	[128,256)	-8.623837055430668e-3
1	8	[2,4)	[256,512)	1.339398465390286e-2
1	9	[2,4)	[512,1024)	-5.164384151093439e-3
1	10	[2,4)	[1024,2048)	-1.493251938464647e-3
1	11	[2,4)	[2048,4096)	6.339460161687309e-4
2	1	[4,8)	[2,4)	2.875028021700863e-1
2	2	[4,8)	[4,8)	9.666124177674692e-4
2	3	[4,8)	[8,16)	1.531209859157932e-2
2	4	[4,8)	[16,32)	1.350110230745047e-1
2	5	[4,8)	[32,64)	-7.958661032749789e-2
2	6	[4,8)	[64,128)	1.526965740438360e-2
2	7	[4,8)	[128,256)	-3.737572443940157e-3
2	8	[4,8)	[256,512)	5.660197759677920e-3
2	9	[4,8)	[512,1024)	-2.167093469071725e-3
2	10	[4,8)	[1024,2048)	-6.257085834801248e-4
2	11	[4,8)	[2048,4096)	2.655041864192825e-4
3	1	[8,16)	[2,4)	-1.373365633720009e-1
3	2	[8,16)	[4,8)	1.531209859157931e-2
3	3	[8,16)	[8,16)	6.394300739572051e-4
3	4	[8,16)	[16,32)	-1.721185100627876e-3
3	5	[8,16)	[32,64)	5.820658668528616e-3
3	6	[8,16)	[64,128)	7.902832606603857e-2
3	7	[8,16)	[128,256)	4.668699687951370e-3
3	8	[8,16)	[256,512)	-5.641525237231073e-3
3	9	[8,16)	[512,1024)	1.968112769167344e-3
3	10	[8,16)	[1024,2048)	4.985259502006455e-4
3	11	[8,16)	[2048,4096)	-2.115313067239182e-4
4	1	[16,32)	[2,4)	2.426672367789425e-1
4	2	[16,32)	[4,8)	1.350110230745047e-1
4	3	[16,32)	[8,16)	-1.721185100627876e-3
4	4	[16,32)	[16,32)	4.652735588555507e-3
4	5	[16,32)	[32,64)	-4.206850721533702e-3
4	6	[16,32)	[64,128)	-2.674720048099557e-2
4	7	[16,32)	[128,256)	8.190405871049812e-2
4	8	[16,32)	[256,512)	5.287197349841890e-2
4	9	[16,32)	[512,1024)	-1.613098520303527e-2
4	10	[16,32)	[1024,2048)	-1.356909027661939e-3
4	11	[16,32)	[2048,4096)	5.857808159327102e-4
5	1	[32,64)	[2,4)	-1.569723217204183e-1
5	2	[32,64)	[4,8)	-7.958661032749789e-2
5	3	[32,64)	[8,16)	5.820658668528602e-3
5	4	[32,64)	[16,32)	-4.206850721533702e-3
5	5	[32,64)	[32,64)	4.484900624190042e-3
5	6	[32,64)	[64,128)	-1.482928916355329e-3
5	7	[32,64)	[128,256)	9.087379188151784e-4
5	8	[32,64)	[256,512)	-4.328591206402338e-3
5	9	[32,64)	[512,1024)	4.709784070234457e-2
5	10	[32,64)	[1024,2048)	-3.243337035953254e-2
5	11	[32,64)	[2048,4096)	-8.075563411749134e-4
6	1	[64,128)	[2,4)	3.265035346058619e-2
6	2	[64,128)	[4,8)	1.526965740438359e-2
6	3	[64,128)	[8,16)	7.902832606603859e-2
6	4	[64,128)	[16,32)	-2.674720048099557e-2
6	5	[64,128)	[32,64)	-1.482928916355330e-3
6	6	[64,128)	[64,128)	3.936124345873187e-3
6	7	[64,128)	[128,256)	-3.754123417315194e-3
6	8	[64,128)	[256,512)	-8.065878097344168e-3
6	9	[64,128)	[512,1024)	-1.537083128120735e-2
6	10	[64,128)	[1024,2048)	2.429615878022550e-3
6	11	[64,128)	[2048,4096)	-2.999357927634642e-3
7	1	[128,256)	[2,4)	-8.623837055430661e-3
7	2	[128,256)	[4,8)	-3.737572443940163e-3
7	3	[128,256)	[8,16)	4.668699687951378e-3
7	4	[128,256)	[16,32)	8.190405871049815e-2
7	5	[128,256)	[32,64)	9.087379188151784e-4
7	6	[128,256)	[64,128)	-3.754123417315197e-3
7	7	[128,256)	[128,256)	-1.924634818526925e-2
7	8	[128,256)	[256,512)	-1.418085336971484e-2
7	9	[128,256)	[512,1024)	-1.217457667468011e-2
7	10	[128,256)	[1024,2048)	-1.740238284016733e-2
7	11	[128,256)	[2048,4096)	1.734290164687932e-3
8	1	[256,512)	[2,4)	1.339398465390286e-2
8	2	[256,512)	[4,8)	5.660197759677917e-3
8	3	[256,512)	[8,16)	-5.641525237231069e-3
8	4	[256,512)	[16,32)	5.287197349841889e-2
8	5	[256,512)	[32,64)	-4.328591206402335e-3
8	6	[256,512)	[64,128)	-8.065878097344171e-3
8	7	[256,512)	[128,256)	-1.418085336971484e-2
8	8	[256,512)	[256,512)	-1.938377213639272e-4
8	9	[256,512)	[512,1024)	-7.780029811436324e-3
8	10	[256,512)	[1024,2048)	5.025661188430969e-4
8	11	[256,512)	[2048,4096)	5.359852322791693e-4
9	1	[512,1024)	[2,4)	-5.164384151093436e-3
9	2	[512,1024)	[4,8)	-2.167093469071723e-3
9	3	[512,1024)	[8,16)	1.968112769167343e-3
9	4	[512,1024)	[16,32)	-1.613098520303526e-2
9	5	[512,1024)	[32,64)	4.709784070234457e-2
9	6	[512,1024)	[64,128)	-1.537083128120734e-2
9	7	[512,1024)	[128,256)	-1.217457667468011e-2
9	8	[512,1024)	[256,512)	-7.780029811436325e-3
9	9	[512,1024)	[512,1024)	1.411706170243505e-3
9	10	[512,1024)	[1024,2048)	-1.944015659398645e-3
9	11	[512,1024)	[2048,4096)	-4.062753803602164e-4
10	1	[1024,2048)	[2,4)	-1.493251938464646e-3
10	2	[1024,2048)	[4,8)	-6.257085834801252e-4
10	3	[1024,2048)	[8,16)	4.985259502006455e-4
10	4	[1024,2048)	[16,32)	-1.356909027661939e-3
10	5	[1024,2048)	[32,64)	-3.243337035953254e-2
10	6	[1024,2048)	[64,128)	2.429615878022547e-3
10	7	[1024,2048)	[128,256)	-1.740238284016733e-2
10	8	[1024,2048)	[256,512)	5.025661188430978e-4
10	9	[1024,2048)	[512,1024)	-1.944015659398646e-3
10	10	[1024,2048)	[1024,2048)	-5.281233365759764e-4
