d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	-1.194691834219388e-1	1.194691834219388e-1	16.7709	1.000000	1
2	2.409296262664135e-1	2.409296262664135e-1	50.5923	1.500000	2 (prime)
3	-2.193980974625094e-1	2.193980974625094e-1	81.3911	1.333333	3 (prime)
5	-5.656349208981726e-2	5.656349208981726e-2	89.3314	1.200000	5 (prime)
6	4.455537622964330e-1	4.455537622964330e-1	151.8777	2.000000	2·3
7	-2.718556835335018e-2	2.718556835335018e-2	155.6939	1.142857	7 (prime)
10	1.080144055401867e-1	1.080144055401867e-1	170.8568	1.800000	2·5
11	-1.070514151647730e-2	1.070514151647730e-2	172.3596	1.090909	11 (prime)
13	-7.756967198564976e-3	7.756967198564976e-3	173.4485	1.076923	13 (prime)
14	5.584493315456397e-2	5.584493315456397e-2	181.2880	1.714286	2·7
15	-5.304517010754159e-4	5.304517010754159e-4	181.3624	1.600000	3·5
17	-4.453896098335221e-3	4.453896098335221e-3	181.9877	1.058824	17 (prime)
19	-3.553195639422015e-3	3.553195639422015e-3	182.4865	1.052632	19 (prime)
21	1.708026449493601e-3	1.708026449493601e-3	182.7262	1.523810	3·7
22	2.597448069969416e-2	2.597448069969416e-2	186.3725	1.636364	2·11
23	-2.193961076771295e-3	2.193961076771295e-3	186.6805	1.043478	23 (prime)
26	1.999122182454171e-2	1.999122182454171e-2	189.4868	1.615385	2·13
29	-1.178387485127653e-3	1.178387485127653e-3	189.6522	1.034483	29 (prime)
30	4.739780783882632e-2	4.739780783882632e-2	196.3059	2.400000	2·3·5
31	-1.011433890840181e-3	1.011433890840181e-3	196.4479	1.032258	31 (prime)
33	2.122895577467710e-3	2.122895577467710e-3	196.7459	1.454545	3·11
34	1.327012991894972e-2	1.327012991894972e-2	198.6087	1.588235	2·17
35	1.218736865518393e-3	1.218736865518393e-3	198.7798	1.371429	5·7
37	-5.149118782415697e-4	5.149118782415697e-4	198.8521	1.027027	37 (prime)
38	1.121515886475691e-2	1.121515886475691e-2	200.4264	1.578947	2·19
39	2.000919294409726e-3	2.000919294409726e-3	200.7073	1.435897	3·13
41	-3.514540296225120e-4	3.514540296225120e-4	200.7567	1.024390	41 (prime)
42	2.205034583979630e-2	2.205034583979630e-2	203.8521	2.285714	2·3·7
43	-2.890921741027041e-4	2.890921741027041e-4	203.8927	1.023256	43 (prime)
