omega_j	omega_k	Q_value
0	0	2.606614033209943e-1
0	1	-1.392879717510954e0
0	2	1.012497233322052e0
0	3	-1.941439677645330e-1
0	4	5.631065893525295e-3
1	0	-1.392879717510954e0
1	1	1.097558922408217e1
1	2	-9.683622044501767e0
1	3	2.501581432993254e0
1	4	-1.070195565951180e-1
2	0	1.012497233322052e0
2	1	-9.683622044501767e0
2	2	9.690271621026938e0
2	3	-2.643691098361768e0
2	4	1.280118223517053e-1
3	0	-1.941439677645330e-1
3	1	2.501581432993254e0
3	2	-2.643691098361768e0
3	3	7.628271814329781e-1
3	4	-3.732053329597674e-2
4	0	5.631065893525295e-3
4	1	-1.070195565951180e-1
4	2	1.280118223517053e-1
4	3	-3.732053329597673e-2
4	4	1.733750315133856e-3
