M	S_M	sum_abs	cancel_ratio	ln_M
34	7.743327702289542e-1	2.521178426149285e1	0.03071313	3.526361
70	7.793795720411498e-1	3.272542874327562e1	0.02381572	4.248495
106	8.368439323833191e-1	3.779026454559968e1	0.02214443	4.663439
142	8.148307519594572e-1	4.157525959980926e1	0.01959893	4.955827
181	8.272834848938322e-1	4.450396783296679e1	0.01858898	5.198497
214	8.411037822613499e-1	4.679196318067964e1	0.01797539	5.365976
251	8.600144613045181e-1	4.881052753749243e1	0.01761945	5.525453
286	8.725825337614981e-1	5.041873169654207e1	0.01730671	5.655992
322	8.656700797706476e-1	5.174165953871949e1	0.01673062	5.774552
362	8.614367815301387e-1	5.283815071162702e1	0.01630331	5.891644
398	8.500915566307788e-1	5.374045175775131e1	0.01581847	5.986452
433	8.670329852732644e-1	5.453949229084907e1	0.01589734	6.070738
466	8.702018931935555e-1	5.521557403999473e1	0.01576008	6.144186
502	8.652191113013864e-1	5.576220881153203e1	0.01551623	6.218600
541	8.665726653882799e-1	5.621139790438924e1	0.01541632	6.293419
577	8.669180860515594e-1	5.655002328594112e1	0.01533011	6.357842
613	8.648195050231643e-1	5.679986157881274e1	0.01522573	6.418365
649	8.664331091047345e-1	5.696941599832866e1	0.01520874	6.475433
683	8.684091558231163e-1	5.706940094207358e1	0.01521672	6.526495
718	8.691793903377414e-1	5.710379158923865e1	0.01522105	6.576470
