band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	1.074481834516335e-1
1	2	[2,4)	[4,8)	4.901258711631828e-3
1	3	[2,4)	[8,16)	-1.041361943571584e-2
1	4	[2,4)	[16,32)	-4.821655999421345e-3
1	5	[2,4)	[32,64)	3.693998434720569e-3
1	6	[2,4)	[64,128)	-8.514995399559536e-4
1	7	[2,4)	[128,256)	6.866154996116019e-5
1	8	[2,4)	[256,512)	-1.473361612383119e-3
1	9	[2,4)	[512,1024)	5.798408063902999e-4
1	10	[2,4)	[1024,2048)	2.463463586627281e-4
1	11	[2,4)	[2048,4096)	-3.623053545597265e-4
1	12	[2,4)	[4096,8192)	1.675807916124115e-4
1	13	[2,4)	[8192,16384)	-2.173302627868736e-5
2	1	[4,8)	[2,4)	4.901258711631717e-3
2	2	[4,8)	[4,8)	-2.069033996377059e-2
2	3	[4,8)	[8,16)	2.555832805112762e-1
2	4	[4,8)	[16,32)	-9.227885365979308e-2
2	5	[4,8)	[32,64)	-5.010561695188094e-2
2	6	[4,8)	[64,128)	9.171752368638117e-3
2	7	[4,8)	[128,256)	-1.088325035063980e-3
2	8	[4,8)	[256,512)	1.556515722819532e-2
2	9	[4,8)	[512,1024)	-6.141889675058080e-3
2	10	[4,8)	[1024,2048)	-2.641322035570742e-3
2	11	[4,8)	[2048,4096)	3.890494977013220e-3
2	12	[4,8)	[4096,8192)	-1.808102157666350e-3
2	13	[4,8)	[8192,16384)	2.359215605040419e-4
3	1	[8,16)	[2,4)	-1.041361943571582e-2
3	2	[8,16)	[4,8)	2.555832805112762e-1
3	3	[8,16)	[8,16)	2.828105287810338e-4
3	4	[8,16)	[16,32)	4.021737619612836e-2
3	5	[8,16)	[32,64)	-3.264128559511428e-2
3	6	[8,16)	[64,128)	-3.343527836181800e-2
3	7	[8,16)	[128,256)	-1.916124696063663e-3
3	8	[8,16)	[256,512)	1.293541377540428e-2
3	9	[8,16)	[512,1024)	-5.086294261900694e-3
3	10	[8,16)	[1024,2048)	-2.167630716135396e-3
3	11	[8,16)	[2048,4096)	3.196210148412175e-3
3	12	[8,16)	[4096,8192)	-1.487517166632417e-3
3	13	[8,16)	[8192,16384)	1.946182498515144e-4
4	1	[16,32)	[2,4)	-4.821655999421345e-3
4	2	[16,32)	[4,8)	-9.227885365979306e-2
4	3	[16,32)	[8,16)	4.021737619612840e-2
4	4	[16,32)	[16,32)	1.461921394603911e-4
4	5	[16,32)	[32,64)	-2.933954949172553e-4
4	6	[16,32)	[64,128)	2.953421881752092e-2
4	7	[16,32)	[128,256)	2.629131183012498e-2
4	8	[16,32)	[256,512)	8.364484536003376e-2
4	9	[16,32)	[512,1024)	-2.152659980144558e-2
4	10	[16,32)	[1024,2048)	-1.568848880644575e-3
4	11	[16,32)	[2048,4096)	2.487710696277926e-3
4	12	[16,32)	[4096,8192)	-1.080743783053814e-3
4	13	[16,32)	[8192,16384)	1.359113737865936e-4
