d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	-8.390122532152974e-1	8.390122532152974e-1	266.9579	1.000000	1
2	-7.116746597121885e-1	7.116746597121885e-1	493.3994	1.500000	2 (prime)
3	4.051268309222604e-2	4.051268309222604e-2	506.2898	1.333333	3 (prime)
4	5.039997453154375e-1	5.039997453154375e-1	666.6530	1.750000	2^2
5	-2.591022400516233e-2	2.591022400516233e-2	674.8971	1.200000	5 (prime)
6	7.856861811767808e-1	7.856861811767808e-1	924.8877	2.000000	2·3
7	4.523664912972077e-2	4.523664912972077e-2	939.2811	1.142857	7 (prime)
8	1.808516528614251e-1	1.808516528614251e-1	996.8247	1.875000	2^3
9	-1.124181170631321e-2	1.124181170631321e-2	1000.4017	1.444444	3^2
10	-3.916326474619789e-3	3.916326474619789e-3	1001.6478	1.800000	2·5
11	1.784487701741376e-2	1.784487701741376e-2	1007.3257	1.090909	11 (prime)
12	1.497443037551139e-1	1.497443037551139e-1	1054.9715	2.333333	2^2·3
13	9.097275186925050e-3	9.097275186925050e-3	1057.8661	1.076923	13 (prime)
14	8.422184145138187e-2	8.422184145138187e-2	1084.6639	1.714286	2·7
15	8.965317217732844e-3	8.965317217732844e-3	1087.5165	1.600000	3·5
16	7.862438529324877e-3	7.862438529324877e-3	1090.0181	1.937500	2^4
17	-5.140878782197761e-3	5.140878782197761e-3	1091.6539	1.058824	17 (prime)
18	-2.064065514323215e-2	2.064065514323215e-2	1098.2213	2.166667	2·3^2
19	1.183125975813077e-3	1.183125975813077e-3	1098.5978	1.052632	19 (prime)
20	2.806281218877469e-2	2.806281218877469e-2	1107.5269	2.100000	2^2·5
21	-1.068597265848689e-2	1.068597265848689e-2	1110.9269	1.523810	3·7
22	-2.414933591749517e-3	2.414933591749517e-3	1111.6953	1.636364	2·11
23	8.940308373368743e-3	8.940308373368743e-3	1114.5400	1.043478	23 (prime)
24	9.592155740092720e-3	9.592155740092720e-3	1117.5920	2.500000	2^3·3
25	-3.776658455043225e-4	3.776658455043225e-4	1117.7122	1.240000	5^2
26	-8.178205595860780e-3	8.178205595860780e-3	1120.3143	1.615385	2·13
27	4.023084694047476e-3	4.023084694047476e-3	1121.5944	1.481481	3^3
28	-8.257018729651726e-3	8.257018729651726e-3	1124.2216	2.000000	2^2·7
29	4.877833736692486e-4	4.877833736692486e-4	1124.3768	1.034483	29 (prime)
30	2.301863936824482e-2	2.301863936824482e-2	1131.7009	2.400000	2·3·5
31	8.436932940695949e-4	8.436932940695949e-4	1131.9694	1.032258	31 (prime)
32	1.792019211434073e-3	1.792019211434073e-3	1132.5395	1.968750	2^5
