M	S_M	sum_abs	cancel_ratio	ln_M
47	3.555326229285800e-1	3.065995370089955e1	0.01159599	3.850148
96	2.449483942729286e-1	3.985338260056300e1	0.00614624	4.564348
146	2.870960580870880e-1	4.619355695555981e1	0.00621507	4.983607
196	3.799265513813042e-1	5.060483374644929e1	0.00750771	5.278115
242	3.301219214283236e-1	5.410179891785157e1	0.00610187	5.488938
294	3.629467697279860e-1	5.705299732898831e1	0.00636157	5.683580
346	3.623949866670669e-1	5.940733388402540e1	0.00610017	5.846439
396	3.516455513191429e-1	6.135180040626713e1	0.00573163	5.981414
443	3.953731514313638e-1	6.308200482957675e1	0.00626761	6.093570
490	3.670869225467042e-1	6.461879309706755e1	0.00568081	6.194405
542	3.576230917527202e-1	6.592438552523797e1	0.00542475	6.295266
591	3.535705947010925e-1	6.701318045497743e1	0.00527614	6.381816
642	3.246223408131992e-1	6.794700083657231e1	0.00477758	6.464588
688	3.145496450990322e-1	6.870692408129636e1	0.00457814	6.533789
740	3.116269813366813e-1	6.933507985774231e1	0.00449451	6.606650
788	3.126557036319801e-1	6.981802493022585e1	0.00447815	6.669498
835	3.169721654917578e-1	7.017153440369535e1	0.00451710	6.727432
890	3.145626400926346e-1	7.041007732742987e1	0.00446758	6.791221
938	3.143192866551599e-1	7.056719343260660e1	0.00445418	6.843750
987	3.142818723060581e-1	7.063256893529088e1	0.00444953	6.894670
