x	f_N	f_N_minus_1	abs_dev
0.00001000	6.809258388230618e-1	-3.190741611769382e-1	3.190741611769382e-1
0.00003000	9.155434492591282e-1	-8.445655074087177e-2	8.445655074087177e-2
0.00005000	4.890361570413534e-1	-5.109638429586466e-1	5.109638429586466e-1
0.00007000	8.196061990036505e-1	-1.803938009963495e-1	1.803938009963495e-1
0.00009000	1.858949802543405e0	8.589498025434055e-1	8.589498025434055e-1
0.00011000	2.346615847223764e-1	-7.653384152776236e-1	7.653384152776236e-1
0.00013000	-1.048411839344535e0	-2.048411839344535e0	2.048411839344535e0
0.00015000	-1.375723407979375e-2	-1.013757234079794e0	1.013757234079794e0
0.00017000	1.172536081128820e0	1.725360811288201e-1	1.725360811288201e-1
0.00019000	-1.502910754676625e-1	-1.150291075467663e0	1.150291075467663e0
0.00021000	3.750078165192502e-1	-6.249921834807498e-1	6.249921834807498e-1
0.00023000	4.486573731664776e-1	-5.513426268335224e-1	5.513426268335224e-1
0.00025000	-1.873257140642241e-1	-1.187325714064224e0	1.187325714064224e0
0.00027000	3.744112578275157e-1	-6.255887421724843e-1	6.255887421724843e-1
0.00029000	5.054833112772922e-2	-9.494516688722707e-1	9.494516688722707e-1
0.00031000	-2.028051613221641e-1	-1.202805161322164e0	1.202805161322164e0
0.00033000	4.538803374771823e-1	-5.461196625228177e-1	5.461196625228177e-1
0.00035000	-6.388571332124421e-1	-1.638857133212442e0	1.638857133212442e0
0.00037000	5.160756922576407e-1	-4.839243077423593e-1	4.839243077423593e-1
0.00039000	6.494321869561235e-1	-3.505678130438765e-1	3.505678130438765e-1
0.00041000	-7.383349309302665e-3	-1.007383349309303e0	1.007383349309303e0
0.00043000	5.794119330651443e-1	-4.205880669348557e-1	4.205880669348557e-1
0.00045000	1.282564233637417e0	2.825642336374170e-1	2.825642336374170e-1
0.00047000	2.435599780593665e-1	-7.564400219406335e-1	7.564400219406335e-1
0.00049000	-2.603169828051666e-1	-1.260316982805167e0	1.260316982805167e0
0.00051000	1.052268808046538e0	5.226880804653833e-2	5.226880804653833e-2
0.00053000	1.641186771446604e0	6.411867714466040e-1	6.411867714466040e-1
0.00055000	4.169774029160646e-1	-5.830225970839354e-1	5.830225970839354e-1
0.00057000	3.523018933863203e-1	-6.476981066136798e-1	6.476981066136798e-1
0.00059000	1.362835958408465e0	3.628359584084653e-1	3.628359584084653e-1
0.00061000	6.166686981976733e-1	-3.833313018023267e-1	3.833313018023267e-1
0.00063000	1.328299859495708e-1	-8.671700140504293e-1	8.671700140504293e-1
0.00065000	3.666743113833324e-1	-6.333256886166676e-1	6.333256886166676e-1
0.00067000	7.195852738854229e-1	-2.804147261145771e-1	2.804147261145771e-1
0.00069000	-2.518088968130344e-1	-1.251808896813034e0	1.251808896813034e0
0.00071000	1.332064454309346e0	3.320644543093461e-1	3.320644543093461e-1
0.00073000	-2.403539558277329e-1	-1.240353955827733e0	1.240353955827733e0
0.00075000	-5.876089273904200e-2	-1.058760892739042e0	1.058760892739042e0
0.00077000	1.687393846697611e0	6.873938466976106e-1	6.873938466976106e-1
0.00079000	8.818687912281421e-1	-1.181312087718579e-1	1.181312087718579e-1
0.00081000	1.657020194240105e0	6.570201942401048e-1	6.570201942401048e-1
0.00083000	8.967857317643182e-1	-1.032142682356818e-1	1.032142682356818e-1
0.00085000	-3.364820108531359e-1	-1.336482010853136e0	1.336482010853136e0
0.00087000	-1.130106381111494e-1	-1.113010638111149e0	1.113010638111149e0
0.00089000	6.172571929857228e-1	-3.827428070142772e-1	3.827428070142772e-1
0.00091000	-1.048551188583162e-1	-1.104855118858316e0	1.104855118858316e0
0.00093000	3.195358540905597e-1	-6.804641459094403e-1	6.804641459094403e-1
0.00095000	9.028669473461123e-1	-9.713305265388772e-2	9.713305265388772e-2
0.00097000	9.946042125018559e-1	-5.395787498144067e-3	5.395787498144067e-3
0.00099000	4.346005818320699e-1	-5.653994181679300e-1	5.653994181679300e-1
0.00101000	1.271076206717286e0	2.710762067172856e-1	2.710762067172856e-1
0.00103000	6.542281686394503e-1	-3.457718313605497e-1	3.457718313605497e-1
0.00105000	1.314427391392046e0	3.144273913920461e-1	3.144273913920461e-1
0.00107000	1.102428725385631e0	1.024287253856306e-1	1.024287253856306e-1
0.00109000	1.295372113619309e0	2.953721136193093e-1	2.953721136193093e-1
0.00111000	-5.228180691502708e-1	-1.522818069150271e0	1.522818069150271e0
0.00113000	6.832670944377215e-1	-3.167329055622785e-1	3.167329055622785e-1
0.00115000	5.652516603192608e-1	-4.347483396807392e-1	4.347483396807392e-1
0.00117000	1.295582009517045e0	2.955820095170454e-1	2.955820095170454e-1
0.00119000	-5.232283595772592e-1	-1.523228359577259e0	1.523228359577259e0
0.00121000	1.419710091026217e0	4.197100910262170e-1	4.197100910262170e-1
0.00123000	-2.901993847591229e-1	-1.290199384759123e0	1.290199384759123e0
0.00125000	3.980651592711393e-1	-6.019348407288607e-1	6.019348407288607e-1
0.00127000	9.180639720287311e-1	-8.193602797126887e-2	8.193602797126887e-2
0.00129000	6.341993500991497e-2	-9.365800649900851e-1	9.365800649900851e-1
0.00131000	6.281755949525957e-1	-3.718244050474043e-1	3.718244050474043e-1
0.00133000	7.103652282977025e-1	-2.896347717022975e-1	2.896347717022975e-1
0.00135000	9.323439319402328e-1	-6.765606805976720e-2	6.765606805976720e-2
0.00137000	2.764709456896661e-1	-7.235290543103339e-1	7.235290543103339e-1
0.00139000	1.680700142091238e0	6.807001420912377e-1	6.807001420912377e-1
0.00141000	7.064390696914982e-1	-2.935609303085018e-1	2.935609303085018e-1
0.00143000	-3.528743891998974e-2	-1.035287438919990e0	1.035287438919990e0
0.00145000	1.175115946148308e-1	-8.824884053851692e-1	8.824884053851692e-1
0.00147000	8.060943174480764e-1	-1.939056825519236e-1	1.939056825519236e-1
0.00149000	1.728079561027924e0	7.280795610279236e-1	7.280795610279236e-1
0.00151000	1.087774073539870e0	8.777407353987021e-2	8.777407353987021e-2
0.00153000	7.923990338762605e-1	-2.076009661237395e-1	2.076009661237395e-1
0.00155000	6.100399020840156e-1	-3.899600979159844e-1	3.899600979159844e-1
0.00157000	-7.925234279072315e-1	-1.792523427907232e0	1.792523427907232e0
0.00159000	1.060760551960243e0	6.076055196024344e-2	6.076055196024344e-2
0.00161000	6.034927753601117e-2	-9.396507224639888e-1	9.396507224639888e-1
0.00163000	-4.077340965937308e-1	-1.407734096593731e0	1.407734096593731e0
0.00165000	3.166898087315673e-1	-6.833101912684327e-1	6.833101912684327e-1
0.00167000	2.244747011047808e0	1.244747011047808e0	1.244747011047808e0
0.00169000	4.231957865235400e-2	-9.576804213476460e-1	9.576804213476460e-1
0.00171000	6.386988139799618e-1	-3.613011860200382e-1	3.613011860200382e-1
0.00173000	7.605891736483799e-1	-2.394108263516201e-1	2.394108263516201e-1
0.00175000	2.928947340483323e-1	-7.071052659516677e-1	7.071052659516677e-1
0.00177000	-2.981241782676417e-1	-1.298124178267642e0	1.298124178267642e0
0.00179000	-6.730170060222578e-2	-1.067301700602226e0	1.067301700602226e0
0.00181000	-5.633523984898990e-1	-1.563352398489899e0	1.563352398489899e0
0.00183000	1.283584179847269e-1	-8.716415820152731e-1	8.716415820152731e-1
0.00185000	-9.625294044955432e-2	-1.096252940449554e0	1.096252940449554e0
0.00187000	8.039838897452248e-1	-1.960161102547752e-1	1.960161102547752e-1
0.00189000	4.993794034965734e-1	-5.006205965034265e-1	5.006205965034265e-1
0.00191000	-2.264769368914597e-2	-1.022647693689146e0	1.022647693689146e0
0.00193000	1.574620287665454e0	5.746202876654536e-1	5.746202876654536e-1
0.00195000	9.330210410005920e-1	-6.697895899940798e-2	6.697895899940798e-2
0.00197000	4.827610892616568e-2	-9.517238910738344e-1	9.517238910738344e-1
0.00199000	9.097821507618864e-1	-9.021784923811360e-2	9.021784923811360e-2
0.00201000	1.033178339112883e0	3.317833911288259e-2	3.317833911288259e-2
0.00203000	-3.651837713806372e-1	-1.365183771380637e0	1.365183771380637e0
0.00205000	7.946044578108555e-1	-2.053955421891445e-1	2.053955421891445e-1
0.00207000	3.429972240916102e-1	-6.570027759083898e-1	6.570027759083898e-1
0.00209000	1.767014884776408e0	7.670148847764076e-1	7.670148847764076e-1
0.00211000	1.320083164007840e0	3.200831640078396e-1	3.200831640078396e-1
0.00213000	6.226681953467806e-1	-3.773318046532194e-1	3.773318046532194e-1
0.00215000	3.199977920990115e-1	-6.800022079009885e-1	6.800022079009885e-1
