band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	1.367847596926344e-1
1	2	[2,4)	[4,8)	-4.827600115897510e-2
1	3	[2,4)	[8,16)	-2.052114065062172e-2
1	4	[2,4)	[16,32)	-1.703881565457067e-3
1	5	[2,4)	[32,64)	4.091175976461033e-3
1	6	[2,4)	[64,128)	-9.947413210971354e-4
1	7	[2,4)	[128,256)	-2.613484084534126e-4
2	1	[4,8)	[2,4)	-4.827600115897510e-2
2	2	[4,8)	[4,8)	2.041804281552516e-1
2	3	[4,8)	[8,16)	8.597130725041219e-2
2	4	[4,8)	[16,32)	1.475889308548534e-2
2	5	[4,8)	[32,64)	-2.276334667816216e-2
2	6	[4,8)	[64,128)	5.464494120222256e-3
2	7	[4,8)	[128,256)	1.487754085589310e-3
3	1	[8,16)	[2,4)	-2.052114065062172e-2
3	2	[8,16)	[4,8)	8.597130725041222e-2
3	3	[8,16)	[8,16)	6.336842784240349e-2
3	4	[8,16)	[16,32)	8.542959268108986e-3
3	5	[8,16)	[32,64)	-1.572741177488630e-2
3	6	[8,16)	[64,128)	3.749274544455494e-3
3	7	[8,16)	[128,256)	1.025664821904202e-3
4	1	[16,32)	[2,4)	-1.703881565457081e-3
4	2	[16,32)	[4,8)	1.475889308548532e-2
4	3	[16,32)	[8,16)	8.542959268108987e-3
4	4	[16,32)	[16,32)	1.081947340638755e-2
4	5	[16,32)	[32,64)	-6.346004304385842e-3
4	6	[16,32)	[64,128)	1.132316270241608e-3
4	7	[16,32)	[128,256)	3.671301328528155e-4
5	1	[32,64)	[2,4)	4.091175976461036e-3
5	2	[32,64)	[4,8)	-2.276334667816215e-2
5	3	[32,64)	[8,16)	-1.572741177488631e-2
5	4	[32,64)	[16,32)	-6.346004304385831e-3
5	5	[32,64)	[32,64)	1.256711683685522e-2
5	6	[32,64)	[64,128)	-2.830753927788614e-3
5	7	[32,64)	[128,256)	-6.123049361408238e-4
6	1	[64,128)	[2,4)	-9.947413210971354e-4
6	2	[64,128)	[4,8)	5.464494120222253e-3
6	3	[64,128)	[8,16)	3.749274544455496e-3
6	4	[64,128)	[16,32)	1.132316270241606e-3
6	5	[64,128)	[32,64)	-2.830753927788612e-3
6	6	[64,128)	[64,128)	1.785924951569931e-3
6	7	[64,128)	[128,256)	1.023413216500251e-4
7	1	[128,256)	[2,4)	-2.613484084534130e-4
7	2	[128,256)	[4,8)	1.487754085589309e-3
7	3	[128,256)	[8,16)	1.025664821904203e-3
7	4	[128,256)	[16,32)	3.671301328528164e-4
7	5	[128,256)	[32,64)	-6.123049361408241e-4
7	6	[128,256)	[64,128)	1.023413216500259e-4
7	7	[128,256)	[128,256)	1.213469998949171e-4
