M	S_M	sum_abs	cancel_ratio	ln_M
47	5.334418669786832e-1	3.627309787317022e1	0.01470627	3.850148
96	4.899353212586382e-1	4.805266503117555e1	0.01019580	4.564348
146	5.250665151929623e-1	5.512621557516950e1	0.00952481	4.983607
196	5.579998372647834e-1	5.991917144117775e1	0.00931254	5.278115
242	5.383015873843635e-1	6.348409251110454e1	0.00847931	5.488938
294	5.545096228533838e-1	6.618686198716991e1	0.00837794	5.683580
346	5.316135499038396e-1	6.829309447295024e1	0.00778429	5.846439
396	5.327480850045290e-1	6.993767702015190e1	0.00761747	5.981414
443	5.457423459453608e-1	7.126942287460706e1	0.00765745	6.093570
490	5.413934278279254e-1	7.235709848039045e1	0.00748224	6.194405
542	5.381540880372605e-1	7.323617657945915e1	0.00734820	6.295266
591	5.337768586774864e-1	7.394068075963916e1	0.00721899	6.381816
642	5.383523953710014e-1	7.450695192530529e1	0.00722553	6.464588
688	5.420604838144532e-1	7.495753277072276e1	0.00723157	6.533789
740	5.391982293728471e-1	7.531281038092348e1	0.00715945	6.606650
788	5.392352571808766e-1	7.558073839474291e1	0.00713456	6.669498
835	5.394148030611271e-1	7.578072024796428e1	0.00711810	6.727432
890	5.388370649135976e-1	7.591313086976892e1	0.00709807	6.791221
938	5.385796728140495e-1	7.599268045252623e1	0.00708726	6.843750
987	5.386517611996442e-1	7.602505860459345e1	0.00708519	6.894670
