N	delta_min	trivial_bound	ratio	closest_m	closest_n
10	1.541506798272583e-1	9.090909090909091e-2	1.695657478099841e0	6	7
20	6.899287148695166e-2	4.761904761904762e-2	1.448850301225985e0	14	15
50	2.150620522096336e-2	1.960784313725490e-2	1.096816466269131e0	46	47
100	1.058210933053694e-2	9.900990099009901e-3	1.068793042384231e0	94	95
200	5.141399500418586e-3	4.975124378109453e-3	1.033421299584136e0	194	195
300	3.350086885282266e-3	3.322259136212625e-3	1.008376152469962e0	298	299
500	2.006018726866010e-3	1.996007984031936e-3	1.005015382159871e0	498	499
750	1.341381824200738e-3	1.331557922769641e-3	1.007377749974754e0	745	746
1000	1.002506349625953e-3	9.990009990009990e-4	1.003508855975579e0	997	998
2000	5.013788021805965e-4	4.997501249375312e-4	1.003258983163374e0	1994	1995
5000	2.002603391080271e-4	1.999600079984003e-4	1.001501955879244e0	4993	4994
