N	n_active	sum_a2	sum_ka2	ratio_ka2	max_abs_a	max_abs_k
10	6	1.365168019636545e0	1.925791792430657e0	1.410662837636182e0	1.000000000000000e0	1
20	13	1.528741765108802e0	2.630960229569150e0	1.720997155711188e0	1.000000000000000e0	1
50	31	1.736749494690657e0	4.125340893673995e0	2.375322927276155e0	1.000000000000000e0	1
100	61	1.889589398986520e0	6.002339596502487e0	3.176531155245600e0	1.000000000000000e0	1
200	122	2.039795260629000e0	9.020628979562558e0	4.422320785656164e0	1.000000000000000e0	1
300	183	2.126731845636731e0	1.161222359959661e1	5.460125884427136e0	1.000000000000000e0	1
500	306	2.235507109199366e0	1.618658278923856e1	7.240676051813451e0	1.000000000000000e0	1
750	456	2.321344360007498e0	2.128550083134096e1	9.169471448549842e0	1.000000000000000e0	1
1000	608	2.382019324593532e0	2.598007784993574e1	1.090674520634671e1	1.000000000000000e0	1
2000	1215	2.527549773455074e0	4.263308088859651e1	1.686735562493732e1	1.000000000000000e0	1
5000	3042	2.718788223133492e0	8.439195667157082e1	3.104028329735310e1	1.000000000000000e0	1
