k	lambda_k
0	1.710694413174943e-7
1	1.734662168235807e-7
2	1.759795363152207e-7
3	1.763010943371949e-7
4	1.772073644752002e-7
5	1.781835595589284e-7
6	1.786840490046185e-7
7	1.795194207175134e-7
8	1.798498616929480e-7
9	1.804826147905914e-7
10	1.806379058119057e-7
11	1.811199561313603e-7
12	1.815175314085813e-7
13	1.819364591597069e-7
14	1.826384473533887e-7
15	1.827597553901368e-7
16	1.828637057884966e-7
17	1.831370945140606e-7
18	1.838501650992217e-7
19	1.842400453581516e-7
20	1.843624531619771e-7
21	1.846727233353977e-7
22	1.849385434479665e-7
23	1.854417848312988e-7
24	1.856783684267409e-7
25	1.860373415649583e-7
26	1.861578120839797e-7
27	1.863731905763032e-7
28	1.866857387767300e-7
29	1.868547266479209e-7
30	1.871800956980523e-7
31	1.874154301871695e-7
32	1.875412609763237e-7
33	1.877143378890295e-7
34	1.877731919925624e-7
35	1.881113181664658e-7
36	1.882776228841411e-7
37	1.883731579756848e-7
38	1.888320148179992e-7
39	1.889156399811761e-7
40	1.890941409354682e-7
41	1.893033357124071e-7
42	1.894384592754193e-7
43	1.895614707228509e-7
44	1.897989807897601e-7
45	1.900812766769558e-7
46	1.903394088136381e-7
47	1.904103533560956e-7
48	1.905315624696649e-7
49	1.907515620671364e-7
50	1.909706485645187e-7
51	1.911402878297413e-7
52	1.914081499752047e-7
53	1.914712857523137e-7
54	1.916672934507148e-7
55	1.917706284843302e-7
56	1.918930357228115e-7
57	1.921144027219186e-7
58	1.922657086103212e-7
59	1.924520622879914e-7
60	1.925991611186475e-7
61	1.927418899407410e-7
62	1.929190388138338e-7
63	1.930600006938524e-7
64	1.931312911430388e-7
65	1.931463646453525e-7
66	1.932838212010963e-7
67	1.935420358454540e-7
68	1.937711892638228e-7
69	1.938474202600304e-7
70	1.939784843288165e-7
71	1.942175991183046e-7
72	1.943403261143484e-7
73	1.944383432888814e-7
74	1.945392402216094e-7
75	1.947091139447010e-7
76	1.948590820208043e-7
77	1.950959925178304e-7
78	1.951486529966658e-7
79	1.952316810344596e-7
80	1.952856236549992e-7
81	1.953680668636200e-7
82	1.955219453314905e-7
83	1.956040510104094e-7
84	1.957866250594045e-7
85	1.959089922176704e-7
86	1.960337408994618e-7
87	1.961290913838936e-7
88	1.962597294390802e-7
89	1.962862375829809e-7
90	1.964140340338289e-7
91	1.964780073008373e-7
92	1.965453874695104e-7
93	1.966915971099455e-7
94	1.968093159626747e-7
95	1.969533772144239e-7
96	1.969776313094527e-7
97	1.971835066522920e-7
98	1.973323710316282e-7
99	1.973885123075232e-7
100	1.975140920951456e-7
101	1.976257199803105e-7
102	1.976328625371321e-7
103	1.977566562424033e-7
104	1.979698058168686e-7
105	1.980310329758521e-7
106	1.981072708347929e-7
107	1.981947988298318e-7
108	1.983041812640152e-7
109	1.983236637666321e-7
110	1.983709266535796e-7
111	1.986309789753984e-7
112	1.987372685603284e-7
113	1.987934325525135e-7
114	1.989359759830034e-7
115	1.989957346293476e-7
116	1.990634165284108e-7
117	1.991267387558816e-7
118	1.991758259910293e-7
119	1.992619823701676e-7
120	1.993829072222984e-7
121	1.994417134320428e-7
122	1.995125424171255e-7
123	1.995756665288253e-7
124	1.998792342856755e-7
125	1.999122945518477e-7
126	1.999665477796039e-7
127	2.000112786241868e-7
128	2.001173949222327e-7
129	2.002216977626041e-7
130	2.004587901606930e-7
131	2.005163523552718e-7
132	2.005389599503879e-7
133	2.006696144934071e-7
134	2.008047395731698e-7
135	2.008580443442075e-7
136	2.008960920902593e-7
137	2.009657309915815e-7
138	2.010434677501745e-7
139	2.012733742883346e-7
140	2.014434312061419e-7
141	2.014936749255276e-7
142	2.015766165215032e-7
143	2.016850435885119e-7
144	2.017221544422767e-7
145	2.017638219221765e-7
146	2.017802216188680e-7
147	2.019973606930882e-7
148	2.021131235870864e-7
149	2.022455775413709e-7
150	2.022763424126448e-7
151	2.023119773551673e-7
152	2.023479927794426e-7
153	2.025530481873160e-7
154	2.026495164287825e-7
155	2.028416294215720e-7
156	2.029280194010229e-7
157	2.029732384582668e-7
158	2.030795800522977e-7
159	2.031064444424896e-7
160	2.032423127339110e-7
161	2.033096783561962e-7
162	2.033950232456513e-7
163	2.035587768442883e-7
164	2.037209912273941e-7
165	2.037534208190132e-7
166	2.038584072654139e-7
167	2.040242118919062e-7
168	2.041579074636379e-7
169	2.041972146766294e-7
170	2.043518769625641e-7
171	2.043787462808360e-7
172	2.044928541059672e-7
173	2.045224763844302e-7
174	2.046828104520661e-7
175	2.047412944737665e-7
176	2.048093609427975e-7
177	2.049354416470482e-7
178	2.050527478389507e-7
179	2.050675646743154e-7
180	2.051619590151623e-7
181	2.052436614937801e-7
182	2.053131923697775e-7
183	2.054252004766591e-7
184	2.055481140650407e-7
185	2.056125230012857e-7
186	2.056246591121305e-7
187	2.057475478380666e-7
188	2.058286897835465e-7
189	2.059129109213307e-7
190	2.059481811599541e-7
191	2.060827115886088e-7
192	2.061329045962192e-7
193	2.062187287938429e-7
194	2.062824533727275e-7
195	2.063478544707615e-7
196	2.063983068805654e-7
197	2.065057856503674e-7
198	2.065528075225830e-7
199	2.066539603278652e-7
200	2.067576669886200e-7
201	2.068343863631268e-7
202	2.069057193731916e-7
203	2.069901507121762e-7
204	2.070893680485323e-7
205	2.072381900964303e-7
206	2.073431547642013e-7
207	2.073476169583348e-7
208	2.074760316109386e-7
209	2.075371773689471e-7
210	2.075617407082779e-7
211	2.076237907040647e-7
212	2.077834612745320e-7
213	2.078440034270687e-7
214	2.079319824629013e-7
215	2.079843733939033e-7
216	2.080239016172038e-7
217	2.080579472325937e-7
218	2.081053327987824e-7
219	2.082414819592870e-7
220	2.083382363266279e-7
221	2.083639128228900e-7
222	2.084944642899699e-7
223	2.085476474505826e-7
224	2.086248633440503e-7
225	2.086738103498039e-7
226	2.087119445332063e-7
227	2.088376003275448e-7
228	2.088683495617628e-7
229	2.089562766744537e-7
230	2.090650230298956e-7
231	2.090910174109699e-7
232	2.091560964424857e-7
233	2.092556113067807e-7
234	2.093187639249023e-7
235	2.093686427896121e-7
236	2.094615473536828e-7
237	2.094729106202827e-7
238	2.095555802133222e-7
239	2.096052198785253e-7
240	2.096735588417878e-7
241	2.097687291933011e-7
242	2.098013774082070e-7
243	2.098368451177972e-7
244	2.099196213463843e-7
245	2.099740862070024e-7
246	2.100950843268454e-7
247	2.101183647050515e-7
248	2.101659679682900e-7
249	2.102343066882120e-7
250	2.103472728171400e-7
251	2.104639283104188e-7
252	2.105296023988302e-7
253	2.105956581231773e-7
254	2.106456268107864e-7
255	2.106654906880508e-7
256	2.107907592839264e-7
257	2.108426060609290e-7
258	2.109013200650559e-7
259	2.109275726681049e-7
260	2.110196194864989e-7
261	2.110650404533088e-7
262	2.111080947953466e-7
263	2.112489732511611e-7
264	2.113563907766025e-7
265	2.113825583068972e-7
266	2.114711854786523e-7
267	2.115210561889141e-7
268	2.116367785596775e-7
269	2.117579139757277e-7
270	2.117650092591170e-7
271	2.118470230953972e-7
272	2.118787903031493e-7
273	2.120574524803390e-7
274	2.120844202220110e-7
275	2.121533094333554e-7
276	2.121571804657816e-7
277	2.122139895439119e-7
278	2.123669140683253e-7
279	2.124375093263819e-7
280	2.124989715637479e-7
281	2.125426640939488e-7
282	2.126102939955083e-7
283	2.127471245109571e-7
284	2.128340218940849e-7
285	2.129250336872677e-7
286	2.129978933347625e-7
287	2.130161784657281e-7
288	2.130870270134199e-7
289	2.131922137090728e-7
290	2.132598530934166e-7
291	2.133052383441451e-7
292	2.134146432741689e-7
293	2.134932679664379e-7
294	2.135287245307145e-7
295	2.136334686922754e-7
296	2.136834436238334e-7
297	2.138081252689383e-7
298	2.138539475093384e-7
299	2.139356727275185e-7
300	2.140670177754877e-7
301	2.141293141303570e-7
302	2.142635372530149e-7
303	2.143028044883674e-7
304	2.143612685277439e-7
305	2.143822872107034e-7
306	2.145108312614985e-7
307	2.146651477608278e-7
308	2.147176095583784e-7
309	2.148336929803527e-7
310	2.148970708496561e-7
311	2.149937048569952e-7
312	2.150988185675040e-7
313	2.151324857380074e-7
314	2.152663438325698e-7
315	2.152949200510505e-7
316	2.153385920327935e-7
317	2.154286459952705e-7
318	2.155249072644284e-7
319	2.156171304002237e-7
320	2.156766933227399e-7
321	2.157325585589675e-7
322	2.158505892820364e-7
323	2.159865096321528e-7
324	2.160498929464905e-7
