k	lambda_k	c_k_sq	E_k	S_cumulative
0	6.413280326976262e-7	1.510429218857495e-14	2.355158580086009e-8	2.355158580086009e-8
1	6.508187451728058e-7	1.472454877750996e-14	2.262465377145873e-8	4.617623957231882e-8
2	6.568435442588790e-7	1.383672970389092e-16	2.106548785449813e-10	4.638689445086380e-8
3	6.586536200548822e-7	1.630373666442265e-14	2.475312693652871e-8	7.114002138739251e-8
4	6.629293776284872e-7	1.190849640590838e-15	1.796344649638084e-9	7.293636603703060e-8
5	6.651038422471091e-7	1.018336718780782e-14	1.531094325572148e-8	8.824730929275209e-8
6	6.666963400866506e-7	2.178588282162330e-14	3.267736975845973e-8	1.209246790512118e-7
7	6.698905696384810e-7	4.470720028408348e-15	6.673806485768349e-9	1.275984855369802e-7
8	6.749546718085302e-7	1.642806249965393e-15	2.433950483761406e-9	1.300324360207416e-7
9	6.762760690235861e-7	3.105949722999465e-15	4.592724576937736e-9	1.346251605976793e-7
10	6.799155206686595e-7	9.896260066011971e-16	1.455513187326500e-9	1.360806737850058e-7
11	6.817122698396829e-7	3.737682062067197e-15	5.482785373580236e-9	1.415634591585860e-7
12	6.836453177421629e-7	3.553777876664672e-16	5.198277212519403e-10	1.420832868798380e-7
13	6.868855420901246e-7	4.373554335741689e-15	6.367224330320589e-9	1.484505112101586e-7
14	6.884818382128326e-7	2.037433286591002e-15	2.959313047210932e-9	1.514098242573695e-7
15	6.904355151716633e-7	4.583496350424402e-15	6.638558199435620e-9	1.580483824568051e-7
16	6.921468772209001e-7	2.390299158878036e-14	3.453456538698169e-8	1.925829478437868e-7
17	6.934453735546470e-7	3.117469454274992e-14	4.495623697501414e-8	2.375391848188010e-7
18	6.963949265584280e-7	3.569427872573684e-15	5.125579949603792e-9	2.426647647684048e-7
19	6.986864810898066e-7	6.991898387942501e-16	1.000720434297882e-9	2.436654852027027e-7
20	7.016205316906610e-7	6.910202569356311e-18	9.848917266866651e-12	2.436753341199695e-7
21	7.022128042842274e-7	1.546593782887962e-15	2.202457393901299e-9	2.458777915138708e-7
22	7.043623573634247e-7	1.440257250240125e-19	2.044767491027358e-13	2.458779959906199e-7
23	7.078160486086343e-7	3.257948289988378e-15	4.602817775031494e-9	2.504808137656514e-7
24	7.087442534917710e-7	3.448877787016320e-15	4.866180953178428e-9	2.553469947188298e-7
25	7.119243589665251e-7	5.610057250630537e-16	7.880131056021814e-10	2.561350078244320e-7
26	7.137137521027418e-7	2.815619765998195e-16	3.945026640866626e-10	2.565295104885187e-7
27	7.167499214676492e-7	7.331568846795553e-17	1.022890777829889e-10	2.566317995663017e-7
28	7.180577993398983e-7	1.220943995952987e-14	1.700342224644570e-8	2.736352218127474e-7
29	7.204587170219655e-7	2.724548342460579e-14	3.781685581822882e-8	3.114520776309762e-7
30	7.225683618144219e-7	3.047307364353775e-15	4.217327418961111e-9	3.156694050499373e-7
31	7.234966862825357e-7	2.390559697902468e-14	3.304175047691816e-8	3.487111555268555e-7
32	7.257689926701717e-7	1.999765353425326e-14	2.755374469868164e-8	3.762649002255371e-7
33	7.273279066018618e-7	6.148708285690682e-15	8.453832487217454e-9	3.847187327127545e-7
34	7.288284666895265e-7	6.929398947651838e-15	9.507585480471761e-9	3.942263181932263e-7
35	7.303043386335013e-7	2.160343465365345e-14	2.958141354339536e-8	4.238077317366217e-7
36	7.316919464150490e-7	1.208032313877919e-15	1.651012177729598e-9	4.254587439143513e-7
37	7.363792262628973e-7	1.351629998287108e-14	1.835508050853892e-8	4.438138244228903e-7
38	7.374469850011376e-7	2.698725633090826e-14	3.659552059985252e-8	4.804093450227427e-7
39	7.404164417263307e-7	1.070608385740973e-13	1.445954364877119e-7	6.250047815104546e-7
40	7.420400320682026e-7	2.378373616096829e-15	3.205182353124349e-9	6.282099638635789e-7
41	7.437433386154950e-7	4.658577029739047e-14	6.263689081788828e-8	6.908468546814672e-7
42	7.449352434146999e-7	1.145950364793132e-14	1.538322122524668e-8	7.062300759067139e-7
43	7.466942278493149e-7	3.383072042676818e-15	4.530732817395680e-9	7.107608087241096e-7
44	7.479939585959322e-7	3.219730922825457e-17	4.304487871625662e-11	7.108038536028259e-7
45	7.486201064916386e-7	8.896337524817976e-15	1.188364759064528e-8	7.226875011934712e-7
46	7.514964394300811e-7	2.125599776058590e-15	2.828489483823236e-9	7.255159906772944e-7
47	7.518743194293366e-7	4.310302598160196e-14	5.732743474244023e-8	7.828434254197346e-7
48	7.540429908504754e-7	1.176010857810719e-14	1.559607173702803e-8	7.984394971567626e-7
49	7.558685882990443e-7	6.855594244585210e-15	9.069822917251499e-9	8.075093200740141e-7
50	7.572751025847776e-7	3.845219364256281e-15	5.077704722011252e-9	8.125870247960254e-7
51	7.585370294934109e-7	1.519018591010624e-17	2.002563529462894e-11	8.126070504313200e-7
52	7.605523869313281e-7	2.375375566077528e-15	3.123224128796279e-9	8.157302745601163e-7
53	7.626907206411165e-7	1.398151029361881e-15	1.833182168765076e-9	8.175634567288814e-7
54	7.652202665758669e-7	1.421018418910090e-15	1.857005728910872e-9	8.194204624577922e-7
55	7.667992330696244e-7	4.202804836394496e-14	5.480971622219772e-8	8.742301786799899e-7
56	7.669381913685122e-7	3.232466488134493e-14	4.214767923301005e-8	9.163778579129999e-7
