N	d_sq	d_sq*ln(N)	method	time_secs
10	4.929023061377e-2	0.113495	CG_DD_max_iter	0.0
20	4.598484368612e-2	0.137758	CG_DD_max_iter	0.0
30	4.509592150736e-2	0.153380	CG_DD_max_iter	0.0
40	4.423473662880e-2	0.163177	CG_DD_max_iter	0.0
50	4.386041993790e-2	0.171583	CG_DD_max_iter	0.0
60	4.366875707371e-2	0.178795	CG_DD_max_iter	0.0
70	4.353247312921e-2	0.184948	CG_DD_max_iter	0.0
80	4.346121585691e-2	0.190448	CG_DD_max_iter	0.0
90	4.332169272526e-2	0.194939	CG_DD_max_iter	0.0
100	4.309482194643e-2	0.198459	CG_DD_max_iter	0.0
150	4.271585841650e-2	0.214034	CG_DD_max_iter	0.0
200	4.251376050123e-2	0.225251	CG_DD_195_iters	0.1
