t	sigma	zeta_norm	conv_bound	ratio	exponent
50	0.6	3.073426708283639e-1	2.186724147886556e0	1.405493560426481e-1	-3.015810389185565e-1
50	0.8	4.202761551752431e-1	1.478757636628314e0	2.842089499760803e-1	-2.215844002569627e-1
50	1	5.231890581175177e-1	1.000000000000000e0	5.231890581175177e-1	-1.655952410154312e-1
50	1.5	6.907182318647971e-1	1.000000000000000e0	6.907182318647971e-1	-9.458617868771839e-2
50	2	7.841408868217755e-1	1.000000000000000e0	7.841408868217755e-1	-6.215877868307555e-2
100	0.6	2.345896179804772e0	2.511886431509580e0	9.339180905543359e-1	1.851543940143067e-1
100	0.8	1.904593125388483e0	1.584893192461113e0	1.201717020710349e0	1.399011062074804e-1
100	1	1.632168664829385e0	1.000000000000000e0	1.632168664829385e0	1.063825179012627e-1
100	1.5	1.311840613447247e0	1.000000000000000e0	1.311840613447247e0	5.894053607725885e-2
100	2	1.191988872812009e0	1.000000000000000e0	1.191988872812009e0	3.813610064720152e-2
500	0.6	1.222398202095945e0	3.465724215775732e0	3.527107542289933e-1	3.231332779963185e-2
500	0.8	1.133999775858637e0	1.861645566636069e0	6.091383860504321e-1	2.023474459828685e-2
500	1	1.127745748089189e0	1.000000000000000e0	1.127745748089189e0	1.934486055036973e-2
500	1.5	1.101850646246243e0	1.000000000000000e0	1.101850646246243e0	1.560696511953226e-2
500	2	1.073157397197022e0	1.000000000000000e0	1.073157397197022e0	1.136115756286305e-2
1000	0.6	8.914485112325234e-1	3.981071705534973e0	2.239217419754391e-1	-1.663457866029948e-2
1000	0.8	9.018840918226665e-1	1.995262314968879e0	4.520127930330471e-1	-1.494975781727144e-2
1000	1	9.424755047004048e-1	1.000000000000000e0	9.424755047004048e-1	-8.576642818509452e-3
1000	1.5	9.603687007298694e-1	1.000000000000000e0	9.603687007298694e-1	-5.854000809268509e-3
1000	2	9.596708820233728e-1	1.000000000000000e0	9.596708820233728e-1	-5.959227399270807e-3
