t	R	max_norm	bound	ratio	tight_C	max_at_re	max_at_im
2	1	1.239817570422733e0	1.048576e6	1.182382173941358e-6	1.550639273993454e-1	1.843566	1.012312
2	1.4	1.587891328247251e0	1.048576e6	1.514331176993609e-6	3.335560905088554e-1	1.567376	0.668521
2	1.49	1.720383527325517e0	1.048576e6	1.640685584378736e-6	3.913651113272323e-1	1.466032	0.608965
10	1	1.390621477139320e0	6.191736e10	2.245931322445242e-11	1.327014651050650e-1	1.001370	9.947664
10	1.4	1.507281989021532e0	6.191736e10	2.434344562162886e-11	1.651200948058114e-1	0.630593	9.708924
10	1.49	1.548551619889859e0	6.191736e10	2.500997320053266e-11	1.759905368387358e-1	0.560771	9.614360
50	1	9.886490569277737e-1	1.445551e17	6.839253794855130e-18	-2.889180604336811e-3	1.546010	50.891007
50	1.4	1.216112514993086e0	1.445551e17	8.412795293593152e-18	4.951841039836099e-2	0.959597	50.936783
50	1.49	1.308148801391891e0	1.445551e17	9.049481806978844e-18	6.798188829339152e-2	0.842053	50.937687
100	1	1.632168664829385e0	1.218994e20	1.338946789302288e-20	1.059270226069386e-1	1.000000	100.000000
100	1.4	2.345896179804772e0	1.218994e20	1.924451942786466e-20	1.843616232013878e-1	0.600000	100.000000
100	1.49	2.626527293425113e0	1.218994e20	2.154667199736984e-20	2.087931306626217e-1	0.510000	100.000000
500	1	1.522781353542776e0	1.016336e27	1.498305517434658e-27	6.762591137992603e-2	1.133975	499.500000
500	1.4	2.335018335213365e0	1.016336e27	2.297487322669004e-27	1.363682705283581e-1	0.692987	499.498285
500	1.49	2.742972538875568e0	1.016336e27	2.698884432494181e-27	1.622619530339756e-1	0.582926	499.539565
1000	1	1.120732281620545e0	1.020181e30	1.098562237351011e-30	1.649585591372979e-2	1.082245	1000.397148
1000	1.4	1.742665368940647e0	1.020181e30	1.708192400676957e-30	8.038141736416593e-2	0.668521	1000.432624
1000	1.49	2.102437590504171e0	1.020181e30	2.060847698591705e-30	1.075432651015640e-1	0.569162	1000.415697
5000	1	9.014167794520063e-1	9.804758e36	9.193666888974236e-38	-1.218508006450699e-2	2.951057	5000.309017
5000	1.4	9.323177137803837e-1	9.804758e36	9.508829534322239e-38	-8.227867527466272e-3	2.892394	5001.078719
5000	1.49	1.120309725339294e0	9.804758e36	1.142618449315883e-37	1.333771008686639e-2	0.528344	4999.766913
