N	vtGv	vtB1v	vtL1v	btv	d2	ratio	max_partial	c_inner	tv_outer	abel_product	coprime	p2_contrib	p3_contrib	gcd_diag	gcd_1	gcd_2	gcd_3	gcd_4	gcd_5	gcd_6plus	ramanujan	divisor_wt	euler_phi	cancel_eff	noncop_l1	is_hcn	is_prime	prime_power	time
3	0.1115386546	0.0639285500	0.0476101046	-0.2168557754	1.5452502053	0.6349356418	1.0000000000	0.1601970643	0.0283565538	0.1885536181	-0.2009286744	0.0000000000	0.0000000000	0.3124673290	-0.2009286744	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1256466603	0.1633445821	0.0856356909	0.7447393152	0.2485387790	true	true	3	0.000
4	0.0534949372	0.0574420547	-0.0039471175	-0.0385620145	1.1306189662	0.5443194294	1.0000000000	0.0744056890	0.0645251864	0.1389308755	-0.3155606345	0.0000000000	0.0000000000	0.3690555717	-0.3155606345	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	-0.5005827811	0.1618891074	0.0015164346	0.0687147686	0.3116135170	true	false	2	0.000
5	0.0508988938	0.0586818285	-0.0077829347	0.0558392720	0.9392203498	0.4973837197	1.0000000000	0.2170494416	0.2835189183	0.5005683599	-0.3641781006	0.0000000000	0.0000000000	0.4150769944	-0.3641781006	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	-0.8369030366	0.2053144867	-0.0211190170	0.1326293826	0.3563951660	false	true	5	0.000
6	0.0656242830	0.0600833501	0.0055409330	0.1568743194	0.7518756443	0.4458858635	1.0000000000	0.2706181925	0.5239749270	0.7945931195	-0.3864784980	0.0000000000	0.0000000000	0.4521027810	-0.3864784980	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	-1.0615633507	0.2570656625	-0.0217275036	0.0922207725	0.3920194309	true	false		0.000
7	0.0783396999	0.0599783709	0.0183613290	0.1982888297	0.6817620406	0.4251918059	1.0000000000	0.2939075387	0.5369718395	0.8308793782	-0.3712993979	-0.0208251102	-0.0139248146	0.4843890227	-0.3712993979	-0.0208251102	-0.0139248146	0.0000000000	0.0000000000	0.0000000000	-0.8960539737	0.2696058351	-0.0069903145	0.3061325057	0.3896607269	false	true	7	0.000
8	0.0981284065	0.0606053199	0.0375230866	0.2509299669	0.5962684728	0.3980058248	1.0000000000	0.3229737172	0.5685674317	0.8915411489	-0.3513211131	-0.0376611301	-0.0263430594	0.5134537091	-0.3513211131	-0.0376611301	-0.0263430594	0.0000000000	0.0000000000	0.0000000000	-0.7300918843	0.2938960540	0.0137103693	0.6191384961	0.3888441997	false	false	2	0.000
9	0.1177984371	0.0622830144	0.0555154227	0.2920518470	0.5336947432	0.3769306699	1.0000000000	0.4786848782	0.9801001383	1.4587850165	-0.3330084258	-0.0515814207	-0.0372479588	0.5396362424	-0.3330084258	-0.0515814207	-0.0372479588	0.0000000000	0.0000000000	0.0000000000	-0.5862736934	0.3203619099	0.0336628010	0.8913412952	0.3885238485	false	false	3	0.000
10	0.1363862956	0.0643992156	0.0719870800	0.3252718092	0.4858426772	0.3600284410	1.0000000000	0.5318224648	1.0313041466	1.5631266114	-0.3164813374	-0.0633190001	-0.0468286252	0.5630152583	-0.3164813374	-0.0633190001	-0.0468286252	0.0000000000	0.0000000000	0.0000000000	-0.4610134320	0.3465401918	0.0522033668	1.1178254162	0.3884684174	false	false		0.000
11	0.1470239211	0.0654060094	0.0816179118	0.3419754140	0.4630730932	0.3518661027	1.0000000000	0.5352158065	1.4907266494	2.0259424559	-0.2990230841	-0.0792330144	-0.0552925603	0.5840867401	-0.2990230841	-0.0792330144	-0.0552925603	0.0000000000	-0.0035141602	0.0000000000	-0.2654578995	0.3560772003	0.0661336361	1.2478656402	0.3806409959	false	true	11	0.000
12	0.1619204642	0.0665563015	0.0953641627	0.3650847333	0.4317509976	0.3400067853	1.0000000000	0.5421206308	1.5045665647	2.0466871955	-0.2790159878	-0.0926874255	-0.0628223526	0.6033968411	-0.2790159878	-0.0926874255	-0.0628223526	0.0000000000	-0.0069506110	0.0000000000	-0.0651392263	0.3718194464	0.0834706203	1.4328344672	0.3743801506	true	false		0.000
13	0.1756777554	0.0680205469	0.1076572085	0.3849586882	0.4057603790	0.3298643288	1.0000000000	0.7001926500	2.1248459230	2.8250385730	-0.2614599380	-0.1042523368	-0.0695690102	0.6212048779	-0.2614599380	-0.1042523368	-0.0695690102	0.0000000000	-0.0102458375	0.0000000000	0.1082413434	0.3877194814	0.0990635437	1.5827160089	0.3691171465	false	true	13	0.000
14	0.1928915915	0.0695846220	0.1233069695	0.4087380924	0.3754154067	0.3174696373	1.0000000000	0.7070175493	2.7528212821	3.4598388315	-0.2414561367	-0.1143299257	-0.0756550815	0.6377077045	-0.2414561367	-0.1143299257	-0.0756550815	0.0000000000	-0.0133749692	0.0000000000	0.2940711739	0.4079410217	0.1176735823	1.7720433896	0.3647631062	false	false		0.000
15	0.2048214071	0.0706623876	0.1341590195	0.4241344643	0.3565524785	0.3095796296	1.0000000000	0.7109685350	2.7558415812	3.4668101163	-0.2240976556	-0.1252676292	-0.0811797172	0.6531343916	-0.2240976556	-0.1252676292	-0.0811797172	0.0000000000	-0.0163323620	-0.0014356205	0.4804973068	0.4201423442	0.1318729679	1.8985916574	0.3582566751	false	false		0.000
