Precomputing μ and ω...
  Done in 0.01s
  Squarefree count up to 10000: 6083
  Loaded 9998 TSV points
Computing 208 data points...
  [20/208] N=22, elapsed=0.0s, ETA=0s
  [40/208] N=42, elapsed=0.0s, ETA=0s
  [60/208] N=62, elapsed=0.0s, ETA=0s
  [80/208] N=82, elapsed=0.0s, ETA=0s
  [100/208] N=120, elapsed=0.0s, ETA=0s
  [120/208] N=320, elapsed=0.1s, ETA=0s
  [140/208] N=600, elapsed=0.2s, ETA=0s
  [160/208] N=1600, elapsed=1.4s, ETA=0s
N	vtRv	vtGv	vtDelta	diag	same	cross	gap	positive	gap_ratio	margin	margin_scaled	vtRv_scaled
3	0.0707931740	0.1115386546	0.0407454806	0.0861711010	0.0000000000	-0.0153779269	0.0153779269	0.0861711010	0.178458	0.8884613454	0.976075	0.077774
4	0.0647445020	0.0534949372	-0.0112495648	0.0889404077	0.0004803675	-0.0246762731	0.0246762731	0.0894207752	0.275957	0.9465050628	1.312135	0.089755
5	0.0622558912	0.0508988938	-0.0113569974	0.0910187915	0.0008365728	-0.0295994731	0.0295994731	0.0918553644	0.322240	0.9491011062	1.527519	0.100197
6	0.0604269939	0.0656242830	0.0051972891	0.0925858235	0.0012312817	-0.0333901112	0.0333901112	0.0938171052	0.355906	0.9343757170	1.674177	0.108271
7	0.0593044373	0.0783396999	0.0190352626	0.0938378054	0.0019058465	-0.0364392146	0.0364392146	0.0957436519	0.380591	0.9216603001	1.793468	0.115401
8	0.0583768832	0.0981284065	0.0397515233	0.0948742109	0.0024762234	-0.0389735512	0.0389735512	0.0973504343	0.400343	0.9018715935	1.875389	0.121391
9	0.0577084259	0.1177984371	0.0600900113	0.0957500254	0.0029355384	-0.0409771379	0.0409771379	0.0986855638	0.415229	0.8822015629	1.938395	0.126798
10	0.0572043663	0.1363862956	0.0791819293	0.0964999476	0.0033154002	-0.0426109815	0.0426109815	0.0998153478	0.426898	0.8636137044	1.988544	0.131718
11	0.0568072010	0.1470239211	0.0902167201	0.0971516045	0.0037043433	-0.0440487469	0.0440487469	0.1008559478	0.436749	0.8529760789	2.045347	0.136218
12	0.0564512479	0.1619204642	0.1054692162	0.0977261010	0.0040505238	-0.0453253768	0.0453253768	0.1017766247	0.445342	0.8380795358	2.082549	0.140276
13	0.0561580239	0.1756777554	0.1195197315	0.0982379270	0.0043520443	-0.0464319474	0.0464319474	0.1025899713	0.452597	0.8243222446	2.114345	0.144042
14	0.0558920428	0.1928915915	0.1369995487	0.0986979129	0.0046252767	-0.0474311468	0.0474311468	0.1033231896	0.459056	0.8071084085	2.130005	0.147502
15	0.0556647023	0.2048214071	0.1491567048	0.0991147971	0.0048912468	-0.0483413416	0.0483413416	0.1040060439	0.464794	0.7951785929	2.153384	0.150743
16	0.0554671124	0.2120592481	0.1565921357	0.0994953267	0.0051495844	-0.0491777987	0.0491777987	0.1046449111	0.469949	0.7879407519	2.184636	0.153787
17	0.0552944872	0.2187427951	0.1634483080	0.0998446668	0.0053834173	-0.0499335969	0.0499335969	0.1052280841	0.474527	0.7812572049	2.213468	0.156661
18	0.0551340721	0.2278824687	0.1727483967	0.1001669811	0.0055996858	-0.0506325948	0.0506325948	0.1057666669	0.478720	0.7721175313	2.231707	0.159358
19	0.0549915245	0.2364427825	0.1814512580	0.1004657095	0.0057978572	-0.0512720422	0.0512720422	0.1062635667	0.482499	0.7635572175	2.248248	0.161919
20	0.0548582843	0.2469992734	0.1921409891	0.1007436913	0.0059826568	-0.0518680638	0.0518680638	0.1067263481	0.485991	0.7530007266	2.255789	0.164341
21	0.0547382999	0.2570216057	0.2022833058	0.1010033156	0.0061536312	-0.0524186469	0.0524186469	0.1071569468	0.489176	0.7429783943	2.262014	0.166652
22	0.0546292046	0.2642874022	0.2096581976	0.1012465926	0.0063189875	-0.0529363755	0.0529363755	0.1075655801	0.492131	0.7357125978	2.274119	0.168861
23	0.0545296247	0.2690906221	0.2145609975	0.1014752746	0.0064783665	-0.0534240165	0.0534240165	0.1079536411	0.494879	0.7309093779	2.291762	0.170977
24	0.0544354529	0.2755030604	0.2210676075	0.1016908553	0.0066287314	-0.0538841338	0.0538841338	0.1083195867	0.497455	0.7244969396	2.302490	0.172999
25	0.0543488838	0.2815924910	0.2272436073	0.1018945939	0.0067698319	-0.0543155421	0.0543155421	0.1086644258	0.499847	0.7184075090	2.312465	0.174942
26	0.0542689973	0.2873853716	0.2331163744	0.1020875626	0.0069026028	-0.0547211682	0.0547211682	0.1089901654	0.502074	0.7126146284	2.321767	0.176814
27	0.0541948951	0.2913585971	0.2371637020	0.1022707191	0.0070308674	-0.0551066914	0.0551066914	0.1093015865	0.504171	0.7086414029	2.335566	0.178618
28	0.0541260211	0.2951434191	0.2410173980	0.1024449062	0.0071521437	-0.0554710288	0.0554710288	0.1095970499	0.506136	0.7048565809	2.348726	0.180359
29	0.0540618163	0.2987546690	0.2446928527	0.1026108544	0.0072670599	-0.0558160980	0.0558160980	0.1098779143	0.507983	0.7012453310	2.361300	0.182042
30	0.0540004075	0.3034341659	0.2494337583	0.1027692234	0.0073767779	-0.0561455937	0.0561455937	0.1101460012	0.509738	0.6965658341	2.369158	0.183666
31	0.0539428666	0.3090852458	0.2551423792	0.1029206095	0.0074847251	-0.0564624680	0.0564624680	0.1104053346	0.511411	0.6909147542	2.372592	0.185239
32	0.0538876868	0.3156431129	0.2617554260	0.1030655438	0.0075881055	-0.0567659624	0.0567659624	0.1106536493	0.513006	0.6843568871	2.371800	0.186760
33	0.0538357337	0.3219871419	0.2681514082	0.1032044948	0.0076867988	-0.0570555599	0.0570555599	0.1108912936	0.514518	0.6780128581	2.370677	0.188237
34	0.0537866290	0.3270811665	0.2732945376	0.1033378835	0.0077826762	-0.0573339306	0.0573339306	0.1111205596	0.515962	0.6729188335	2.372954	0.189671
35	0.0537401597	0.3310032063	0.2772630466	0.1034660950	0.0078757450	-0.0576016803	0.0576016803	0.1113418400	0.517341	0.6689967937	2.378516	0.191065
36	0.0536960588	0.3338424375	0.2801463787	0.1035894775	0.0079662730	-0.0578596918	0.0578596918	0.1115557506	0.518662	0.6661575625	2.387188	0.192421
37	0.0536542107	0.3365805741	0.2829263634	0.1037083425	0.0080531814	-0.0581073132	0.0581073132	0.1117615239	0.519922	0.6634194259	2.395553	0.193741
38	0.0536138130	0.3400602772	0.2864464643	0.1038229734	0.0081369967	-0.0583461572	0.0583461572	0.1119599701	0.521134	0.6599397228	2.400588	0.195025
39	0.0535753312	0.3426215227	0.2890461915	0.1039336321	0.0082185306	-0.0585768315	0.0585768315	0.1121521627	0.522298	0.6573784773	2.408347	0.196277
40	0.0535385974	0.3443379522	0.2907993548	0.1040405577	0.0082979524	-0.0587999127	0.0587999127	0.1123385101	0.523417	0.6556620478	2.418658	0.197497
41	0.0535035309	0.3460025642	0.2924990334	0.1041439671	0.0083745324	-0.0590149686	0.0590149686	0.1125184995	0.524491	0.6539974358	2.428667	0.198689
42	0.0534695677	0.3482918390	0.2948222713	0.1042440591	0.0084486476	-0.0592231391	0.0592231391	0.1126927067	0.525528	0.6517081610	2.435870	0.199852
43	0.0534370663	0.3511556631	0.2977185968	0.1043410192	0.0085214492	-0.0594254020	0.0594254020	0.1128624684	0.526529	0.6488443369	2.440433	0.200988
44	0.0534055442	0.3545555602	0.3011500161	0.1044350181	0.0085920183	-0.0596214922	0.0596214922	0.1130270364	0.527498	0.6454444398	2.442484	0.202097
45	0.0533753101	0.3578625218	0.3044872117	0.1045262120	0.0086603079	-0.0598112097	0.0598112097	0.1131865199	0.528431	0.6421374782	2.444401	0.203182
46	0.0533462817	0.3610808831	0.3077346015	0.1046147441	0.0087264427	-0.0599949052	0.0599949052	0.1133411868	0.529330	0.6389191169	2.446192	0.204244
47	0.0533183673	0.3636537794	0.3103354121	0.1047007489	0.0087910162	-0.0601733978	0.0601733978	0.1134917651	0.530201	0.6363462206	2.450027	0.205284
48	0.0532912272	0.3666946034	0.3134033762	0.1047843523	0.0088537761	-0.0603469012	0.0603469012	0.1136381284	0.531044	0.6333053966	2.451652	0.206301
49	0.0532650944	0.3696585758	0.3163934814	0.1048656705	0.0089146848	-0.0605152609	0.0605152609	0.1137803553	0.531860	0.6303414242	2.453176	0.207298
50	0.0532399100	0.3725490320	0.3193091220	0.1049448108	0.0089738352	-0.0606787361	0.0606787361	0.1139186461	0.532650	0.6274509680	2.454603	0.208276
51	0.0532156198	0.3753691075	0.3221534877	0.1050218736	0.0090313138	-0.0608375676	0.0608375676	0.1140531874	0.533414	0.6246308925	2.455940	0.209235
52	0.0531921540	0.3776496912	0.3244575372	0.1050969535	0.0090875753	-0.0609923748	0.0609923748	0.1141845288	0.534156	0.6223503088	2.459058	0.210175
53	0.0531694858	0.3798745950	0.3267051092	0.1051701390	0.0091423112	-0.0611429644	0.0611429644	0.1143124502	0.534876	0.6201254050	2.462079	0.211098
54	0.0531473798	0.3824840859	0.3293367060	0.1052415134	0.0091956835	-0.0612898170	0.0612898170	0.1144371968	0.535576	0.6175159141	2.463261	0.212004
