N	vtRv	C_R	vtGv	C_Delta	D	D_prime_ok
1000	0.051514025862715085	0.35584628409479246	0.602797699582	3.09962257163108	2.743776287536288	✅
2000	0.05136606364627002	0.3904284395059289	0.635509193027	3.1608875107074828	2.7704590712015538	✅
3000	0.05129659845974494	0.41069942223887945	0.652134855869	3.1958356301252966	2.7851362078864166	✅
4000	0.051253327426487146	0.4250976418956871	0.662131906123	3.227392384318177	2.80229474242249	✅
5000	0.05122272362406838	0.4362738328967109	0.670241193877	3.2448932912170743	2.808619458320363	✅
6000	0.051199439172337796	0.44541027617984325	0.676155170753	3.262703144345731	2.8172928681658873	✅
7000	0.051180859913321095	0.45313820999179877	0.681642498125	3.2717690180988543	2.8186308081070552	✅
8000	0.05116552988635208	0.4598346875221086	0.685893524895	3.2827714019351033	2.8229367144129953	✅
9000	0.05115256219309618	0.46574304836721264	0.689118347018	3.296314236467276	2.8305711881000635	✅
10000	0.05114137999658899	0.4710295168611588	0.692546434509	3.3027815036109396	2.8317519867497807	✅
12500	0.05111891912084417	0.4822295017024653	nan	nan	nan	N/A
15000	0.05110171359961968	0.4913841376729237	nan	nan	nan	N/A
17500	0.05108791028673773	0.4991266438029248	nan	nan	nan	N/A
20000	0.051076469747272236	0.5058351823695987	nan	nan	nan	N/A
25000	0.05105835046491685	0.5170490799293184	nan	nan	nan	N/A
30000	0.05104440993052246	0.5262144055642775	nan	nan	nan	N/A
35000	0.051033186854305745	0.5339655078501953	nan	nan	nan	N/A
40000	0.0510238578721888	0.5406811845449933	nan	nan	nan	N/A
45000	0.0510159167284742	0.5466058446847596	nan	nan	nan	N/A
50000	0.05100903160262398	0.5519064124428689	nan	nan	nan	N/A
