N	vtRv	C_R	vtGv	vtDelta	C_Delta	D	D_prime_ok
100	0.15518233787885372	0.7146410757916277	0.443901628915948	0.28871929103709426	3.2755687147844466	2.5609276389928186	✅
200	0.23119056790246528	1.2249210008997349	0.5053110052697531	0.27412043736728786	3.8459402927191917	2.621019291819457	✅
300	0.29628465912801993	1.6899432462438866	0.5341453526203663	0.2378606934923464	4.347076819704985	2.6571335734610986	✅
400	0.3568636441899493	2.138135872315839	0.5517536271176088	0.19488998292765947	4.82378812381043	2.6856522514945915	✅
500	0.41312740858611463	2.5674249390794417	0.5666333863156412	0.15350597772952657	5.260628606068059	2.6932036669886177	✅
600	0.4667987616962923	2.986078841713187	0.5755339615661162	0.10873519986982394	5.701358230603015	2.7152793888898277	✅
700	0.5182763141528366	3.3952697697654255	0.5852201439435999	0.0669438297907633	6.112525928148642	2.7172561583832167	✅
800	0.5682070544506566	3.798243539924507	0.5925006269132604	0.024293572462603885	6.522218628277455	2.7239750883529474	✅
900	0.6168161184021701	4.19582673375295	0.5982340373541686	-0.01858208104800152	6.928797414136905	2.7329706803839544	✅
1000	0.664097230314016	4.58742114845906	0.6027976995816986	-0.06129953073231742	7.331197435997431	2.74377628753837	✅
2000	1.0926513275998833	8.305136163375874	0.6355091930270673	-0.45714213457281594	11.075595234576916	2.770459071201042	✅
3000	1.4750968029627405	11.81016720238545	0.652134855868993	-0.8229619470937475	14.595303410271923	2.7851362078864725	✅
4000	1.8308548244405403	15.185200797730124	0.6621319061223947	-1.1687229183181456	17.987495540157635	2.8022947424275104	✅
5000	2.169080756112062	18.47447984758964	0.6702411938766455	-1.4988395622354165	21.283099305913023	2.8086194583233826	✅
6000	2.4943012436590752	21.699210455691148	0.6761551707525244	-1.8181460729065508	24.51650332386117	2.817292868170025	✅
7000	2.8088696012316037	24.86879168028959	0.6816424981253515	-2.127227103106252	27.68742248839353	2.818630808103943	✅
8000	3.1146754246865296	27.99220107413676	0.6858935248949547	-2.428781899791575	30.81513778855016	2.822936714413402	✅
9000	3.41321319374597	31.077237374377102	0.6891183470180504	-2.72409484672792	33.90780856247671	2.8305711880996047	✅
10000	3.705534087909008	34.129230209602284	0.6925464345090953	-3.0129876533999127	36.96098219635118	2.8317519867489036	✅
15000	5.097817535474645	49.01962179408717	0.7042012286954247	-4.39361630677922	51.863965240199924	2.844343446112752	✅
20000	6.406083015219988	63.44256340174425	0.7121665166430089	-5.693916498576979	66.29311872137332	2.850555319629076	✅
25000	7.6575611801967405	77.54529722701722	0.7180093757503849	-6.9395518044463556	80.40091225353754	2.8556150265203253	✅
30000	8.866072599671895	91.39992271585305	0.7225713308217503	-8.143501268850144	94.25992173311717	2.8599990172641228	✅
35000	10.04061047399388	105.055944990819	0.7261474746141121	-9.314462999379767	107.92129226398065	2.8653472731616536	✅
40000	11.187304915647829	118.54778383889021	0.7293983081088711	-10.457906607538957	121.4152511260183	2.8674672871280986	✅
45000	12.309957470381942	131.89402705324733	0.7322500352689412	-11.577707435113002	134.76281203294462	2.8687849796973004	✅
50000	13.411890395936542	145.11368045884504	0.7344689046202617	-12.67742149131628	147.9866680384704	2.872987579625368	✅
