X	T	M_direct	M_perron	error	rel_error	time_s
10.5	50	-1	-6.533633747143391e-1	3.466366252856609e-1	3.466366252856609e-1	5.859
10.5	100	-1	-8.847346739148396e-1	1.152653260851604e-1	1.152653260851604e-1	5.923
10.5	200	-1	-9.657548077921040e-1	3.424519220789601e-2	3.424519220789601e-2	5.805
10.5	500	-1	-1.014451948403659e0	-1.445194840365871e-2	1.445194840365871e-2	5.866
20.5	50	-3	-4.286980649363092e0	-1.286980649363092e0	4.289935497876973e-1	6.204
20.5	100	-3	-3.300624809748926e0	-3.006248097489261e-1	1.002082699163087e-1	5.731
20.5	200	-3	-3.085230499651240e0	-8.523049965124008e-2	2.841016655041336e-2	6.464
20.5	500	-3	-2.909130232296071e0	9.086976770392940e-2	3.028992256797647e-2	5.882
50.5	50	-3	-5.168489649390214e0	-2.168489649390214e0	7.228298831300712e-1	5.767
50.5	100	-3	-1.231936783141906e0	1.768063216858094e0	5.893544056193647e-1	5.800
50.5	200	-3	-3.433982759914112e0	-4.339827599141124e-1	1.446609199713708e-1	6.419
50.5	500	-3	-3.203037010725234e0	-2.030370107252342e-1	6.767900357507806e-2	6.002
100.5	50	1	1.100488534143518e1	1.000488534143518e1	1.000488534143518e1	5.932
100.5	100	1	4.674772391341663e0	3.674772391341663e0	3.674772391341663e0	6.023
100.5	200	1	6.495722135403580e-1	-3.504277864596420e-1	3.504277864596420e-1	6.382
100.5	500	1	-7.028129842614445e-2	-1.070281298426145e0	1.070281298426145e0	6.298
200.5	50	-8	-4.281217722918627e1	-3.481217722918627e1	4.351522153648284e0	6.210
200.5	100	-8	6.745744496374599e0	1.474574449637460e1	1.843218062046825e0	5.960
200.5	200	-8	-8.093695901037055e0	-9.369590103705505e-2	1.171198762963188e-2	5.977
200.5	500	-8	-1.114811440385247e1	-3.148114403852468e0	3.935143004815584e-1	5.890
500.5	50	-6	3.106679532915405e2	3.166679532915405e2	5.277799221525675e1	5.884
500.5	100	-6	-9.972740751420756e1	-9.372740751420756e1	1.562123458570126e1	5.763
500.5	200	-6	-3.313635767357751e1	-2.713635767357751e1	4.522726278929586e0	5.795
500.5	500	-6	5.011346250550777e0	1.101134625055078e1	1.835224375091796e0	6.184
1000.5	50	2	-6.575585274236321e2	-6.595585274236321e2	3.297792637118160e2	5.780
1000.5	100	2	1.340553808340984e2	1.320553808340984e2	6.602769041704919e1	5.683
1000.5	200	2	3.703832481296796e2	3.683832481296796e2	1.841916240648398e2	5.814
1000.5	500	2	4.782072636670269e2	4.762072636670269e2	2.381036318335134e2	6.011
