n	divisors	omega	factorization	type
1	1	0	1	hcn
2	2	1	2 (prime)	colossal
4	3	1	2^2	hcn
6	4	2	2·3	colossal
12	6	2	2^2·3	colossal
24	8	2	2^3·3	hcn
36	9	2	2^2·3^2	hcn
48	10	2	2^4·3	hcn
60	12	3	2^2·3·5	colossal
120	16	3	2^3·3·5	colossal
180	18	3	2^2·3^2·5	hcn
240	20	3	2^4·3·5	hcn
360	24	3	2^3·3^2·5	colossal
720	30	3	2^4·3^2·5	hcn
840	32	4	2^3·3·5·7	hcn
1260	36	4	2^2·3^2·5·7	hcn
1680	40	4	2^4·3·5·7	hcn
2520	48	4	2^3·3^2·5·7	colossal
5040	60	4	2^4·3^2·5·7	colossal
7560	64	4	2^3·3^3·5·7	hcn
10080	72	4	2^5·3^2·5·7	hcn
15120	80	4	2^4·3^3·5·7	hcn
20160	84	4	2^6·3^2·5·7	hcn
25200	90	4	2^4·3^2·5^2·7	hcn
27720	96	5	2^3·3^2·5·7·11	hcn
45360	100	4	2^4·3^4·5·7	hcn
50400	108	4	2^5·3^2·5^2·7	hcn
55440	120	5	2^4·3^2·5·7·11	colossal
83160	128	5	2^3·3^3·5·7·11	hcn
110880	144	5	2^5·3^2·5·7·11	hcn
166320	160	5	2^4·3^3·5·7·11	hcn
221760	168	5	2^6·3^2·5·7·11	hcn
277200	180	5	2^4·3^2·5^2·7·11	hcn
332640	192	5	2^5·3^3·5·7·11	hcn
498960	200	5	2^4·3^4·5·7·11	hcn
554400	216	5	2^5·3^2·5^2·7·11	hcn
665280	224	5	2^6·3^3·5·7·11	hcn
720720	240	6	2^4·3^2·5·7·11·13	colossal
