gap_from	gap_to	gap_size	hcn_count	hcns_in_gap
2	6	4	1	2	4
6	12	6	0	2	
12	60	48	3	12	24,36,48
60	120	60	0	13	
120	360	240	2	42	180,240
360	2520	2160	4	296	720,840,1260,1680
2520	5040	2520	0	307	
5040	55440	50400	8	4953	7560,10080,15120,20160,25200,27720,45360,50400
55440	720720	665280	9	52455	83160,110880,166320,221760,277200,332640,498960,554400,665280
720720	1441440	720720	1	51947	1081080
1441440	4324320	2882880	3	194378	2162160,2882880,3603600
4324320	21621600	17297280	6	1062388	6486480,7207200,8648640,10810800,14414400,17297280
21621600	367567200	345945600	11	18328447	32432400,36756720,43243200,61261200,73513440,110270160,122522400,147026880,183783600,245044800,294053760
367567200	735134400	367567200	2	18280351	551350800,698377680
