t	total	ch1	ch2	ch3	ch4
5	1.795223834707715e0	6.640045319255138e-1	2.929543607339907e-1	9.482434395471800e-1	1.386387590028999e1
10	4.420472309944419e-1	1.150038909893015e0	8.311499247228914e-1	8.101536830693767e0	4.246999635115762e-1
15	2.478419452231624e0	1.119511106685866e0	1.031824893728321e0	2.158992457529262e-1	3.770040604234777e0
20	8.527553023910995e-1	7.657363597040481e-1	1.311674256336898e1	1.505776474035292e-1	1.568784381544495e-1
25	2.218209807599735e1	1.672164033385648e1	4.691815307200919e-1	3.669803528883836e-1	2.034010972821146e-1
30	4.479203119717003e0	2.199785057065417e0	3.516781954192730e0	2.418577265722987e0	4.149840561425217e0
35	1.357927535659884e-1	2.478584282579689e-1	4.112533048882345e0	4.992092226118048e-1	4.314308705764684e0
40	8.001205069002124e-1	3.002856576685578e-1	1.350534590143096e-1	2.946754594950363e0	4.971516194277203e0
45	1.044367448051075e-1	7.521725205200990e-1	1.058196174661339e-1	4.464684636803522e0	1.851379135346806e0
50	1.354512918930309e1	4.996392106290705e0	1.187819071487431e0	2.026851959996721e0	3.079756347101051e0
55	1.569604646803527e-1	7.013981221834215e-1	1.786933005041811e0	1.697134207297119e0	3.790258733603632e-1
60	3.268378581086930e0	1.407357191959596e0	2.253081136214773e-1	5.415906034527730e-1	1.264483023290266e-1
65	7.875574176732194e0	9.539763840352984e0	2.953846387145879e0	4.160010297524951e0	1.149389778258233e-1
70	1.465671831661924e0	8.144702273933642e-1	1.264194552679520e0	2.476644585630500e0	1.314612002558667e0
75	4.549646524587085e-1	2.873688708931261e-1	1.250040091750447e0	4.808254076219921e0	4.682984536887052e0
