a	b	formula	target	ftc_error	ftc_error_x_aM	alg_error	alg_error_x_aM	two_tile_rows	total_correction	ftc_bounded
1	2	2.722092559908731e-1	2.722092559908731e-1	-2.916654e-6	2.916654e-1	-2.916654e-6	2.916654e-1	0	0.000000e0	true
1	3	2.416701361288506e-1	2.416701361288506e-1	-2.777778e-6	2.777778e-1	-2.777778e-6	2.777778e-1	0	0.000000e0	true
2	3	2.744368426127355e-1	1.077701759460688e-1	-1.319441e-6	2.638883e-1	7.852549e-2	1.570510e4	33333	-7.852681e-2	true
1	4	2.144025313717860e-1	2.144025313717860e-1	-2.708313e-6	2.708313e-1	-2.708313e-6	2.708313e-1	0	0.000000e0	true
3	4	2.321146333077535e-1	6.544796664108682e-2	-8.564782e-7	2.569435e-1	7.709549e-2	2.312865e4	50000	-7.709635e-2	true
1	5	1.924788623380489e-1	1.924788623380489e-1	-2.666642e-6	2.666642e-1	-2.666642e-6	2.666642e-1	0	0.000000e0	true
2	5	2.164052341247139e-1	1.164052341247139e-1	-1.291659e-6	2.583319e-1	3.117746e-2	6.235491e3	20000	-3.117875e-2	true
3	5	2.068897702963464e-1	7.355643696301309e-2	-8.518482e-7	2.555544e-1	4.667920e-2	1.400376e4	40000	-4.668005e-2	true
4	5	1.973758381245246e-1	4.737583812452464e-2	-6.354143e-7	2.541657e-1	6.847319e-2	2.738927e4	60000	-6.847382e-2	true
1	6	1.748359150800768e-1	1.748359150800768e-1	-2.638893e-6	2.638893e-1	-2.638893e-6	2.638893e-1	0	0.000000e0	true
5	6	1.708554534552582e-1	3.752212012192485e-2	-5.055561e-7	2.527781e-1	6.026458e-2	3.013229e4	66667	-6.026509e-2	true
1	7	1.604060376407710e-1	1.604060376407710e-1	-2.619050e-6	2.619050e-1	-2.619050e-6	2.619050e-1	0	0.000000e0	true
2	7	1.788527593842831e-1	1.074241879557117e-1	-1.279765e-6	2.559530e-1	1.664904e-2	3.329807e3	14286	-1.665032e-2	true
3	7	1.731367423916173e-1	7.789864715352210e-2	-8.465607e-7	2.539682e-1	2.887208e-2	8.661623e3	28572	-2.887292e-2	true
4	7	1.637126947704327e-1	5.656983762757554e-2	-6.324388e-7	2.529755e-1	3.052572e-2	1.221029e4	42857	-3.052636e-2	true
5	7	1.540228560106704e-1	3.973714172495611e-2	-5.047615e-7	2.523808e-1	4.437245e-2	2.218623e4	57143	-4.437296e-2	true
6	7	1.503665696081029e-1	3.131895056048384e-2	-4.199742e-7	2.519845e-1	5.339622e-2	3.203773e4	71429	-5.339664e-2	true
1	8	1.483960883474764e-1	1.483960883474764e-1	-2.604129e-6	2.604129e-1	-2.604129e-6	2.604129e-1	0	0.000000e0	true
3	8	1.595795760003710e-1	7.624624266703768e-2	-8.449023e-7	2.534707e-1	1.938644e-2	5.815931e3	25000	-1.938728e-2	true
5	8	1.428118747466716e-1	4.281187474667161e-2	-5.041645e-7	2.520823e-1	3.420380e-2	1.710190e4	50000	-3.420431e-2	true
7	8	1.341765022096846e-1	2.703364506682750e-2	-3.592674e-7	2.514872e-1	4.776392e-2	3.343474e4	75000	-4.776428e-2	true
1	9	1.382401728541656e-1	1.382401728541656e-1	-2.592573e-6	2.592573e-1	-2.592573e-6	2.592573e-1	0	0.000000e0	true
2	9	1.531816374839429e-1	9.762608192838731e-2	-1.273146e-6	2.546291e-1	1.034090e-2	2.068181e3	11111	-1.034218e-2	true
4	9	1.423422470703690e-1	5.900891373703564e-2	-6.307863e-7	2.523145e-1	2.484296e-2	9.937183e3	33333	-2.484359e-2	true
5	9	1.350626974853238e-1	4.617380859643487e-2	-5.037027e-7	2.518514e-1	2.159914e-2	1.079957e4	44444	-2.159964e-2	true
7	9	1.223641884838073e-1	2.712609324571207e-2	-3.590310e-7	2.513217e-1	3.835080e-2	2.684556e4	66666	-3.835116e-2	true
8	9	1.211002129634582e-1	2.387799074123598e-2	-3.139451e-7	2.511561e-1	4.312634e-2	3.450107e4	77777	-4.312665e-2	true
1	10	1.295322051740821e-1	1.295322051740821e-1	-2.583287e-6	2.583287e-1	-2.583287e-6	2.583287e-1	0	0.000000e0	true
3	10	1.392428661869980e-1	7.257619952033136e-2	-8.425866e-7	2.527760e-1	1.505507e-2	4.516522e3	20000	-1.505592e-2	true
7	10	1.144411158488240e-1	2.872683013453831e-2	-3.588421e-7	2.511895e-1	3.027990e-2	2.119593e4	60000	-3.028026e-2	true
9	10	1.103337628007506e-1	2.144487391186171e-2	-2.788056e-7	2.509250e-1	3.926750e-2	3.534075e4	80000	-3.926778e-2	true
1	11	1.219757461225714e-1	1.219757461225714e-1	-2.575730e-6	2.575730e-1	-2.575730e-6	2.575730e-1	0	0.000000e0	true
2	11	1.345117905802274e-1	8.905724512568196e-2	-1.268937e-6	2.537873e-1	7.042439e-3	1.408488e3	9091	-7.043708e-3	true
3	11	1.308187981174722e-1	7.021273751141155e-2	-8.417511e-7	2.525253e-1	1.055875e-2	3.167624e3	18182	-1.055959e-2	true
4	11	1.252743768417936e-1	5.709255865997540e-2	-6.297356e-7	2.518943e-1	1.292586e-2	5.170343e3	27273	-1.292649e-2	true
5	11	1.204199428165691e-1	4.769267008929642e-2	-5.030311e-7	2.515155e-1	2.143860e-2	1.071930e4	36364	-2.143911e-2	true
6	11	1.148528992986479e-1	3.909532354107211e-2	-4.187717e-7	2.512630e-1	1.616061e-2	9.696365e3	45455	-1.616103e-2	true
7	11	1.082338770475516e-1	3.031179912547373e-2	-3.586894e-7	2.510826e-1	2.641939e-2	1.849357e4	54546	-2.641975e-2	true
8	11	1.040616534323719e-1	2.451619888691740e-2	-3.136841e-7	2.509473e-1	2.984349e-2	2.387479e4	63637	-2.984380e-2	true
9	11	1.015911038051899e-1	2.078302299710910e-2	-2.787133e-7	2.508420e-1	3.310504e-2	2.979454e4	72728	-3.310532e-2	true
10	11	1.013215065959788e-1	1.950332477779695e-2	-2.507577e-7	2.507577e-1	3.601855e-2	3.601855e4	81819	-3.601881e-2	true
1	12	1.153501646217912e-1	1.153501646217912e-1	-2.569457e-6	2.569457e-1	-2.569457e-6	2.569457e-1	0	0.000000e0	true
5	12	1.129124510056426e-1	4.624578433897590e-2	-5.027773e-7	2.513887e-1	1.693153e-2	8.465766e3	33333	-1.693203e-2	true
7	12	1.032003585973751e-1	3.177178716880365e-2	-3.585603e-7	2.509922e-1	1.998069e-2	1.398648e4	50000	-1.998105e-2	true
11	12	9.367009205790590e-2	1.791251630033014e-2	-2.278456e-7	2.506302e-1	3.325170e-2	3.657687e4	83333	-3.325192e-2	true
1	13	1.094881333946786e-1	1.094881333946786e-1	-2.564113e-6	2.564113e-1	-2.564113e-6	2.564113e-1	0	0.000000e0	true
2	13	1.202784805416941e-1	8.181694208015566e-2	-1.266027e-6	2.532055e-1	5.103467e-3	1.020693e3	7692	-5.104733e-3	true
3	13	1.173021782651799e-1	6.602012698312866e-2	-8.404487e-7	2.521346e-1	9.230932e-3	2.769280e3	15384	-9.231772e-3	true
4	13	1.127541636202808e-1	5.506185592797307e-2	-6.290055e-7	2.516022e-1	1.279759e-2	5.119036e3	23077	-1.279822e-2	true
5	13	1.072344701549426e-1	4.569600861648110e-2	-5.025643e-7	2.512821e-1	1.396480e-2	6.982399e3	30769	-1.396530e-2	true
6	13	1.042173595919240e-1	4.011479548935989e-2	-4.184449e-7	2.510670e-1	1.874387e-2	1.124632e4	38461	-1.874428e-2	true
7	13	9.987728792142402e-2	3.394322198735808e-2	-3.584501e-7	2.509150e-1	1.259357e-2	8.815500e3	46154	-1.259393e-2	true
8	13	9.423098820867080e-2	2.692329590097850e-2	-3.135016e-7	2.508013e-1	2.065239e-2	1.652191e4	53846	-2.065270e-2	true
9	13	9.091992395412843e-2	2.254385557806005e-2	-2.785681e-7	2.507113e-1	2.273078e-2	2.045770e4	61538	-2.273106e-2	true
10	13	8.830594097955301e-2	1.907517174878377e-2	-2.506405e-7	2.506405e-1	2.624046e-2	2.624046e4	69231	-2.624071e-2	true
11	13	8.692319913100360e-2	1.699312920093367e-2	-2.278026e-7	2.505829e-1	2.892221e-2	3.181443e4	76923	-2.892244e-2	true
