a	b	two_tile_count	total_correction	correction_at_max_M	alg_minus_ftc_error
1	2	0	0.000000000000000e0	0.000000000000000e0	0.000000e0
1	3	0	0.000000000000000e0	0.000000000000000e0	0.000000e0
2	3	33333	-7.852680842142767e-2	-7.852680842142767e-2	7.852681e-2
1	4	0	0.000000000000000e0	0.000000000000000e0	0.000000e0
3	4	50000	-7.709634889357034e-2	-7.709634889357034e-2	7.709635e-2
1	5	0	0.000000000000000e0	0.000000000000000e0	0.000000e0
2	5	20000	-3.117874734052620e-2	-3.117874734052620e-2	3.117875e-2
3	5	40000	-4.668005255558137e-2	-4.668005255558137e-2	4.668005e-2
4	5	60000	-6.847382152147055e-2	-6.847382152147055e-2	6.847382e-2
1	6	0	0.000000000000000e0	0.000000000000000e0	0.000000e0
5	6	66667	-6.026508753780509e-2	-6.026508753780509e-2	6.026509e-2
1	7	0	0.000000000000000e0	0.000000000000000e0	0.000000e0
2	7	14286	-1.665031695673089e-2	-1.665031695673089e-2	1.665032e-2
3	7	28572	-2.887292321520092e-2	-2.887292321520092e-2	2.887292e-2
4	7	42857	-3.052635635086272e-2	-3.052635635086272e-2	3.052636e-2
5	7	57143	-4.437295649406768e-2	-4.437295649406768e-2	4.437296e-2
6	7	71429	-5.339663591231480e-2	-5.339663591231480e-2	5.339664e-2
1	8	0	0.000000000000000e0	0.000000000000000e0	0.000000e0
3	8	25000	-1.938728115917183e-2	-1.938728115917183e-2	1.938728e-2
5	8	50000	-3.420430748276928e-2	-3.420430748276928e-2	3.420431e-2
7	8	75000	-4.776427746890204e-2	-4.776427746890204e-2	4.776428e-2
1	9	0	0.000000000000000e0	0.000000000000000e0	0.000000e0
2	9	11111	-1.034217671435953e-2	-1.034217671435953e-2	1.034218e-2
4	9	33333	-2.484358801243228e-2	-2.484358801243228e-2	2.484359e-2
5	9	44444	-2.159964086668334e-2	-2.159964086668334e-2	2.159964e-2
7	9	66666	-3.835115745115358e-2	-3.835115745115358e-2	3.835116e-2
8	9	77777	-4.312665225059029e-2	-4.312665225059029e-2	4.312665e-2
1	10	0	0.000000000000000e0	0.000000000000000e0	0.000000e0
3	10	20000	-1.505591539240808e-2	-1.505591539240808e-2	1.505592e-2
7	10	60000	-3.028026286670381e-2	-3.028026286670381e-2	3.028026e-2
9	10	80000	-3.926777536107499e-2	-3.926777536107499e-2	3.926778e-2
1	11	0	0.000000000000000e0	0.000000000000000e0	0.000000e0
2	11	9091	-7.043708328339413e-3	-7.043708328339413e-3	7.043708e-3
3	11	18182	-1.055958816262562e-2	-1.055958816262562e-2	1.055959e-2
4	11	27273	-1.292648633700575e-2	-1.292648633700575e-2	1.292649e-2
5	11	36364	-2.143910670618709e-2	-2.143910670618709e-2	2.143911e-2
6	11	45455	-1.616102734175827e-2	-1.616102734175827e-2	1.616103e-2
7	11	54546	-2.641974534158115e-2	-2.641974534158115e-2	2.641975e-2
8	11	63637	-2.984380351214054e-2	-2.984380351214054e-2	2.984380e-2
9	11	72728	-3.310532154438980e-2	-3.310532154438980e-2	3.310532e-2
10	11	81819	-3.601880508952628e-2	-3.601880508952628e-2	3.601881e-2
1	12	0	0.000000000000000e0	0.000000000000000e0	0.000000e0
5	12	33333	-1.693203490866234e-2	-1.693203490866234e-2	1.693203e-2
7	12	50000	-1.998104896640593e-2	-1.998104896640593e-2	1.998105e-2
11	12	83333	-3.325192338262380e-2	-3.325192338262380e-2	3.325192e-2
1	13	0	0.000000000000000e0	0.000000000000000e0	0.000000e0
2	13	7692	-5.104732548771625e-3	-5.104732548771625e-3	5.104733e-3
3	13	15384	-9.231772240689827e-3	-9.231772240689827e-3	9.231772e-3
4	13	23077	-1.279822017430805e-2	-1.279822017430805e-2	1.279822e-2
5	13	30769	-1.396529963310742e-2	-1.396529963310742e-2	1.396530e-2
6	13	38461	-1.874428468972741e-2	-1.874428468972741e-2	1.874428e-2
7	13	46154	-1.259393013243990e-2	-1.259393013243990e-2	1.259393e-2
8	13	53846	-2.065270480894817e-2	-2.065270480894817e-2	2.065270e-2
9	13	61538	-2.273106051297674e-2	-2.273106051297674e-2	2.273106e-2
10	13	69231	-2.624071386845747e-2	-2.624071386845747e-2	2.624071e-2
11	13	76923	-2.892243577349872e-2	-2.892243577349872e-2	2.892244e-2
12	13	84615	-3.087064404913853e-2	-3.087064404913853e-2	3.087064e-2
1	14	0	0.000000000000000e0	0.000000000000000e0	0.000000e0
3	14	14286	-6.632009076694126e-3	-6.632009076694126e-3	6.632009e-3
5	14	28572	-9.245513290315255e-3	-9.245513290315255e-3	9.245513e-3
9	14	57143	-2.143883475394473e-2	-2.143883475394473e-2	2.143883e-2
11	14	71429	-2.536038192973907e-2	-2.536038192973907e-2	2.536038e-2
13	14	85715	-2.880159316276265e-2	-2.880159316276265e-2	2.880159e-2
1	15	0	0.000000000000000e0	0.000000000000000e0	0.000000e0
2	15	6667	-3.868929117656795e-3	-3.868929117656795e-3	3.868929e-3
4	15	20000	-7.103476009412522e-3	-7.103476009412522e-3	7.103476e-3
7	15	40000	-1.660735152688884e-2	-1.660735152688884e-2	1.660735e-2
8	15	46667	-1.012078645690196e-2	-1.012078645690196e-2	1.012079e-2
11	15	66667	-2.243217147825100e-2	-2.243217147825100e-2	2.243217e-2
13	15	80000	-2.559987683650249e-2	-2.559987683650249e-2	2.559988e-2
14	15	86667	-2.698835285528658e-2	-2.698835285528658e-2	2.698835e-2
1	16	0	0.000000000000000e0	0.000000000000000e0	0.000000e0
3	16	12500	-6.236694455122011e-3	-6.236694455122011e-3	6.236694e-3
5	16	25000	-1.096421558107639e-2	-1.096421558107639e-2	1.096422e-2
7	16	37500	-1.404960941373895e-2	-1.404960941373895e-2	1.404961e-2
9	16	50000	-1.330593510324563e-2	-1.330593510324563e-2	1.330594e-2
11	16	62500	-1.809373892763346e-2	-1.809373892763346e-2	1.809374e-2
13	16	75000	-2.260824755180771e-2	-2.260824755180771e-2	2.260825e-2
15	16	87500	-2.538701422800093e-2	-2.538701422800093e-2	2.538701e-2
1	17	0	0.000000000000000e0	0.000000000000000e0	0.000000e0
2	17	5882	-3.033159868443294e-3	-3.033159868443294e-3	3.033160e-3
3	17	11765	-4.548969678309711e-3	-4.548969678309711e-3	4.548970e-3
4	17	17647	-7.797222975841087e-3	-7.797222975841087e-3	7.797223e-3
5	17	23529	-8.892378849820755e-3	-8.892378849820755e-3	8.892379e-3
6	17	29412	-6.965133539414332e-3	-6.965133539414332e-3	6.965134e-3
7	17	35294	-1.165042042524507e-2	-1.165042042524507e-2	1.165042e-2
8	17	41176	-1.488744303250999e-2	-1.488744303250999e-2	1.488744e-2
9	17	47059	-8.331032308484032e-3	-8.331032308484032e-3	8.331032e-3
10	17	52941	-1.472319513492560e-2	-1.472319513492560e-2	1.472320e-2
11	17	58823	-1.801815469965058e-2	-1.801815469965058e-2	1.801815e-2
12	17	64706	-1.843234505370960e-2	-1.843234505370960e-2	1.843235e-2
13	17	70588	-1.984454820518558e-2	-1.984454820518558e-2	1.984455e-2
14	17	76470	-2.179215425508949e-2	-2.179215425508949e-2	2.179215e-2
15	17	82353	-2.292609488146427e-2	-2.292609488146427e-2	2.292609e-2
16	17	88235	-2.396298888347727e-2	-2.396298888347727e-2	2.396299e-2
1	18	0	0.000000000000000e0	0.000000000000000e0	0.000000e0
5	18	22222	-7.548809498400705e-3	-7.548809498400705e-3	7.548809e-3
7	18	33333	-1.070783398066624e-2	-1.070783398066624e-2	1.070783e-2
11	18	55556	-1.463511594160792e-2	-1.463511594160792e-2	1.463512e-2
13	18	66667	-1.809683380085707e-2	-1.809683380085707e-2	1.809683e-2
17	18	88889	-2.268871377334589e-2	-2.268871377334589e-2	2.268871e-2
1	19	0	0.000000000000000e0	0.000000000000000e0	0.000000e0
2	19	5263	-2.441668964896852e-3	-2.441668964896852e-3	2.441669e-3
3	19	10526	-4.494820832871838e-3	-4.494820832871838e-3	4.494821e-3
4	19	15789	-4.484190299578065e-3	-4.484190299578065e-3	4.484190e-3
5	19	21052	-5.106391352966598e-3	-5.106391352966598e-3	5.106391e-3
6	19	26315	-9.539964085930351e-3	-9.539964085930351e-3	9.539964e-3
7	19	31579	-8.393496505501703e-3	-8.393496505501703e-3	8.393497e-3
8	19	36842	-1.128144285388785e-2	-1.128144285388785e-2	1.128144e-2
9	19	42105	-1.347982610991696e-2	-1.347982610991696e-2	1.347983e-2
10	19	47368	-6.991101848101851e-3	-6.991101848101851e-3	6.991102e-3
11	19	52631	-1.237052321613499e-2	-1.237052321613499e-2	1.237052e-2
12	19	57894	-1.516905160381663e-2	-1.516905160381663e-2	1.516905e-2
13	19	63158	-1.497925171102212e-2	-1.497925171102212e-2	1.497925e-2
14	19	68421	-1.796430937199868e-2	-1.796430937199868e-2	1.796431e-2
15	19	73684	-1.893915567419348e-2	-1.893915567419348e-2	1.893916e-2
16	19	78947	-1.970429516189856e-2	-1.970429516189856e-2	1.970430e-2
17	19	84210	-2.073954377803118e-2	-2.073954377803118e-2	2.073954e-2
18	19	89473	-2.154198462673849e-2	-2.154198462673849e-2	2.154198e-2
1	20	0	0.000000000000000e0	0.000000000000000e0	0.000000e0
3	20	10000	-3.313021903704274e-3	-3.313021903704274e-3	3.313022e-3
7	20	30000	-5.453568792695174e-3	-5.453568792695174e-3	5.453569e-3
9	20	40000	-1.184386073372460e-2	-1.184386073372460e-2	1.184386e-2
11	20	50000	-9.583557607072040e-3	-9.583557607072040e-3	9.583558e-3
13	20	60000	-1.553285507113066e-2	-1.553285507113066e-2	1.553286e-2
17	20	80000	-1.901824767247497e-2	-1.901824767247497e-2	1.901825e-2
19	20	90000	-2.050473259471616e-2	-2.050473259471616e-2	2.050473e-2
