a	b	M	s_combined	ftc_sum	correction_sum	strip	formula	target	ftc_error	ftc_error_x_aM	alg_error	alg_error_x_aM
1	2	100	2.693050653407397e-1	2.693050653407397e-1	0.000000000000000e0	0.000000000000000e0	2.722092559908731e-1	2.722092559908731e-1	-2.904191e-3	2.904191e-1	-2.904191e-3	2.904191e-1
1	2	500	2.716264224680520e-1	2.716264224680520e-1	0.000000000000000e0	0.000000000000000e0	2.722092559908731e-1	2.722092559908731e-1	-5.828335e-4	2.914168e-1	-5.828335e-4	2.914168e-1
1	2	1000	2.719177143005583e-1	2.719177143005583e-1	0.000000000000000e0	0.000000000000000e0	2.722092559908731e-1	2.722092559908731e-1	-2.915417e-4	2.915417e-1	-2.915417e-4	2.915417e-1
1	2	5000	2.721509276573510e-1	2.721509276573510e-1	0.000000000000000e0	0.000000000000000e0	2.722092559908731e-1	2.722092559908731e-1	-5.832833e-5	2.916417e-1	-5.832833e-5	2.916417e-1
1	2	10000	2.721800905741839e-1	2.721800905741839e-1	0.000000000000000e0	0.000000000000000e0	2.722092559908731e-1	2.722092559908731e-1	-2.916542e-5	2.916542e-1	-2.916542e-5	2.916542e-1
1	2	50000	2.722034227075373e-1	2.722034227075373e-1	0.000000000000000e0	0.000000000000000e0	2.722092559908731e-1	2.722092559908731e-1	-5.833283e-6	2.916642e-1	-5.833283e-6	2.916642e-1
1	2	100000	2.722063393367020e-1	2.722063393367020e-1	0.000000000000000e0	0.000000000000000e0	2.722092559908731e-1	2.722092559908731e-1	-2.916654e-6	2.916654e-1	-2.916654e-6	2.916654e-1
1	3	100	2.388924307747538e-1	2.388924307747538e-1	0.000000000000000e0	0.000000000000000e0	2.416701361288506e-1	2.416701361288506e-1	-2.777705e-3	2.777705e-1	-2.777705e-3	2.777705e-1
1	3	500	2.411145802634324e-1	2.411145802634324e-1	0.000000000000000e0	0.000000000000000e0	2.416701361288506e-1	2.416701361288506e-1	-5.555559e-4	2.777779e-1	-5.555559e-4	2.777779e-1
1	3	1000	2.413923584233170e-1	2.413923584233170e-1	0.000000000000000e0	0.000000000000000e0	2.416701361288506e-1	2.416701361288506e-1	-2.777777e-4	2.777777e-1	-2.777777e-4	2.777777e-1
1	3	5000	2.416145805729844e-1	2.416145805729844e-1	0.000000000000000e0	0.000000000000000e0	2.416701361288506e-1	2.416701361288506e-1	-5.555556e-5	2.777778e-1	-5.555556e-5	2.777778e-1
1	3	10000	2.416423583511453e-1	2.416423583511453e-1	0.000000000000000e0	0.000000000000000e0	2.416701361288506e-1	2.416701361288506e-1	-2.777778e-5	2.777778e-1	-2.777778e-5	2.777778e-1
1	3	50000	2.416645805732959e-1	2.416645805732959e-1	0.000000000000000e0	0.000000000000000e0	2.416701361288506e-1	2.416701361288506e-1	-5.555556e-6	2.777778e-1	-5.555556e-6	2.777778e-1
1	3	100000	2.416673583510720e-1	2.416673583510720e-1	0.000000000000000e0	0.000000000000000e0	2.416701361288506e-1	2.416701361288506e-1	-2.777778e-6	2.777778e-1	-2.777778e-6	2.777778e-1
2	3	100	1.843517932149761e-1	1.064538599064782e-1	-7.789793330849785e-2	1.666666666666667e-1	2.744368426127355e-1	1.077701759460688e-1	-1.316316e-3	2.632632e-1	7.658162e-2	1.531632e1
2	3	500	1.859089979495033e-1	1.075062455312134e-1	-7.840275241828955e-2	1.666666666666667e-1	2.744368426127355e-1	1.077701759460688e-1	-2.639304e-4	2.639304e-1	7.813882e-2	7.813882e1
2	3	1000	1.861031510553955e-1	1.076382627552464e-1	-7.846488830014929e-2	1.666666666666667e-1	2.744368426127355e-1	1.077701759460688e-1	-1.319132e-4	2.638264e-1	7.833298e-2	1.566660e2
2	3	5000	1.862587232605891e-1	1.077437866406539e-1	-7.851493661993518e-2	1.666666666666667e-1	2.744368426127355e-1	1.077701759460688e-1	-2.638931e-5	2.638931e-1	7.848855e-2	7.848855e2
