# Character-Twisted Möbius Sums (512-bit MPFR)
# Columns: chi_idx	N	S1	S2
0	100	4.970887442178437e-2	-1.743183687315351e0
0	1000	4.723427300318151e-3	-1.964698264221441e0
0	10000	-1.478750918037214e-3	-2.013343729135627e0
0	50000	4.364310079639992e-4	-1.995238004632113e0
0	100000	-2.690121130555360e-4	-2.003052426743709e0
0	500000	-5.955318595965838e-5	-2.000787412557826e0
0	1000000	1.708280924079990e-4	-1.997629041065079e0
0	5000000	-8.235350429601450e-5	-2.001272599502851e0
0	10000000	6.034720179477479e-5	-1.999025786537650e0
0	50000000	-1.659337558423823e-5	-2.000293600694828e0
0	100000000	1.217748207680106e-5	-1.999776528245512e0
0	500000000	-5.986773072858208e-6	-2.000119342536188e0
0	1000000000	-2.675254007440877e-6	-2.000055700452436e0
1	100	1.571633423085331e0	8.466904096674714e-1
1	1000	1.608759667503825e0	1.040898875280711e0
1	10000	1.607373054880749e0	1.040582213530785e0
1	50000	1.605667583405219e0	1.026120603815176e0
1	100000	1.604425444526913e0	1.012933145778306e0
1	500000	1.604850296650033e0	1.018131390262634e0
1	1000000	1.604182441739865e0	1.009096215010552e0
1	5000000	1.604562964299636e0	1.014382919900653e0
1	10000000	1.604515286152732e0	1.013583793408131e0
1	50000000	1.604534012165538e0	1.013868203911999e0
1	100000000	1.604564143046453e0	1.014405767121044e0
1	500000000	1.604556475730004e0	1.014265074672809e0
1	1000000000	1.604560910227873e0	1.014360289386437e0
2	100	8.700703567492378e-1	-1.688014969305788e-1
2	1000	8.927378545380097e-1	-6.901865616847522e-2
2	10000	9.040386070086891e-1	1.646991013362836e-2
2	50000	9.011610267866954e-1	-9.040744291093699e-3
2	100000	8.996580543420464e-1	-2.662706110297561e-2
2	500000	9.001448024760270e-1	-2.102834984381480e-2
2	1000000	9.000927828861220e-1	-2.171737872473834e-2
2	5000000	9.002212590727600e-1	-2.013112548279196e-2
2	10000000	9.004583369777952e-1	-1.632693849613376e-2
2	50000000	9.003091187211857e-1	-1.875680734564649e-2
2	100000000	9.003216332499752e-1	-1.855692155819325e-2
2	500000000	9.003373074562994e-1	-1.822835848409001e-2
2	1000000000	9.003011728692674e-1	-1.896184407135325e-2
3	100	1.287682819659179e0	3.753059821954369e-1
3	1000	1.278334993194026e0	3.467592943583717e-1
3	10000	1.270305736480523e0	2.859657900665935e-1
3	50000	1.274379050209572e0	3.249556869064844e-1
3	100000	1.272888859949399e0	3.088185208156212e-1
3	500000	1.273374991176186e0	3.144367778052159e-1
3	1000000	1.273655093418658e0	3.184658699429992e-1
3	5000000	1.273097941446589e0	3.105395391175759e-1
3	10000000	1.273285064480807e0	3.134442436958659e-1
3	50000000	1.273202513157653e0	3.120690757779726e-1
3	100000000	1.273228927624803e0	3.125228142524741e-1
3	500000000	1.273257535071051e0	3.130810461227364e-1
3	1000000000	1.273224551629406e0	3.124098553062837e-1
