# PNT Axiom Convergence (512-bit MPFR)
# Columns: N	S1	S2	S3	S3_plus_2gamma
100	3.113153352908314e-2	-8.576685140969381e-1	-5.039375092111272e-1	6.504938205919385e-1
1000	4.411869771791742e-3	-9.699308073822359e-1	-9.495454260168208e-1	2.048859037862449e-1
10000	-2.082699767482252e-3	-1.019210036152189e0	-1.331596821465324e0	-1.771654916622580e-1
50000	5.321270816449397e-4	-9.942702805835831e-1	-1.092746457889327e0	6.168487191373884e-2
100000	-4.872276170375356e-4	-1.005584679888992e0	-1.218437350625612e0	-6.400602082254592e-2
500000	7.132752798800598e-6	-9.999215377875269e-1	-1.153600494893648e0	8.308349094179324e-4
1000000	2.006046853878282e-4	-9.972146952246956e-1	-1.115760372807806e0	3.867095699525924e-2
5000000	-1.374706734472989e-4	-1.002124818545964e0	-1.187272711948925e0	-3.284138214585952e-2
10000000	1.015239539427820e-4	-9.983609452365680e-1	-1.127970257655788e0	2.646107214727778e-2
50000000	-1.861730290649570e-5	-1.000329626204175e0	-1.160267296749818e0	-5.835966946752480e-3
100000000	2.047416986892018e-5	-9.996239770723472e-1	-1.147525568136978e0	6.905761666087251e-3
500000000	-5.147393510656743e-6	-1.000102282619610e0	-1.156463635774897e0	-2.032305971831017e-3
1000000000	3.181325289882266e-7	-9.999939543269044e-1	-1.154317367111034e0	1.139626920314551e-4
