# Primes in Arithmetic Progressions mod 8
# Columns: x	pi_total	pi_1	pi_3	pi_5	pi_7	li_x_over_4
1000	168	37	44	43	43	4.4141123604e1
10000	1229	295	311	314	308	3.1127336749e2
50000	5133	1257	1295	1292	1288	1.2914093085e3
100000	9592	2384	2409	2399	2399	2.4073277288e3
500000	41538	10334	10418	10397	10388	1.0402889861e4
1000000	78498	19552	19653	19623	19669	1.9660378621e4
5000000	348513	87027	87180	87166	87139	8.7182479600e4
10000000	664579	165976	166161	166204	166237	1.6627807422e5
50000000	3001134	750019	750361	750433	750320	7.5064975927e5
100000000	5761455	1439970	1440544	1440534	1440406	1.4410828106e6
500000000	26355867	6587486	6589428	6589322	6589630	6.5919374962e6
1000000000	50847534	12711220	12712340	12712271	12711702	1.2717814895e7
