# PNT S₂ Decomposition by Residue Class mod 8
# Columns: N	S2_mod1	S2_mod3	S2_mod5	S2_mod7	S2_total
100	-1.724971980957553e-1	-7.834953940272095e-1	-5.114416544642016e-1	-2.757494407281844e-1	-1.743183687315351e0
1000	-1.615146876877084e-1	-8.553437725072496e-1	-6.474547972438262e-1	-3.003850067826566e-1	-1.964698264221441e0
10000	-1.675814538511551e-1	-8.308554556498442e-1	-6.961075156833617e-1	-3.187993039512661e-1	-2.013343729135627e0
50000	-1.633006145503867e-1	-8.388387599112168e-1	-6.718405443124278e-1	-3.212580858580820e-1	-1.995238004632113e0
100000	-1.769819553131894e-1	-8.378577886101528e-1	-6.701349976508544e-1	-3.180776851695122e-1	-2.003052426743709e0
500000	-1.723118985834478e-1	-8.385959826173728e-1	-6.708634187928574e-1	-3.190161125641484e-1	-2.000787412557826e0
1000000	-1.729460837090667e-1	-8.367271261858422e-1	-6.666355018519734e-1	-3.213203293181972e-1	-1.997629041065079e0
5000000	-1.741203164918536e-1	-8.365815460009679e-1	-6.712462137007840e-1	-3.193245233092456e-1	-2.001272599502851e0
10000000	-1.720811719824465e-1	-8.355951905344451e-1	-6.707095994384453e-1	-3.206398245823126e-1	-1.999025786537650e0
50000000	-1.732782820876258e-1	-8.362469219326115e-1	-6.708339803708019e-1	-3.199344163037888e-1	-2.000293600694828e0
100000000	-1.728512171075470e-1	-8.363155077943057e-1	-6.707756398889722e-1	-3.198341634546874e-1	-1.999776528245512e0
500000000	-1.727503950561832e-1	-8.364234554539557e-1	-6.707687531505425e-1	-3.201767388755064e-1	-2.000119342536188e0
1000000000	-1.730618499577672e-1	-8.364469223041275e-1	-6.707610726153092e-1	-3.197858555752324e-1	-2.000055700452436e0
