# Siegel-Walfisz Error Scaling
# Columns: x	max_abs_error	max_normalized_error	max_error_class	sw_scale
10000	1.6273367494e1	7.4214311198e-3	1	2.1927532886e3
50000	3.4409308506e1	3.5643285383e-3	1	9.6537982221e3
100000	2.3327728763e1	1.2725307686e-3	1	1.8331760095e4
500000	6.8889861292e1	8.4294046825e-4	1	8.1725654287e4
1000000	1.0837862093e2	6.9512517697e-4	1	1.5591238028e5
5000000	1.5547959961e2	2.2158516926e-4	1	7.0166970165e5
10000000	3.0207422369e2	2.2485484856e-4	1	1.3434187683e6
50000000	6.3075927023e2	1.0355523715e-4	1	6.0910417243e6
100000000	1.1128106079e3	9.5148612701e-5	1	1.1695500085e7
500000000	4.4514961788e3	8.3440889281e-5	1	5.3349097992e7
1000000000	6.5948949922e3	6.4227826912e-5	1	1.0267971546e8
