k	lambda_k	c_k_sq	E_k	S_cumulative
0	5.459895630094866e-06	1.014671569896771e-11	1.858408362797113e-06	1.858408362797113e-06
1	5.624362669308647e-06	2.835107904609415e-12	5.040762965162610e-07	2.362484659313374e-06
2	5.729605092756401e-06	1.907636485339033e-15	3.329437988231936e-10	2.362817603112197e-06
3	5.903872207805970e-06	1.199078405143041e-12	2.031003319410683e-07	2.565917935053265e-06
4	5.995056116070644e-06	1.670177936242952e-12	2.785925442408770e-07	2.844510479294142e-06
5	6.143674644990126e-06	1.705549319288534e-11	2.776106187002152e-06	5.620616666296295e-06
6	6.218031854793164e-06	6.634541339833273e-13	1.066984134974967e-07	5.727315079793791e-06
7	6.287816257976755e-06	4.053661711570075e-13	6.446851411135908e-08	5.791783593905151e-06
8	6.358426476789511e-06	1.463655584066503e-13	2.301914773111492e-08	5.814802741636265e-06
9	6.430180773006210e-06	1.450966313728399e-12	2.256493814014578e-07	6.040452123037723e-06
10	6.442316593310824e-06	7.993170292573748e-13	1.240729196834754e-07	6.164525042721198e-06
11	6.551475503137997e-06	4.670077225397767e-13	7.128283122116406e-08	6.235807873942362e-06
12	6.606944319354334e-06	5.746783304397408e-13	8.698095559187359e-08	6.322788829534235e-06
13	6.672080884515126e-06	1.997877658177906e-12	2.994384649644571e-07	6.622227294498692e-06
14	6.689761237082524e-06	4.623150914283003e-13	6.910786125902466e-08	6.691335155757717e-06
15	6.733677219788352e-06	7.142990686976103e-12	1.060786024311485e-06	7.752121180069202e-06
16	6.786867485367550e-06	1.298906227058535e-11	1.913852347727386e-06	9.665973527796588e-06
17	6.861716198000088e-06	6.150495939334674e-12	8.963495081780406e-07	1.056232303597463e-05
18	6.961199626722337e-06	5.534494818292386e-13	7.950490023367264e-08	1.064182793620830e-05
19	7.016393910316362e-06	7.835717411272155e-12	1.116772734174905e-06	1.175860067038321e-05
20	7.092324307190641e-06	4.905384866969596e-13	6.916470051991574e-08	1.182776537090312e-05
21	7.140412863038956e-06	5.877470950986923e-13	8.231276067257369e-08	1.191007813157570e-05
22	7.211959168048560e-06	7.480630490427412e-13	1.037253583404792e-07	1.201380348991618e-05
23	7.252998127171810e-06	7.976262817526767e-12	1.099719409501210e-06	1.311352289941739e-05
