k	lambda_k	c_k_sq	E_k	S_cumulative
0	7.365996501627497e-6	7.447709724291168e-14	1.011093301856119e-8	1.011093301856119e-8
1	7.539259368741540e-6	2.154968557088647e-13	2.858329249187718e-8	3.869422551043837e-8
2	7.759353573281111e-6	1.518613417529069e-13	1.957139087923931e-8	5.826561638967768e-8
3	7.852220953018921e-6	4.448489522768320e-12	5.665262795563620e-7	6.247918959460396e-7
4	7.902892223499145e-6	1.808507759209584e-14	2.288412530582171e-9	6.270803084766218e-7
5	8.004769483704648e-6	9.391377339801289e-12	1.173222709151009e-6	1.800303017627630e-6
6	8.157094678114719e-6	5.660318914591756e-13	6.939135976658762e-8	1.869694377394218e-6
7	8.306369038438541e-6	4.092029727546749e-12	4.926376023760175e-7	2.362331979770236e-6
8	8.339375763739021e-6	9.855242124536807e-13	1.181772161819236e-7	2.480509195952159e-6
9	8.427974705613699e-6	1.380785333374819e-12	1.638335877366963e-7	2.644342783688856e-6
10	8.471979400107721e-6	4.891000349108773e-13	5.773149482689469e-8	2.702074278515750e-6
11	8.549626019847293e-6	9.000812275027199e-13	1.052772630537583e-7	2.807351541569508e-6
12	8.579009198170659e-6	2.614560890187726e-13	3.047625698717330e-8	2.837827798556682e-6
13	8.726743759443466e-6	1.338556306693221e-12	1.533855403104658e-7	2.991213338867148e-6
14	8.789906048245088e-6	2.384797563945962e-13	2.713109276545782e-8	3.018344431632606e-6
15	8.870076839017406e-6	1.765972778638073e-13	1.990932897976677e-8	3.038253760612372e-6
16	9.047869005371143e-6	4.846174135824211e-13	5.356149755204619e-8	3.091815258164419e-6
17	9.089975625935795e-6	6.556240611370887e-12	7.212605271090520e-7	3.813075785273471e-6
18	9.207468038470588e-6	3.477266108738941e-14	3.776571468084655e-9	3.816852356741556e-6
19	9.317967600159207e-6	3.046175275413740e-12	3.269141304335178e-7	4.143766487175073e-6
20	9.357163298893903e-6	1.650164928566099e-12	1.763531185526240e-7	4.320119605727697e-6
21	9.399061109676541e-6	1.692994534519755e-13	1.801237926601818e-8	4.338131984993715e-6
22	9.483723510157961e-6	1.386249870818508e-13	1.461714767763636e-8	4.352749132671351e-6
23	9.566781660371452e-6	3.611491608664660e-13	3.775032959751311e-8	4.390499462268864e-6
24	9.659710157435977e-6	2.455687441136776e-11	2.542195781357275e-6	6.932695243626139e-6
25	9.753221382265387e-6	6.607153671765462e-13	6.774329642285648e-8	7.000438540048995e-6
26	9.787955803514231e-6	7.561856566666217e-13	7.725675021899094e-8	7.077695290267986e-6
27	9.873556860071564e-6	5.052479539905319e-12	5.117182806063973e-7	7.589413570874384e-6
28	9.945327553309936e-6	2.971238166080964e-12	2.987571952913805e-7	7.888170766165765e-6
29	1.008398601965204e-5	1.203668610952120e-12	1.193643672855523e-7	8.007535133451316e-6
30	1.015897045536722e-5	6.933781717750795e-13	6.825279931872936e-8	8.075787932770045e-6
31	1.021354536992341e-5	5.032197952007474e-12	4.926984479675550e-7	8.568486380737599e-6
32	1.024766817156570e-5	4.638577242199546e-14	4.526470963482452e-9	8.573012851701082e-6
33	1.036758819999043e-5	5.726058698624334e-13	5.523038326917362e-8	8.628243234970256e-6
34	1.040905247457768e-5	1.536847922658738e-13	1.476453237614303e-8	8.643007767346399e-6
35	1.050194622470509e-5	5.339416204553343e-14	5.084215906564770e-9	8.648091983252964e-6
36	1.058454392589021e-5	1.735340630528811e-12	1.639504396863146e-7	8.812042422939278e-6
37	1.061568823430622e-5	1.587348129276634e-13	1.495285180047843e-8	8.826995274739756e-6
38	1.071020637706061e-5	1.253718638843564e-12	1.170583081880485e-7	8.944053582927804e-6
39	1.079281639258396e-5	2.397130973763336e-12	2.221043040638096e-7	9.166157886991614e-6
40	1.082868943261990e-5	9.551745683970730e-13	8.820777198760032e-8	9.254365658979214e-6
41	1.089382684414442e-5	2.260883027714767e-15	2.075379992780061e-10	9.254573196978492e-6
42	1.091175011850859e-5	1.676167694735337e-13	1.536112609371625e-8	9.269934323072207e-6
43	1.099984724559260e-5	1.124512372390185e-11	1.022298171313926e-6	1.029223249438613e-5
44	1.104387669751124e-5	3.892612588562125e-12	3.524679508092783e-7	1.064470044519541e-5
45	1.122398884227764e-5	5.164658842029050e-12	4.601446878292696e-7	1.110484513302468e-5
46	1.125355657329698e-5	1.057822187377921e-13	9.399892207304281e-9	1.111424502523198e-5
47	1.130192193912701e-5	2.348410607739556e-12	2.077886062554908e-7	1.132203363148747e-5
48	1.130593790402665e-5	6.916158959264595e-12	6.117280156652353e-7	1.193376164715271e-5
49	1.142876259946944e-5	1.686485120858320e-14	1.475649796887557e-9	1.193523729694960e-5
50	1.150286516411371e-5	2.078491625097812e-12	1.806933833826225e-7	1.211593068033222e-5
51	1.154206809467717e-5	1.068076058889893e-13	9.253766743781869e-9	1.212518444707600e-5
52	1.164748202452869e-5	1.253009548508777e-13	1.075777190185859e-8	1.213594221897786e-5
53	1.168217371975774e-5	9.178299727087674e-12	7.856671153215833e-7	1.292160933429944e-5
54	1.175487846716906e-5	1.538971588805942e-12	1.309219481174760e-7	1.305253128241692e-5
55	1.182946881444423e-5	1.319010284925621e-14	1.115020721230577e-9	1.305364630313815e-5
56	1.188002063435739e-5	1.064820027614684e-12	8.963115977553030e-8	1.314327746291368e-5
57	1.190011938331025e-5	1.451475715963464e-11	1.219715255965531e-6	1.436299271887921e-5
58	1.203089022441493e-5	2.475544492849832e-12	2.057656953619339e-7	1.456875841424114e-5
59	1.208512198048280e-5	2.490483137152438e-13	2.060784443197604e-8	1.458936625867312e-5
60	1.215398143723867e-5	1.901006897853346e-11	1.564102189615690e-6	1.615346844828881e-5
61	1.224338044322934e-5	5.275130373242702e-14	4.308557099652881e-9	1.615777700538846e-5
62	1.230415831292285e-5	1.283500137640510e-12	1.043143386973875e-7	1.626209134408585e-5
63	1.234645653443001e-5	3.907818084906936e-12	3.165133310929640e-7	1.657860467517881e-5
64	1.237927032424217e-5	2.711789024602711e-13	2.190588745196273e-8	1.660051056263077e-5
65	1.245188436289127e-5	3.254705213469818e-15	2.613825440886194e-10	1.660077194517486e-5
66	1.250659487596780e-5	1.330132130592908e-12	1.063544588902324e-7	1.670712640406509e-5
67	1.254659349434853e-5	2.540624863663989e-12	2.024951924048853e-7	1.690962159646998e-5
68	1.262217849480580e-5	7.909822756958278e-12	6.266606640219261e-7	1.753628226049191e-5
69	1.270777044521767e-5	5.933501874515920e-13	4.669191893333956e-8	1.758297417942524e-5
70	1.273920475786267e-5	1.724058168280445e-13	1.353348345560073e-8	1.759650766288084e-5
71	1.281222799940657e-5	2.870937270669335e-12	2.240779098531737e-7	1.782058557273402e-5
72	1.285866279226398e-5	1.375688976355448e-11	1.069853839843354e-6	1.889043941257737e-5
73	1.296710890566726e-5	2.441948011294269e-12	1.883186166676689e-7	1.907875802924504e-5
74	1.312295741992594e-5	8.312718281259014e-13	6.334485448102543e-8	1.914210288372607e-5
75	1.317908886743211e-5	1.068733210076951e-14	8.109310293202305e-10	1.914291381475539e-5
76	1.321999309189637e-5	7.165735269729638e-13	5.420377469124482e-8	1.919711758944664e-5
77	1.331189481970081e-5	4.493200748281151e-15	3.375327711898295e-10	1.919745512221783e-5
78	1.333173442575999e-5	8.552620631445228e-12	6.415234776144047e-7	1.983897859983223e-5
79	1.346317292443150e-5	3.063820787111142e-13	2.275704846330283e-8	1.986173564829553e-5
80	1.350558204881273e-5	7.346958477073631e-13	5.439942129498593e-8	1.991613506959052e-5
81	1.356633898021657e-5	3.762730776936884e-11	2.773578621634013e-6	2.268971369122453e-5
82	1.363514541215759e-5	8.046703475775719e-12	5.901443096163086e-7	2.327985800084084e-5
83	1.370898419162156e-5	5.060226244798424e-13	3.691175198736498e-8	2.331676975282821e-5
84	1.376718721956956e-5	3.542727551877961e-16	2.573312540445518e-11	2.331679548595361e-5
85	1.383038961624142e-5	7.233370175540409e-13	5.230055245187059e-8	2.336909603840548e-5
86	1.389631057622722e-5	5.236349909136416e-12	3.768158375860121e-7	2.374591187599150e-5
87	1.396956437325809e-5	5.139775682425823e-12	3.679266972894934e-7	2.411383857328099e-5
88	1.399871720093880e-5	3.160793471115016e-12	2.257916511737978e-7	2.433963022445479e-5
89	1.405934772056318e-5	1.864644299548674e-14	1.326266578371519e-9	2.434095649103316e-5
90	1.407616193536565e-5	2.049470964922618e-13	1.455987061198426e-8	2.435551636164515e-5
91	1.416008039085506e-5	1.361124237203511e-11	9.612404729584443e-7	2.531675683460359e-5
92	1.427182234069414e-5	4.700214025105090e-12	3.293352392499361e-7	2.564609207385353e-5
93	1.432926485173672e-5	1.263366690929194e-12	8.816688811331958e-8	2.573425896196685e-5
94	1.446212145301273e-5	1.534522119411161e-12	1.061062945983966e-7	2.584036525656524e-5
95	1.453188603777916e-5	1.527758284387177e-12	1.051314523397306e-7	2.594549670890497e-5
96	1.464687449855827e-5	2.086100815621657e-12	1.424263460321857e-7	2.608792305493716e-5
97	1.466970405893020e-5	5.183044819039064e-12	3.533162494770219e-7	2.644123930441418e-5
98	1.481459828814044e-5	1.288665065395456e-12	8.698616326485700e-8	2.652822546767904e-5
99	1.485037792032911e-5	5.978812855447706e-12	4.026034143725822e-7	2.693082888205162e-5
100	1.495969506734127e-5	3.396821636890102e-13	2.270648981546257e-8	2.695353537186709e-5
101	1.505870656149862e-5	3.945185970275378e-12	2.619870407968664e-7	2.721552241266395e-5
102	1.513833408983392e-5	1.601703082094156e-12	1.058044480052645e-7	2.732132686066922e-5
103	1.524381396756699e-5	4.315885729483385e-12	2.831237470272165e-7	2.760445060769644e-5
104	1.531172361347873e-5	1.091649589652220e-12	7.129501662969240e-8	2.767574562432613e-5
105	1.537300939746968e-5	5.792308008054203e-12	3.767842624884876e-7	2.805252988681462e-5
106	1.544085447563183e-5	4.705283786480685e-12	3.047294949839976e-7	2.835725938179862e-5
107	1.556791168249656e-5	2.458830346949532e-13	1.579422081199281e-8	2.837305360261061e-5
108	1.563887429493315e-5	8.090070868873567e-13	5.173051919404887e-8	2.842478412180466e-5
109	1.565766792727260e-5	2.542559579120070e-11	1.623843085017423e-6	3.004862720682208e-5
110	1.572998328475469e-5	1.403940712428496e-11	8.925252411356207e-7	3.094115244795770e-5
111	1.584845494377802e-5	1.220842343933645e-15	7.703226265680480e-11	3.094122948022036e-5
112	1.595582203103075e-5	6.768621032789278e-12	4.242101108689806e-7	3.136543959108933e-5
113	1.600049319879540e-5	6.449678563502069e-13	4.030924849233794e-8	3.140574883958167e-5
114	1.607661642187987e-5	3.455180586717387e-11	2.149196383148741e-6	3.355494522273041e-5
115	1.610596817335794e-5	3.218187063119470e-12	1.998133256244047e-7	3.375475854835481e-5
