k	lambda_k	c_k_sq	E_k
0	2.535642096290758e-7	1.371107756729594e-15	5.407339461414160e-9
1	2.595853558773342e-7	1.365935655607058e-16	5.261990419261261e-10
2	2.625824429003387e-7	2.970541361894979e-16	1.131279505622707e-9
3	2.695367573579688e-7	7.725748830324448e-16	2.866306215913982e-9
4	2.764331146209997e-7	1.069056221745344e-15	3.867323287989794e-9
5	2.858263297156327e-7	3.226820570229167e-15	1.128944479481480e-8
6	2.972981043569689e-7	1.192075868243980e-16	4.009698853688761e-10
7	3.100251575460788e-7	7.714416534162866e-15	2.488319527106853e-8
8	3.259080507689305e-7	7.382756060086289e-16	2.265288029144355e-9
9	3.434581063999076e-7	1.968685794922628e-15	5.731953208378713e-9
10	3.628315656811765e-7	1.277602918336803e-14	3.521201127962070e-8
11	3.816376601406546e-7	5.063533385415113e-16	1.326790805590025e-9
12	3.996164839037419e-7	1.561847829558872e-14	3.908366877916587e-8
13	4.272308284924975e-7	2.517086698777464e-15	5.891631715012499e-9
14	4.538956996924526e-7	1.245276268854530e-15	2.743529559099801e-9
15	4.799572366209759e-7	6.786566599945057e-15	1.413994014909381e-8
16	5.146509014508638e-7	1.852640497226611e-14	3.599800353994895e-8
17	5.431943943534634e-7	1.775270831457815e-18	3.268205360570464e-12
18	5.790576800279723e-7	1.766978475623739e-14	3.051472308489859e-8
19	6.102810452546237e-7	8.624521770325123e-15	1.413204922123506e-8
20	6.471032740762439e-7	3.042998530431247e-15	4.702492866807394e-9
21	6.856229379792467e-7	2.132077646264264e-16	3.109694160099411e-10
22	7.223060691785577e-7	4.100069298110608e-14	5.676360026675964e-8
23	7.679372444613364e-7	4.985411425439237e-16	6.491951603332138e-10
24	8.063397594071375e-7	1.262683709561495e-14	1.565944993819832e-8
25	8.517468881308332e-7	2.605421137417644e-16	3.058914771188969e-10
26	9.001872207647921e-7	3.376686394653987e-14	3.751093457853335e-8
27	9.501141455814377e-7	1.464444473549704e-14	1.541335302037329e-8
28	1.001322180727016e-6	9.808776730480955e-15	9.795824879619902e-9
29	1.053178205978611e-6	1.704739530713621e-15	1.618661989999670e-9
30	1.106038643783336e-6	5.581891288056551e-15	5.046741648160713e-9
31	1.161514878944558e-6	1.554496420179689e-15	1.338335348396246e-9
32	1.219388632733853e-6	3.823614854415099e-15	3.135681891541505e-9
33	1.277139384470161e-6	1.014519279340115e-14	7.943684860685765e-9
34	1.337634520481856e-6	1.109426298116051e-13	8.293941888673764e-8
35	1.402158121166508e-6	2.212994577257848e-14	1.578277473739392e-8
36	1.467204288729818e-6	2.153422103636010e-14	1.467704340954634e-8
37	1.528048604981791e-6	2.358527701225870e-14	1.543489973772121e-8
38	1.602269968259407e-6	3.060607456419378e-15	1.910169644972006e-9
39	1.665643711845632e-6	4.714101894727687e-15	2.830198235794486e-9
40	1.734756928328807e-6	4.562899145449601e-14	2.630281551805249e-8
41	1.808810816683604e-6	1.394959947227260e-14	7.712027893469117e-9
42	1.886947559981422e-6	4.249682498873826e-14	2.252146582661611e-8
43	1.960420647151295e-6	1.171789534578784e-13	5.977235223886883e-8
44	2.044061231387673e-6	1.903709727843804e-14	9.313369377645370e-9
45	2.118001320994267e-6	4.544002111763124e-14	2.145419866702445e-8
46	2.204430080254838e-6	2.335545231652145e-13	1.059478026802352e-7
47	2.280088512662815e-6	4.378432714830100e-15	1.920290677538971e-9
48	2.365896222045194e-6	1.034521815576816e-13	4.372642408983290e-8
49	2.455473106621753e-6	1.359023916032297e-15	5.534672370743435e-10
